Hospital Name,HCAHPS Question,HCAHPS Answer Description,HCAHPS Answer Percent
NORTH CENTRAL BRONX HOSPITAL,How often was the area around patients rooms kept quiet at night?,Always quiet at night,53
JACOBI MEDICAL CENTER,How often was patients pain well controlled?,"Pain was ""always"" well controlled",53
LINCOLN MEDICAL & MENTAL HEALTH CENTER,How often was the area around patients rooms kept quiet at night?,Always quiet at night,53
NORTH CENTRAL BRONX HOSPITAL,How often did staff explain about medicines before giving them to patients?,"Staff ""always"" explained",53
LINCOLN MEDICAL & MENTAL HEALTH CENTER,How often did staff explain about medicines before giving them to patients?,"Staff ""always"" explained",53
CONEY ISLAND HOSPITAL,Would patients recommend the hospital to friends and family?,"""YES"", patients would definitely recommend the hospital",54
BELLEVUE HOSPITAL CENTER,How often did staff explain about medicines before giving them to patients?,"Staff ""always"" explained",54
WOODHULL MEDICAL AND MENTAL HEALTH CENTER,How do patients rate the hospital overall?,"Patients who gave a rating of ""9"" or ""10"" (high)",54
METROPOLITAN HOSPITAL CENTER,How often was patients pain well controlled?,"Pain was ""always"" well controlled",55
WOODHULL MEDICAL AND MENTAL HEALTH CENTER,How often did staff explain about medicines before giving them to patients?,"Staff ""always"" explained",55
BELLEVUE HOSPITAL CENTER,How often was patients pain well controlled?,"Pain was ""always"" well controlled",55
METROPOLITAN HOSPITAL CENTER,Would patients recommend the hospital to friends and family?,"""YES"", patients would definitely recommend the hospital",56
HARLEM HOSPITAL CENTER,How often was the area around patients rooms kept quiet at night?,Always quiet at night,56
CONEY ISLAND HOSPITAL,How do patients rate the hospital overall?,"Patients who gave a rating of ""9"" or ""10"" (high)",56
BELLEVUE HOSPITAL CENTER,How often were the patients rooms and bathrooms kept clean?,"Room was ""always"" clean",56
KINGS COUNTY HOSPITAL CENTER,How often was patients pain well controlled?,"Pain was ""always"" well controlled",56
QUEENS HOSPITAL CENTER,How often did patients receive help quickly from hospital staff?,"Patients ""always"" received help as soon as they wanted",56
BELLEVUE HOSPITAL CENTER,How do patients rate the hospital overall?,"Patients who gave a rating of ""9"" or ""10"" (high)",56
KINGS COUNTY HOSPITAL CENTER,How often was the area around patients rooms kept quiet at night?,Always quiet at night,56
ELMHURST HOSPITAL CENTER,How often did nurses communicate well with patients?,"Nurses ""always"" communicated well",57
ELMHURST HOSPITAL CENTER,How often were the patients rooms and bathrooms kept clean?,"Room was ""always"" clean",57
CONEY ISLAND HOSPITAL,How often did patients receive help quickly from hospital staff?,"Patients ""always"" received help as soon as they wanted",57
HARLEM HOSPITAL CENTER,How often was patients pain well controlled?,"Pain was ""always"" well controlled",57
LINCOLN MEDICAL & MENTAL HEALTH CENTER,How often was patients pain well controlled?,"Pain was ""always"" well controlled",57
METROPOLITAN HOSPITAL CENTER,How often did staff explain about medicines before giving them to patients?,"Staff ""always"" explained",57
LINCOLN MEDICAL & MENTAL HEALTH CENTER,Would patients recommend the hospital to friends and family?,"""YES"", patients would definitely recommend the hospital",57
QUEENS HOSPITAL CENTER,How do patients rate the hospital overall?,"Patients who gave a rating of ""9"" or ""10"" (high)",58
NORTH CENTRAL BRONX HOSPITAL,How do patients rate the hospital overall?,"Patients who gave a rating of ""9"" or ""10"" (high)",58
WOODHULL MEDICAL AND MENTAL HEALTH CENTER,How often was patients pain well controlled?,"Pain was ""always"" well controlled",58
JACOBI MEDICAL CENTER,Would patients recommend the hospital to friends and family?,"""YES"", patients would definitely recommend the hospital",58
ELMHURST HOSPITAL CENTER,Would patients recommend the hospital to friends and family?,"""YES"", patients would definitely recommend the hospital",58
METROPOLITAN HOSPITAL CENTER,How do patients rate the hospital overall?,"Patients who gave a rating of ""9"" or ""10"" (high)",58
WOODHULL MEDICAL AND MENTAL HEALTH CENTER,Would patients recommend the hospital to friends and family?,"""YES"", patients would definitely recommend the hospital",59
KINGS COUNTY HOSPITAL CENTER,How often did staff explain about medicines before giving them to patients?,"Staff ""always"" explained",59
KINGS COUNTY HOSPITAL CENTER,How do patients rate the hospital overall?,"Patients who gave a rating of ""9"" or ""10"" (high)",59
ELMHURST HOSPITAL CENTER,How often was patients pain well controlled?,"Pain was ""always"" well controlled",59
QUEENS HOSPITAL CENTER,How often was patients pain well controlled?,"Pain was ""always"" well controlled",60
NORTH CENTRAL BRONX HOSPITAL,How often was patients pain well controlled?,"Pain was ""always"" well controlled",60
HARLEM HOSPITAL CENTER,How often were the patients rooms and bathrooms kept clean?,"Room was ""always"" clean",61
NORTH CENTRAL BRONX HOSPITAL,Would patients recommend the hospital to friends and family?,"""YES"", patients would definitely recommend the hospital",61
QUEENS HOSPITAL CENTER,How often did staff explain about medicines before giving them to patients?,"Staff ""always"" explained",61
NORTH CENTRAL BRONX HOSPITAL,How often were the patients rooms and bathrooms kept clean?,"Room was ""always"" clean",62
METROPOLITAN HOSPITAL CENTER,How often did nurses communicate well with patients?,"Nurses ""always"" communicated well",62
QUEENS HOSPITAL CENTER,How often did nurses communicate well with patients?,"Nurses ""always"" communicated well",63
JACOBI MEDICAL CENTER,How often did nurses communicate well with patients?,"Nurses ""always"" communicated well",63
BELLEVUE HOSPITAL CENTER,How often did nurses communicate well with patients?,"Nurses ""always"" communicated well",63
METROPOLITAN HOSPITAL CENTER,How often were the patients rooms and bathrooms kept clean?,"Room was ""always"" clean",63
BELLEVUE HOSPITAL CENTER,Would patients recommend the hospital to friends and family?,"""YES"", patients would definitely recommend the hospital",63
JACOBI MEDICAL CENTER,How often were the patients rooms and bathrooms kept clean?,"Room was ""always"" clean",63
KINGS COUNTY HOSPITAL CENTER,Would patients recommend the hospital to friends and family?,"""YES"", patients would definitely recommend the hospital",64
HARLEM HOSPITAL CENTER,How often did nurses communicate well with patients?,"Nurses ""always"" communicated well",64
CONEY ISLAND HOSPITAL,How often were the patients rooms and bathrooms kept clean?,"Room was ""always"" clean",64
CONEY ISLAND HOSPITAL,How often was patients pain well controlled?,"Pain was ""always"" well controlled",64
WOODHULL MEDICAL AND MENTAL HEALTH CENTER,How often were the patients rooms and bathrooms kept clean?,"Room was ""always"" clean",65
LINCOLN MEDICAL & MENTAL HEALTH CENTER,How often were the patients rooms and bathrooms kept clean?,"Room was ""always"" clean",65
LINCOLN MEDICAL & MENTAL HEALTH CENTER,How often did nurses communicate well with patients?,"Nurses ""always"" communicated well",66
KINGS COUNTY HOSPITAL CENTER,How often did nurses communicate well with patients?,"Nurses ""always"" communicated well",67
NORTH CENTRAL BRONX HOSPITAL,How often did nurses communicate well with patients?,"Nurses ""always"" communicated well",67
CONEY ISLAND HOSPITAL,How often did nurses communicate well with patients?,"Nurses ""always"" communicated well",68
QUEENS HOSPITAL CENTER,How often were the patients rooms and bathrooms kept clean?,"Room was ""always"" clean",68
WOODHULL MEDICAL AND MENTAL HEALTH CENTER,How often did nurses communicate well with patients?,"Nurses ""always"" communicated well",68
QUEENS HOSPITAL CENTER,Would patients recommend the hospital to friends and family?,"""YES"", patients would definitely recommend the hospital",71
KINGS COUNTY HOSPITAL CENTER,How often were the patients rooms and bathrooms kept clean?,"Room was ""always"" clean",73
ELMHURST HOSPITAL CENTER,How often did doctors communicate well with patients?,"Doctors ""always"" communicated well",74
CONEY ISLAND HOSPITAL,How often did doctors communicate well with patients?,"Doctors ""always"" communicated well",74
LINCOLN MEDICAL & MENTAL HEALTH CENTER,Were patients given information about what to do during their recovery at home?,"Yes, staff ""did"" give patients this information",75
NORTH CENTRAL BRONX HOSPITAL,Were patients given information about what to do during their recovery at home?,"Yes, staff ""did"" give patients this information",75
WOODHULL MEDICAL AND MENTAL HEALTH CENTER,How often did doctors communicate well with patients?,"Doctors ""always"" communicated well",75
JACOBI MEDICAL CENTER,How often did doctors communicate well with patients?,"Doctors ""always"" communicated well",75
JACOBI MEDICAL CENTER,Were patients given information about what to do during their recovery at home?,"Yes, staff ""did"" give patients this information",76
KINGS COUNTY HOSPITAL CENTER,How often did doctors communicate well with patients?,"Doctors ""always"" communicated well",76
BELLEVUE HOSPITAL CENTER,How often did doctors communicate well with patients?,"Doctors ""always"" communicated well",77
HARLEM HOSPITAL CENTER,Were patients given information about what to do during their recovery at home?,"Yes, staff ""did"" give patients this information",77
METROPOLITAN HOSPITAL CENTER,How often did doctors communicate well with patients?,"Doctors ""always"" communicated well",78
HARLEM HOSPITAL CENTER,How often did doctors communicate well with patients?,"Doctors ""always"" communicated well",78
QUEENS HOSPITAL CENTER,How often did doctors communicate well with patients?,"Doctors ""always"" communicated well",79
NORTH CENTRAL BRONX HOSPITAL,How often did doctors communicate well with patients?,"Doctors ""always"" communicated well",79
CONEY ISLAND HOSPITAL,Were patients given information about what to do during their recovery at home?,"Yes, staff ""did"" give patients this information",79
LINCOLN MEDICAL & MENTAL HEALTH CENTER,How often did doctors communicate well with patients?,"Doctors ""always"" communicated well",79
KINGS COUNTY HOSPITAL CENTER,Were patients given information about what to do during their recovery at home?,"Yes, staff ""did"" give patients this information",79
ELMHURST HOSPITAL CENTER,Were patients given information about what to do during their recovery at home?,"Yes, staff ""did"" give patients this information",80
QUEENS HOSPITAL CENTER,Were patients given information about what to do during their recovery at home?,"Yes, staff ""did"" give patients this information",80
BELLEVUE HOSPITAL CENTER,Were patients given information about what to do during their recovery at home?,"Yes, staff ""did"" give patients this information",80
WOODHULL MEDICAL AND MENTAL HEALTH CENTER,Were patients given information about what to do during their recovery at home?,"Yes, staff ""did"" give patients this information",81
METROPOLITAN HOSPITAL CENTER,Were patients given information about what to do during their recovery at home?,"Yes, staff ""did"" give patients this information",82
