"State","Diagnosis Related Group","Denominator","Footnote","Measure Start Date","Measure End Date"
"NJ","Acute myocardial infarction, discharged alive w/o CC/MCC","1293","","10/01/2012","09/30/2013"
"NM","Acute myocardial infarction, discharged alive w/o CC/MCC","182","","10/01/2012","09/30/2013"
"NV","Acute myocardial infarction, discharged alive w/o CC/MCC","167","","10/01/2012","09/30/2013"
"NY","Acute myocardial infarction, discharged alive w/o CC/MCC","2084","","10/01/2012","09/30/2013"
"OH","Acute myocardial infarction, discharged alive w/o CC/MCC","1097","","10/01/2012","09/30/2013"
"OK","Acute myocardial infarction, discharged alive w/o CC/MCC","409","","10/01/2012","09/30/2013"
"OR","Acute myocardial infarction, discharged alive w/o CC/MCC","308","","10/01/2012","09/30/2013"
"PA","Acute myocardial infarction, discharged alive w/o CC/MCC","1336","","10/01/2012","09/30/2013"
"PR","Acute myocardial infarction, discharged alive w/o CC/MCC","549","","10/01/2012","09/30/2013"
"RI","Acute myocardial infarction, discharged alive w/o CC/MCC","157","","10/01/2012","09/30/2013"
"SC","Acute myocardial infarction, discharged alive w/o CC/MCC","526","","10/01/2012","09/30/2013"
"SD","Acute myocardial infarction, discharged alive w/o CC/MCC","89","","10/01/2012","09/30/2013"
"TN","Acute myocardial infarction, discharged alive w/o CC/MCC","760","","10/01/2012","09/30/2013"
"TX","Acute myocardial infarction, discharged alive w/o CC/MCC","1682","","10/01/2012","09/30/2013"
"UT","Acute myocardial infarction, discharged alive w/o CC/MCC","115","","10/01/2012","09/30/2013"
"VA","Acute myocardial infarction, discharged alive w/o CC/MCC","838","","10/01/2012","09/30/2013"
"VI","Acute myocardial infarction, discharged alive w/o CC/MCC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2012","09/30/2013"
"VT","Acute myocardial infarction, discharged alive w/o CC/MCC","62","","10/01/2012","09/30/2013"
"WA","Acute myocardial infarction, discharged alive w/o CC/MCC","510","","10/01/2012","09/30/2013"
"WI","Acute myocardial infarction, discharged alive w/o CC/MCC","385","","10/01/2012","09/30/2013"
"WV","Acute myocardial infarction, discharged alive w/o CC/MCC","387","","10/01/2012","09/30/2013"
"WY","Acute myocardial infarction, discharged alive w/o CC/MCC","38","","10/01/2012","09/30/2013"
"AK","Acute myocardial infarction, discharged alive w MCC","59","","10/01/2012","09/30/2013"
"AL","Acute myocardial infarction, discharged alive w MCC","1199","","10/01/2012","09/30/2013"
"AR","Acute myocardial infarction, discharged alive w MCC","709","","10/01/2012","09/30/2013"
"AZ","Acute myocardial infarction, discharged alive w MCC","797","","10/01/2012","09/30/2013"
"CA","Acute myocardial infarction, discharged alive w MCC","5707","","10/01/2012","09/30/2013"
"CO","Acute myocardial infarction, discharged alive w MCC","364","","10/01/2012","09/30/2013"
"CT","Acute myocardial infarction, discharged alive w MCC","1187","","10/01/2012","09/30/2013"
"DC","Acute myocardial infarction, discharged alive w MCC","201","","10/01/2012","09/30/2013"
"DE","Acute myocardial infarction, discharged alive w MCC","234","","10/01/2012","09/30/2013"
"FL","Acute myocardial infarction, discharged alive w MCC","5039","","10/01/2012","09/30/2013"
"GA","Acute myocardial infarction, discharged alive w MCC","1778","","10/01/2012","09/30/2013"
"GU","Acute myocardial infarction, discharged alive w MCC","27","","10/01/2012","09/30/2013"
"HI","Acute myocardial infarction, discharged alive w MCC","242","","10/01/2012","09/30/2013"
"IA","Acute myocardial infarction, discharged alive w MCC","755","","10/01/2012","09/30/2013"
"ID","Acute myocardial infarction, discharged alive w MCC","153","","10/01/2012","09/30/2013"
"IL","Acute myocardial infarction, discharged alive w MCC","3246","","10/01/2012","09/30/2013"
"IN","Acute myocardial infarction, discharged alive w MCC","1726","","10/01/2012","09/30/2013"
"KS","Acute myocardial infarction, discharged alive w MCC","563","","10/01/2012","09/30/2013"
"KY","Acute myocardial infarction, discharged alive w MCC","1543","","10/01/2012","09/30/2013"
"LA","Acute myocardial infarction, discharged alive w MCC","848","","10/01/2012","09/30/2013"
"MA","Acute myocardial infarction, discharged alive w MCC","2101","","10/01/2012","09/30/2013"
"MD","Acute myocardial infarction, discharged alive w MCC","1172","","10/01/2012","09/30/2013"
"ME","Acute myocardial infarction, discharged alive w MCC","672","","10/01/2012","09/30/2013"
"MI","Acute myocardial infarction, discharged alive w MCC","3591","","10/01/2012","09/30/2013"
"MN","Acute myocardial infarction, discharged alive w MCC","928","","10/01/2012","09/30/2013"
"MO","Acute myocardial infarction, discharged alive w MCC","1576","","10/01/2012","09/30/2013"
"MP","Acute myocardial infarction, discharged alive w MCC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2012","09/30/2013"
"MS","Acute myocardial infarction, discharged alive w MCC","802","","10/01/2012","09/30/2013"
"MT","Acute myocardial infarction, discharged alive w MCC","101","","10/01/2012","09/30/2013"
"NC","Acute myocardial infarction, discharged alive w MCC","2905","","10/01/2012","09/30/2013"
"ND","Acute myocardial infarction, discharged alive w MCC","182","","10/01/2012","09/30/2013"
"NE","Acute myocardial infarction, discharged alive w MCC","296","","10/01/2012","09/30/2013"
"NH","Acute myocardial infarction, discharged alive w MCC","414","","10/01/2012","09/30/2013"
"NJ","Acute myocardial infarction, discharged alive w MCC","2933","","10/01/2012","09/30/2013"
"NM","Acute myocardial infarction, discharged alive w MCC","242","","10/01/2012","09/30/2013"
"NV","Acute myocardial infarction, discharged alive w MCC","359","","10/01/2012","09/30/2013"
"NY","Acute myocardial infarction, discharged alive w MCC","5329","","10/01/2012","09/30/2013"
"OH","Acute myocardial infarction, discharged alive w MCC","3015","","10/01/2012","09/30/2013"
"OK","Acute myocardial infarction, discharged alive w MCC","815","","10/01/2012","09/30/2013"
"OR","Acute myocardial infarction, discharged alive w MCC","644","","10/01/2012","09/30/2013"
"PA","Acute myocardial infarction, discharged alive w MCC","3585","","10/01/2012","09/30/2013"
"PR","Acute myocardial infarction, discharged alive w MCC","335","","10/01/2012","09/30/2013"
"RI","Acute myocardial infarction, discharged alive w MCC","500","","10/01/2012","09/30/2013"
"SC","Acute myocardial infarction, discharged alive w MCC","1193","","10/01/2012","09/30/2013"
"SD","Acute myocardial infarction, discharged alive w MCC","183","","10/01/2012","09/30/2013"
"TN","Acute myocardial infarction, discharged alive w MCC","2164","","10/01/2012","09/30/2013"
"TX","Acute myocardial infarction, discharged alive w MCC","4609","","10/01/2012","09/30/2013"
"UT","Acute myocardial infarction, discharged alive w MCC","145","","10/01/2012","09/30/2013"
"VA","Acute myocardial infarction, discharged alive w MCC","1981","","10/01/2012","09/30/2013"
"VI","Acute myocardial infarction, discharged alive w MCC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2012","09/30/2013"
"VT","Acute myocardial infarction, discharged alive w MCC","138","","10/01/2012","09/30/2013"
"WA","Acute myocardial infarction, discharged alive w MCC","1278","","10/01/2012","09/30/2013"
"WI","Acute myocardial infarction, discharged alive w MCC","1071","","10/01/2012","09/30/2013"
"WV","Acute myocardial infarction, discharged alive w MCC","772","","10/01/2012","09/30/2013"
"WY","Acute myocardial infarction, discharged alive w MCC","44","","10/01/2012","09/30/2013"
"AK","Acute myocardial infarction, discharged alive w CC","53","","10/01/2012","09/30/2013"
"AL","Acute myocardial infarction, discharged alive w CC","830","","10/01/2012","09/30/2013"
"AR","Acute myocardial infarction, discharged alive w CC","537","","10/01/2012","09/30/2013"
"AZ","Acute myocardial infarction, discharged alive w CC","682","","10/01/2012","09/30/2013"
"CA","Acute myocardial infarction, discharged alive w CC","3592","","10/01/2012","09/30/2013"
"CO","Acute myocardial infarction, discharged alive w CC","341","","10/01/2012","09/30/2013"
"CT","Acute myocardial infarction, discharged alive w CC","708","","10/01/2012","09/30/2013"
"DC","Acute myocardial infarction, discharged alive w CC","143","","10/01/2012","09/30/2013"
"DE","Acute myocardial infarction, discharged alive w CC","178","","10/01/2012","09/30/2013"
"FL","Acute myocardial infarction, discharged alive w CC","3414","","10/01/2012","09/30/2013"
"GA","Acute myocardial infarction, discharged alive w CC","1249","","10/01/2012","09/30/2013"
"GU","Acute myocardial infarction, discharged alive w CC","23","","10/01/2012","09/30/2013"
"HI","Acute myocardial infarction, discharged alive w CC","200","","10/01/2012","09/30/2013"
"IA","Acute myocardial infarction, discharged alive w CC","488","","10/01/2012","09/30/2013"
"ID","Acute myocardial infarction, discharged alive w CC","167","","10/01/2012","09/30/2013"
"IL","Acute myocardial infarction, discharged alive w CC","1974","","10/01/2012","09/30/2013"
"IN","Acute myocardial infarction, discharged alive w CC","1221","","10/01/2012","09/30/2013"
"KS","Acute myocardial infarction, discharged alive w CC","455","","10/01/2012","09/30/2013"
"KY","Acute myocardial infarction, discharged alive w CC","1108","","10/01/2012","09/30/2013"
"LA","Acute myocardial infarction, discharged alive w CC","612","","10/01/2012","09/30/2013"
"MA","Acute myocardial infarction, discharged alive w CC","1375","","10/01/2012","09/30/2013"
"MD","Acute myocardial infarction, discharged alive w CC","1323","","10/01/2012","09/30/2013"
"ME","Acute myocardial infarction, discharged alive w CC","520","","10/01/2012","09/30/2013"
"MI","Acute myocardial infarction, discharged alive w CC","2350","","10/01/2012","09/30/2013"
"MN","Acute myocardial infarction, discharged alive w CC","779","","10/01/2012","09/30/2013"
"MO","Acute myocardial infarction, discharged alive w CC","963","","10/01/2012","09/30/2013"
"MP","Acute myocardial infarction, discharged alive w CC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2012","09/30/2013"
"MS","Acute myocardial infarction, discharged alive w CC","468","","10/01/2012","09/30/2013"
"MT","Acute myocardial infarction, discharged alive w CC","95","","10/01/2012","09/30/2013"
"NC","Acute myocardial infarction, discharged alive w CC","1955","","10/01/2012","09/30/2013"
"ND","Acute myocardial infarction, discharged alive w CC","149","","10/01/2012","09/30/2013"
"NE","Acute myocardial infarction, discharged alive w CC","251","","10/01/2012","09/30/2013"
"NH","Acute myocardial infarction, discharged alive w CC","295","","10/01/2012","09/30/2013"
"NJ","Acute myocardial infarction, discharged alive w CC","1738","","10/01/2012","09/30/2013"
"NM","Acute myocardial infarction, discharged alive w CC","210","","10/01/2012","09/30/2013"
"NV","Acute myocardial infarction, discharged alive w CC","257","","10/01/2012","09/30/2013"
"NY","Acute myocardial infarction, discharged alive w CC","3378","","10/01/2012","09/30/2013"
"OH","Acute myocardial infarction, discharged alive w CC","1899","","10/01/2012","09/30/2013"
"OK","Acute myocardial infarction, discharged alive w CC","678","","10/01/2012","09/30/2013"
"OR","Acute myocardial infarction, discharged alive w CC","508","","10/01/2012","09/30/2013"
"PA","Acute myocardial infarction, discharged alive w CC","2274","","10/01/2012","09/30/2013"
"PR","Acute myocardial infarction, discharged alive w CC","322","","10/01/2012","09/30/2013"
"RI","Acute myocardial infarction, discharged alive w CC","340","","10/01/2012","09/30/2013"
"SC","Acute myocardial infarction, discharged alive w CC","846","","10/01/2012","09/30/2013"
"SD","Acute myocardial infarction, discharged alive w CC","144","","10/01/2012","09/30/2013"
"TN","Acute myocardial infarction, discharged alive w CC","1431","","10/01/2012","09/30/2013"
"TX","Acute myocardial infarction, discharged alive w CC","2930","","10/01/2012","09/30/2013"
"UT","Acute myocardial infarction, discharged alive w CC","150","","10/01/2012","09/30/2013"
"VA","Acute myocardial infarction, discharged alive w CC","1356","","10/01/2012","09/30/2013"
"VI","Acute myocardial infarction, discharged alive w CC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2012","09/30/2013"
"VT","Acute myocardial infarction, discharged alive w CC","117","","10/01/2012","09/30/2013"
"WA","Acute myocardial infarction, discharged alive w CC","824","","10/01/2012","09/30/2013"
"WI","Acute myocardial infarction, discharged alive w CC","746","","10/01/2012","09/30/2013"
"WV","Acute myocardial infarction, discharged alive w CC","600","","10/01/2012","09/30/2013"
"WY","Acute myocardial infarction, discharged alive w CC","58","","10/01/2012","09/30/2013"
"AK","Heart failure and shock w/o CC/MCC","76","","10/01/2012","09/30/2013"
"AL","Heart failure and shock w/o CC/MCC","1707","","10/01/2012","09/30/2013"
"AR","Heart failure and shock w/o CC/MCC","1181","","10/01/2012","09/30/2013"
"AS","Heart failure and shock w/o CC/MCC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2012","09/30/2013"
"AZ","Heart failure and shock w/o CC/MCC","831","","10/01/2012","09/30/2013"
"CA","Heart failure and shock w/o CC/MCC","4702","","10/01/2012","09/30/2013"
"CO","Heart failure and shock w/o CC/MCC","458","","10/01/2012","09/30/2013"
"CT","Heart failure and shock w/o CC/MCC","1018","","10/01/2012","09/30/2013"
"DC","Heart failure and shock w/o CC/MCC","334","","10/01/2012","09/30/2013"
"DE","Heart failure and shock w/o CC/MCC","275","","10/01/2012","09/30/2013"
"FL","Heart failure and shock w/o CC/MCC","5545","","10/01/2012","09/30/2013"
"GA","Heart failure and shock w/o CC/MCC","2039","","10/01/2012","09/30/2013"
"GU","Heart failure and shock w/o CC/MCC","28","","10/01/2012","09/30/2013"
"HI","Heart failure and shock w/o CC/MCC","150","","10/01/2012","09/30/2013"
"IA","Heart failure and shock w/o CC/MCC","693","","10/01/2012","09/30/2013"
"ID","Heart failure and shock w/o CC/MCC","138","","10/01/2012","09/30/2013"
"IL","Heart failure and shock w/o CC/MCC","3719","","10/01/2012","09/30/2013"
"IN","Heart failure and shock w/o CC/MCC","2212","","10/01/2012","09/30/2013"
"KS","Heart failure and shock w/o CC/MCC","650","","10/01/2012","09/30/2013"
"KY","Heart failure and shock w/o CC/MCC","1626","","10/01/2012","09/30/2013"
"LA","Heart failure and shock w/o CC/MCC","1813","","10/01/2012","09/30/2013"
"MA","Heart failure and shock w/o CC/MCC","1991","","10/01/2012","09/30/2013"
"MD","Heart failure and shock w/o CC/MCC","1867","","10/01/2012","09/30/2013"
"ME","Heart failure and shock w/o CC/MCC","312","","10/01/2012","09/30/2013"
"MI","Heart failure and shock w/o CC/MCC","2631","","10/01/2012","09/30/2013"
"MN","Heart failure and shock w/o CC/MCC","1024","","10/01/2012","09/30/2013"
"MO","Heart failure and shock w/o CC/MCC","1705","","10/01/2012","09/30/2013"
"MP","Heart failure and shock w/o CC/MCC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2012","09/30/2013"
"MS","Heart failure and shock w/o CC/MCC","1253","","10/01/2012","09/30/2013"
"MT","Heart failure and shock w/o CC/MCC","153","","10/01/2012","09/30/2013"
"NC","Heart failure and shock w/o CC/MCC","2494","","10/01/2012","09/30/2013"
"ND","Heart failure and shock w/o CC/MCC","138","","10/01/2012","09/30/2013"
"NE","Heart failure and shock w/o CC/MCC","362","","10/01/2012","09/30/2013"
"NH","Heart failure and shock w/o CC/MCC","285","","10/01/2012","09/30/2013"
"NJ","Heart failure and shock w/o CC/MCC","3064","","10/01/2012","09/30/2013"
"NM","Heart failure and shock w/o CC/MCC","321","","10/01/2012","09/30/2013"
"NV","Heart failure and shock w/o CC/MCC","461","","10/01/2012","09/30/2013"
"NY","Heart failure and shock w/o CC/MCC","6010","","10/01/2012","09/30/2013"
"OH","Heart failure and shock w/o CC/MCC","2984","","10/01/2012","09/30/2013"
"OK","Heart failure and shock w/o CC/MCC","1129","","10/01/2012","09/30/2013"
"OR","Heart failure and shock w/o CC/MCC","477","","10/01/2012","09/30/2013"
"PA","Heart failure and shock w/o CC/MCC","4084","","10/01/2012","09/30/2013"
"PR","Heart failure and shock w/o CC/MCC","625","","10/01/2012","09/30/2013"
"RI","Heart failure and shock w/o CC/MCC","248","","10/01/2012","09/30/2013"
"SC","Heart failure and shock w/o CC/MCC","1276","","10/01/2012","09/30/2013"
"SD","Heart failure and shock w/o CC/MCC","203","","10/01/2012","09/30/2013"
"TN","Heart failure and shock w/o CC/MCC","1821","","10/01/2012","09/30/2013"
"TX","Heart failure and shock w/o CC/MCC","5231","","10/01/2012","09/30/2013"
"UT","Heart failure and shock w/o CC/MCC","294","","10/01/2012","09/30/2013"
"VA","Heart failure and shock w/o CC/MCC","1819","","10/01/2012","09/30/2013"
"VI","Heart failure and shock w/o CC/MCC","60","","10/01/2012","09/30/2013"
"VT","Heart failure and shock w/o CC/MCC","121","","10/01/2012","09/30/2013"
"WA","Heart failure and shock w/o CC/MCC","792","","10/01/2012","09/30/2013"
"WI","Heart failure and shock w/o CC/MCC","1143","","10/01/2012","09/30/2013"
"WV","Heart failure and shock w/o CC/MCC","734","","10/01/2012","09/30/2013"
"WY","Heart failure and shock w/o CC/MCC","109","","10/01/2012","09/30/2013"
"AK","Heart failure and shock w MCC","137","","10/01/2012","09/30/2013"
"AL","Heart failure and shock w MCC","4082","","10/01/2012","09/30/2013"
"AR","Heart failure and shock w MCC","2146","","10/01/2012","09/30/2013"
"AS","Heart failure and shock w MCC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2012","09/30/2013"
"AZ","Heart failure and shock w MCC","2280","","10/01/2012","09/30/2013"
"CA","Heart failure and shock w MCC","16347","","10/01/2012","09/30/2013"
"CO","Heart failure and shock w MCC","1279","","10/01/2012","09/30/2013"
"CT","Heart failure and shock w MCC","3161","","10/01/2012","09/30/2013"
"DC","Heart failure and shock w MCC","523","","10/01/2012","09/30/2013"
"DE","Heart failure and shock w MCC","882","","10/01/2012","09/30/2013"
"FL","Heart failure and shock w MCC","15335","","10/01/2012","09/30/2013"
"GA","Heart failure and shock w MCC","6107","","10/01/2012","09/30/2013"
"GU","Heart failure and shock w MCC","49","","10/01/2012","09/30/2013"
"HI","Heart failure and shock w MCC","418","","10/01/2012","09/30/2013"
"IA","Heart failure and shock w MCC","1900","","10/01/2012","09/30/2013"
"ID","Heart failure and shock w MCC","462","","10/01/2012","09/30/2013"
"IL","Heart failure and shock w MCC","10074","","10/01/2012","09/30/2013"
"IN","Heart failure and shock w MCC","5209","","10/01/2012","09/30/2013"
"KS","Heart failure and shock w MCC","1582","","10/01/2012","09/30/2013"
"KY","Heart failure and shock w MCC","4198","","10/01/2012","09/30/2013"
"LA","Heart failure and shock w MCC","3560","","10/01/2012","09/30/2013"
"MA","Heart failure and shock w MCC","5537","","10/01/2012","09/30/2013"
"MD","Heart failure and shock w MCC","4147","","10/01/2012","09/30/2013"
"ME","Heart failure and shock w MCC","902","","10/01/2012","09/30/2013"
"MI","Heart failure and shock w MCC","10099","","10/01/2012","09/30/2013"
"MN","Heart failure and shock w MCC","2606","","10/01/2012","09/30/2013"
"MO","Heart failure and shock w MCC","5362","","10/01/2012","09/30/2013"
"MP","Heart failure and shock w MCC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2012","09/30/2013"
"MS","Heart failure and shock w MCC","2870","","10/01/2012","09/30/2013"
"MT","Heart failure and shock w MCC","440","","10/01/2012","09/30/2013"
"NC","Heart failure and shock w MCC","8748","","10/01/2012","09/30/2013"
"ND","Heart failure and shock w MCC","539","","10/01/2012","09/30/2013"
"NE","Heart failure and shock w MCC","758","","10/01/2012","09/30/2013"
"NH","Heart failure and shock w MCC","823","","10/01/2012","09/30/2013"
"NJ","Heart failure and shock w MCC","7112","","10/01/2012","09/30/2013"
"NM","Heart failure and shock w MCC","589","","10/01/2012","09/30/2013"
"NV","Heart failure and shock w MCC","1177","","10/01/2012","09/30/2013"
"NY","Heart failure and shock w MCC","12072","","10/01/2012","09/30/2013"
"OH","Heart failure and shock w MCC","8325","","10/01/2012","09/30/2013"
"OK","Heart failure and shock w MCC","2159","","10/01/2012","09/30/2013"
"OR","Heart failure and shock w MCC","1354","","10/01/2012","09/30/2013"
"PA","Heart failure and shock w MCC","8889","","10/01/2012","09/30/2013"
"PR","Heart failure and shock w MCC","692","","10/01/2012","09/30/2013"
"RI","Heart failure and shock w MCC","701","","10/01/2012","09/30/2013"
"SC","Heart failure and shock w MCC","3530","","10/01/2012","09/30/2013"
"SD","Heart failure and shock w MCC","466","","10/01/2012","09/30/2013"
"TN","Heart failure and shock w MCC","5199","","10/01/2012","09/30/2013"
"TX","Heart failure and shock w MCC","13594","","10/01/2012","09/30/2013"
"UT","Heart failure and shock w MCC","547","","10/01/2012","09/30/2013"
"VA","Heart failure and shock w MCC","6496","","10/01/2012","09/30/2013"
"VI","Heart failure and shock w MCC","28","","10/01/2012","09/30/2013"
"VT","Heart failure and shock w MCC","279","","10/01/2012","09/30/2013"
"WA","Heart failure and shock w MCC","3492","","10/01/2012","09/30/2013"
"WI","Heart failure and shock w MCC","2990","","10/01/2012","09/30/2013"
"WV","Heart failure and shock w MCC","1606","","10/01/2012","09/30/2013"
"WY","Heart failure and shock w MCC","135","","10/01/2012","09/30/2013"
"AK","Heart failure and shock w CC","184","","10/01/2012","09/30/2013"
"AL","Heart failure and shock w CC","4198","","10/01/2012","09/30/2013"
"AR","Heart failure and shock w CC","2348","","10/01/2012","09/30/2013"
"AS","Heart failure and shock w CC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2012","09/30/2013"
"AZ","Heart failure and shock w CC","2469","","10/01/2012","09/30/2013"
"CA","Heart failure and shock w CC","12421","","10/01/2012","09/30/2013"
"CO","Heart failure and shock w CC","1395","","10/01/2012","09/30/2013"
"CT","Heart failure and shock w CC","3017","","10/01/2012","09/30/2013"
"DC","Heart failure and shock w CC","782","","10/01/2012","09/30/2013"
"DE","Heart failure and shock w CC","852","","10/01/2012","09/30/2013"
"FL","Heart failure and shock w CC","15536","","10/01/2012","09/30/2013"
"GA","Heart failure and shock w CC","6073","","10/01/2012","09/30/2013"
"GU","Heart failure and shock w CC","17","","10/01/2012","09/30/2013"
"HI","Heart failure and shock w CC","387","","10/01/2012","09/30/2013"
"IA","Heart failure and shock w CC","1867","","10/01/2012","09/30/2013"
"ID","Heart failure and shock w CC","449","","10/01/2012","09/30/2013"
"IL","Heart failure and shock w CC","10247","","10/01/2012","09/30/2013"
"IN","Heart failure and shock w CC","5842","","10/01/2012","09/30/2013"
"KS","Heart failure and shock w CC","1670","","10/01/2012","09/30/2013"
"KY","Heart failure and shock w CC","4014","","10/01/2012","09/30/2013"
"LA","Heart failure and shock w CC","4303","","10/01/2012","09/30/2013"
"MA","Heart failure and shock w CC","6278","","10/01/2012","09/30/2013"
"MD","Heart failure and shock w CC","5381","","10/01/2012","09/30/2013"
"ME","Heart failure and shock w CC","1064","","10/01/2012","09/30/2013"
"MI","Heart failure and shock w CC","8914","","10/01/2012","09/30/2013"
"MN","Heart failure and shock w CC","3129","","10/01/2012","09/30/2013"
"MO","Heart failure and shock w CC","5021","","10/01/2012","09/30/2013"
"MP","Heart failure and shock w CC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2012","09/30/2013"
"MS","Heart failure and shock w CC","2956","","10/01/2012","09/30/2013"
"MT","Heart failure and shock w CC","392","","10/01/2012","09/30/2013"
"NC","Heart failure and shock w CC","7580","","10/01/2012","09/30/2013"
"ND","Heart failure and shock w CC","419","","10/01/2012","09/30/2013"
"NE","Heart failure and shock w CC","1164","","10/01/2012","09/30/2013"
"NH","Heart failure and shock w CC","968","","10/01/2012","09/30/2013"
"NJ","Heart failure and shock w CC","7822","","10/01/2012","09/30/2013"
"NM","Heart failure and shock w CC","815","","10/01/2012","09/30/2013"
"NV","Heart failure and shock w CC","970","","10/01/2012","09/30/2013"
"NY","Heart failure and shock w CC","14452","","10/01/2012","09/30/2013"
"OH","Heart failure and shock w CC","8840","","10/01/2012","09/30/2013"
"OK","Heart failure and shock w CC","2787","","10/01/2012","09/30/2013"
"OR","Heart failure and shock w CC","1619","","10/01/2012","09/30/2013"
"PA","Heart failure and shock w CC","10312","","10/01/2012","09/30/2013"
"PR","Heart failure and shock w CC","659","","10/01/2012","09/30/2013"
"RI","Heart failure and shock w CC","887","","10/01/2012","09/30/2013"
"SC","Heart failure and shock w CC","3748","","10/01/2012","09/30/2013"
"SD","Heart failure and shock w CC","560","","10/01/2012","09/30/2013"
"TN","Heart failure and shock w CC","5324","","10/01/2012","09/30/2013"
"TX","Heart failure and shock w CC","13471","","10/01/2012","09/30/2013"
"UT","Heart failure and shock w CC","732","","10/01/2012","09/30/2013"
"VA","Heart failure and shock w CC","6102","","10/01/2012","09/30/2013"
"VI","Heart failure and shock w CC","41","","10/01/2012","09/30/2013"
"VT","Heart failure and shock w CC","318","","10/01/2012","09/30/2013"
"WA","Heart failure and shock w CC","3077","","10/01/2012","09/30/2013"
"WI","Heart failure and shock w CC","3689","","10/01/2012","09/30/2013"
"WV","Heart failure and shock w CC","2013","","10/01/2012","09/30/2013"
"WY","Heart failure and shock w CC","227","","10/01/2012","09/30/2013"
