"State","Measure Name","Measure ID","Number of Hospitals Worse","Number of Hospitals Same","Number of Hospitals Better","Number of Hospitals Too Few","Footnote","Measure Start Date","Measure End Date"
"MP","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","0","0","1","","07/01/2010","06/30/2013"
"MS","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","34","0","51","","07/01/2010","06/30/2013"
"MT","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","9","0","36","","07/01/2010","06/30/2013"
"NC","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","80","3","24","","07/01/2010","06/30/2013"
"ND","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","8","0","30","","07/01/2010","06/30/2013"
"NE","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","20","0","57","","07/01/2010","06/30/2013"
"NH","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","19","1","6","","07/01/2010","06/30/2013"
"NJ","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","1","57","4","3","","07/01/2010","06/30/2013"
"NM","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","14","0","24","","07/01/2010","06/30/2013"
"NV","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","1","19","0","13","","07/01/2010","06/30/2013"
"NY","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","142","8","28","","07/01/2010","06/30/2013"
"OH","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","107","0","52","","07/01/2010","06/30/2013"
"OK","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","35","0","63","","07/01/2010","06/30/2013"
"OR","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","28","0","31","","07/01/2010","06/30/2013"
"PA","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","3","121","5","34","","07/01/2010","06/30/2013"
"PR","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","18","0","29","","07/01/2010","06/30/2013"
"RI","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","11","0","0","","07/01/2010","06/30/2013"
"SC","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","39","1","22","","07/01/2010","06/30/2013"
"SD","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","9","1","40","","07/01/2010","06/30/2013"
"TN","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","62","1","50","","07/01/2010","06/30/2013"
"TX","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","3","180","2","155","","07/01/2010","06/30/2013"
"UT","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","16","0","21","","07/01/2010","06/30/2013"
"VA","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","70","0","12","","07/01/2010","06/30/2013"
"VI","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","1","0","1","","07/01/2010","06/30/2013"
"VT","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","11","0","4","","07/01/2010","06/30/2013"
"WA","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","1","45","0","40","","07/01/2010","06/30/2013"
"WI","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","1","58","1","61","","07/01/2010","06/30/2013"
"WV","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","1","28","1","24","","07/01/2010","06/30/2013"
"WY","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","2","0","24","","07/01/2010","06/30/2013"
"AK","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","1","9","0","12","","07/01/2010","06/30/2013"
"AL","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","1","85","0","15","","07/01/2010","06/30/2013"
"AR","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","9","63","0","3","","07/01/2010","06/30/2013"
"AS","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","0","0","0","1","","07/01/2010","06/30/2013"
"AZ","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","0","57","1","19","","07/01/2010","06/30/2013"
"CA","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","7","246","25","59","","07/01/2010","06/30/2013"
"CO","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","0","53","1","20","","07/01/2010","06/30/2013"
"CT","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","1","27","3","1","","07/01/2010","06/30/2013"
"DC","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","0","6","2","0","","07/01/2010","06/30/2013"
"DE","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","0","6","1","0","","07/01/2010","06/30/2013"
"FL","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","3","163","13","8","","07/01/2010","06/30/2013"
"GA","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","0","122","2","19","","07/01/2010","06/30/2013"
"GU","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","0","1","0","0","","07/01/2010","06/30/2013"
"HI","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","0","15","0","4","","07/01/2010","06/30/2013"
"IA","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","1","92","0","25","","07/01/2010","06/30/2013"
"ID","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","2","18","0","20","","07/01/2010","06/30/2013"
"IL","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","4","155","17","8","","07/01/2010","06/30/2013"
"IN","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","5","108","2","7","","07/01/2010","06/30/2013"
"KS","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","1","77","0","54","","07/01/2010","06/30/2013"
"KY","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","3","87","2","4","","07/01/2010","06/30/2013"
"LA","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","4","82","1","23","","07/01/2010","06/30/2013"
"MA","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","1","48","13","2","","07/01/2010","06/30/2013"
"MD","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","1","36","10","1","","07/01/2010","06/30/2013"
"ME","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","0","35","0","1","","07/01/2010","06/30/2013"
"MI","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","3","106","9","13","","07/01/2010","06/30/2013"
"MN","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","0","81","0","50","","07/01/2010","06/30/2013"
"MO","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","1","101","4","11","","07/01/2010","06/30/2013"
"MP","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","0","0","0","1","","07/01/2010","06/30/2013"
"MS","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","1","78","0","18","","07/01/2010","06/30/2013"
"MT","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","1","24","0","35","","07/01/2010","06/30/2013"
"NC","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","4","96","4","7","","07/01/2010","06/30/2013"
"ND","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","0","23","0","20","","07/01/2010","06/30/2013"
"NE","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","1","46","0","37","","07/01/2010","06/30/2013"
"NH","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","1","24","0","1","","07/01/2010","06/30/2013"
"NJ","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","0","57","8","0","","07/01/2010","06/30/2013"
"NM","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","2","29","0","11","","07/01/2010","06/30/2013"
"NV","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","1","29","0","5","","07/01/2010","06/30/2013"
"NY","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","6","154","14","9","","07/01/2010","06/30/2013"
"OH","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","1","142","11","12","","07/01/2010","06/30/2013"
"OK","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","2","81","2","33","","07/01/2010","06/30/2013"
"OR","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","3","48","1","8","","07/01/2010","06/30/2013"
"PA","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","4","145","11","6","","07/01/2010","06/30/2013"
"PR","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","1","24","0","24","","07/01/2010","06/30/2013"
"RI","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","0","11","0","1","","07/01/2010","06/30/2013"
"SC","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","2","57","0","4","","07/01/2010","06/30/2013"
"SD","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","1","26","0","27","","07/01/2010","06/30/2013"
"TN","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","4","101","1","10","","07/01/2010","06/30/2013"
"TX","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","6","289","9","71","","07/01/2010","06/30/2013"
"UT","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","0","23","0","19","","07/01/2010","06/30/2013"
"VA","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","2","78","2","3","","07/01/2010","06/30/2013"
"VI","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","0","2","0","0","","07/01/2010","06/30/2013"
"VT","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","0","14","0","1","","07/01/2010","06/30/2013"
"WA","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","6","60","0","24","","07/01/2010","06/30/2013"
"WI","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","5","107","0","13","","07/01/2010","06/30/2013"
"WV","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","1","44","1","8","","07/01/2010","06/30/2013"
"WY","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","0","16","0","13","","07/01/2010","06/30/2013"
"AK","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","0","15","0","7","","07/01/2010","06/30/2013"
"AL","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","8","85","1","7","","07/01/2010","06/30/2013"
"AR","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","10","64","0","2","","07/01/2010","06/30/2013"
"AS","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","0","1","0","0","","07/01/2010","06/30/2013"
"AZ","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","4","63","3","10","","07/01/2010","06/30/2013"
"CA","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","20","238","36","48","","07/01/2010","06/30/2013"
"CO","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","1","62","1","11","","07/01/2010","06/30/2013"
"CT","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","1","28","3","0","","07/01/2010","06/30/2013"
"DC","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","0","8","0","0","","07/01/2010","06/30/2013"
"DE","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","0","7","0","0","","07/01/2010","06/30/2013"
"FL","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","6","165","13","4","","07/01/2010","06/30/2013"
"GA","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","13","123","2","5","","07/01/2010","06/30/2013"
"GU","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","0","1","0","0","","07/01/2010","06/30/2013"
"HI","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","0","14","0","6","","07/01/2010","06/30/2013"
"IA","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","4","106","4","4","","07/01/2010","06/30/2013"
"ID","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","0","33","0","6","","07/01/2010","06/30/2013"
"IL","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","8","156","16","4","","07/01/2010","06/30/2013"
"IN","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","5","110","2","5","","07/01/2010","06/30/2013"
"KS","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","5","112","1","14","","07/01/2010","06/30/2013"
"KY","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","7","88","1","0","","07/01/2010","06/30/2013"
"LA","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","4","90","2","16","","07/01/2010","06/30/2013"
"MA","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","0","50","13","2","","07/01/2010","06/30/2013"
"MD","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","1","38","8","1","","07/01/2010","06/30/2013"
"ME","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","1","35","0","1","","07/01/2010","06/30/2013"
"MI","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","4","109","14","3","","07/01/2010","06/30/2013"
"MN","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","1","107","2","21","","07/01/2010","06/30/2013"
"MO","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","5","101","6","7","","07/01/2010","06/30/2013"
"MP","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","0","1","0","0","","07/01/2010","06/30/2013"
"MS","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","8","80","0","9","","07/01/2010","06/30/2013"
"MT","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","1","37","1","23","","07/01/2010","06/30/2013"
"NC","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","9","94","6","2","","07/01/2010","06/30/2013"
"ND","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","1","38","1","4","","07/01/2010","06/30/2013"
"NE","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","2","69","1","14","","07/01/2010","06/30/2013"
"NH","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","0","24","2","0","","07/01/2010","06/30/2013"
"NJ","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","3","49","13","0","","07/01/2010","06/30/2013"
"NM","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","0","38","0","5","","07/01/2010","06/30/2013"
"NV","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","2","28","0","6","","07/01/2010","06/30/2013"
"NY","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","6","160","14","4","","07/01/2010","06/30/2013"
"OH","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","6","146","6","7","","07/01/2010","06/30/2013"
"OK","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","7","101","1","8","","07/01/2010","06/30/2013"
"OR","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","1","56","1","2","","07/01/2010","06/30/2013"
"PA","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","4","148","10","4","","07/01/2010","06/30/2013"
"PR","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","3","26","0","21","","07/01/2010","06/30/2013"
"RI","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","0","11","0","1","","07/01/2010","06/30/2013"
"SC","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","4","57","2","0","","07/01/2010","06/30/2013"
"SD","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","1","49","2","5","","07/01/2010","06/30/2013"
"TN","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","13","98","1","4","","07/01/2010","06/30/2013"
"TX","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","8","307","16","52","","07/01/2010","06/30/2013"
"UT","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","1","36","0","5","","07/01/2010","06/30/2013"
"VA","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","4","75","2","5","","07/01/2010","06/30/2013"
"VI","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","0","2","0","0","","07/01/2010","06/30/2013"
"VT","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","0","15","0","0","","07/01/2010","06/30/2013"
"WA","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","3","75","2","10","","07/01/2010","06/30/2013"
"WI","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","0","119","1","5","","07/01/2010","06/30/2013"
"WV","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","3","49","2","0","","07/01/2010","06/30/2013"
"WY","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","0","25","0","4","","07/01/2010","06/30/2013"
"AK","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","5","0","13","","07/01/2010","06/30/2013"
"AL","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","1","38","0","58","","07/01/2010","06/30/2013"
"AR","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","26","0","48","","07/01/2010","06/30/2013"
"AS","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","0","0","1","","07/01/2010","06/30/2013"
"AZ","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","48","0","25","","07/01/2010","06/30/2013"
"CA","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","206","1","120","","07/01/2010","06/30/2013"
"CO","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","32","1","35","","07/01/2010","06/30/2013"
"CT","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","1","28","0","2","","07/01/2010","06/30/2013"
"DC","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","6","0","2","","07/01/2010","06/30/2013"
"DE","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","6","0","1","","07/01/2010","06/30/2013"
"FL","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","1","144","4","33","","07/01/2010","06/30/2013"
"GA","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","1","63","0","68","","07/01/2010","06/30/2013"
"GU","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","1","0","0","","07/01/2010","06/30/2013"
"HI","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","12","0","4","","07/01/2010","06/30/2013"
"IA","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","28","1","80","","07/01/2010","06/30/2013"
"ID","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","10","0","23","","07/01/2010","06/30/2013"
"IL","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","2","106","0","70","","07/01/2010","06/30/2013"
"IN","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","59","2","56","","07/01/2010","06/30/2013"
"KS","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","25","0","87","","07/01/2010","06/30/2013"
"KY","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","2","39","0","50","","07/01/2010","06/30/2013"
"LA","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","43","0","53","","07/01/2010","06/30/2013"
"MA","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","1","52","1","9","","07/01/2010","06/30/2013"
"MD","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","43","0","4","","07/01/2010","06/30/2013"
"ME","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","21","1","14","","07/01/2010","06/30/2013"
"MI","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","2","69","3","51","","07/01/2010","06/30/2013"
"MN","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","29","0","83","","07/01/2010","06/30/2013"
"MO","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","53","0","58","","07/01/2010","06/30/2013"
"MP","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","0","0","1","","07/01/2010","06/30/2013"
"MS","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","28","0","51","","07/01/2010","06/30/2013"
"MT","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","9","0","31","","07/01/2010","06/30/2013"
"NC","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","1","69","2","33","","07/01/2010","06/30/2013"
"ND","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","8","0","30","","07/01/2010","06/30/2013"
"NE","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","18","0","52","","07/01/2010","06/30/2013"
"NH","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","16","0","10","","07/01/2010","06/30/2013"
"NJ","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","2","58","0","5","","07/01/2010","06/30/2013"
"NM","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","12","0","23","","07/01/2010","06/30/2013"
"NV","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","18","0","14","","07/01/2010","06/30/2013"
"NY","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","3","136","0","38","","07/01/2010","06/30/2013"
"OH","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","96","1","61","","07/01/2010","06/30/2013"
"OK","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","33","0","61","","07/01/2010","06/30/2013"
"OR","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","23","1","35","","07/01/2010","06/30/2013"
"PA","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","119","0","44","","07/01/2010","06/30/2013"
"PR","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","1","15","0","30","","07/01/2010","06/30/2013"
"RI","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","11","0","0","","07/01/2010","06/30/2013"
"SC","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","1","36","0","25","","07/01/2010","06/30/2013"
"SD","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","9","0","36","","07/01/2010","06/30/2013"
"TN","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","2","52","1","56","","07/01/2010","06/30/2013"
"TX","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","171","1","154","","07/01/2010","06/30/2013"
"UT","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","15","0","21","","07/01/2010","06/30/2013"
"VA","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","2","62","0","17","","07/01/2010","06/30/2013"
