Provider_ID,Hospital_Name,Measure_ID,Gastrointestinal,Eye,Nervous System,Musculoskeletal,Skin,Genitourinary,Cardiovascular,Start_Date,End_Date
"010090","PROVIDENCE HOSPITAL","OP-26","6007","1123","2034","1093","1896","960","316","01/01/2012","12/31/2012"
"010091","GROVE HILL MEMORIAL HOSPITAL","OP-26","757","0","3","9","272","40","39","01/01/2012","12/31/2012"
"010092","D C H REGIONAL MEDICAL CENTER","OP-26","5193","105","12168","2853","3640","954","1685","01/01/2012","12/31/2012"
"010095","HALE COUNTY HOSPITAL","OP-26","0","0","0","0","0","0","0","01/01/2012","12/31/2012"
"010097","ELMORE COMMUNITY HOSPITAL","OP-26","377","101","0","245","0","36","0","01/01/2012","12/31/2012"
"010099","D W MCMILLAN MEMORIAL HOSPITAL","OP-26","676","0","0","3","529","83","52","01/01/2012","12/31/2012"
"010100","GULF HEALTH HOSPITALS, INC., D/B/A/THOMAS HOSPITAL","OP-26","3998","122","895","6","66","347","82","01/01/2012","12/31/2012"
"010101","CITIZENS BMC","OP-26","1953","442","574","78","26","63","15","01/01/2012","12/31/2012"
"010102","J PAUL JONES HOSPITAL","OP-26","0","0","0","0","0","0","0","01/01/2012","12/31/2012"
"010103","BAPTIST MEDICAL CENTER-PRINCETON","OP-26","5634","1032","1896","870","355","116","858","01/01/2012","12/31/2012"
"010104","TRINITY MEDICAL CENTER","OP-26","2477","298","2294","2200","1033","719","319","01/01/2012","12/31/2012"
"010108","PRATTVILLE BAPTIST HOSPITAL","OP-26","1839","498","0","39","18","3","34","01/01/2012","12/31/2012"
"010109","PICKENS COUNTY MEDICAL CENTER","OP-26","378","0","0","0","0","0","0","01/01/2012","12/31/2012"
"010110","BULLOCK COUNTY HOSPITAL","OP-26","0","0","0","0","0","0","0","01/01/2012","12/31/2012"
"010112","BRYAN W WHITFIELD MEM HOSP INC","OP-26","480","168","0","324","1780","244","80","01/01/2012","12/31/2012"
"010113","MOBILE INFIRMARY ASSOCIATION, D/B/A MOBILE INFIRMARY","OP-26","9803","1","4152","590","134","803","1255","01/01/2012","12/31/2012"
"010114","MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM","OP-26","4476","411","1599","1076","2076","452","378","01/01/2012","12/31/2012"
"010118","VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS","OP-26","1189","243","3","108","41","146","177","01/01/2012","12/31/2012"
"010120","MONROE COUNTY HOSPITAL","OP-26","1012","37","0","0","10","22","0","01/01/2012","12/31/2012"
"010125","LAKELAND COMMUNITY HOSPITAL","OP-26","306","118","3","104","261","41","17","01/01/2012","12/31/2012"
"010126","TROY REGIONAL MEDICAL CENTER","OP-26","1657","0","173","106","17","102","20","01/01/2012","12/31/2012"
"010128","JACKSON MEDICAL CENTER","OP-26","0","15","0","0","0","0","0","01/01/2012","12/31/2012"
"010129","GULF HEALTH HOSPITALS, INC., D/B/A NORTH BALDWIN INFIRMARY","OP-26","666","146","285","63","29","23","14","01/01/2012","12/31/2012"
"010130","ST VINCENT'S ST CLAIR","OP-26","1171","62","550","169","51","20","103","01/01/2012","12/31/2012"
"010131","CRESTWOOD MEDICAL CENTER","OP-26","7411","4","3103","2985","2093","820","230","01/01/2012","12/31/2012"
"010138","HILL HOSPITAL OF SUMTER COUNTY","OP-26","0","0","0","0","0","0","0","01/01/2012","12/31/2012"
"010139","BROOKWOOD MEDICAL CENTER","OP-26","2992","484","6198","3022","4067","1722","796","01/01/2012","12/31/2012"
"010144","SPRINGHILL MEDICAL CENTER","OP-26","4551","0","469","453","432","806","457","01/01/2012","12/31/2012"
"010146","RMC JACKSONVILLE","OP-26","402","120","231","73","16","89","0","01/01/2012","12/31/2012"
"010148","EVERGREEN MEDICAL CENTER","OP-26","451","0","0","27","79","4","0","01/01/2012","12/31/2012"
"010149","BAPTIST MEDICAL CENTER EAST","OP-26","9217","5","0","197","37","215","120","01/01/2012","12/31/2012"
"010150","L V STABLER MEMORIAL HOSPITAL","OP-26","666","0","0","301","46","6","0","01/01/2012","12/31/2012"
"010157","SHOALS HOSPITAL","OP-26","2704","0","97","68","20","29","51","01/01/2012","12/31/2012"
"010158","RUSSELLVILLE HOSPITAL","OP-26","575","91","136","522","419","123","22","01/01/2012","12/31/2012"
"010164","COOSA VALLEY MEDICAL CENTER","OP-26","160","413","7","215","43","166","49","01/01/2012","12/31/2012"
"010168","JACK HUGHSTON MEMORIAL HOSPITAL","OP-26","264","0","0","3078","0","0","0","01/01/2012","12/31/2012"
"010169","ATMORE COMMUNITY HOSPITAL","OP-26","849","0","73","12","11","18","48","01/01/2012","12/31/2012"
"011300","WASHINGTON COUNTY HOSPITAL","OP-26","0","0","0","0","0","0","0","01/01/2012","12/31/2012"
"011302","RED BAY HOSPITAL","OP-26","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","01/01/2012","12/31/2012"
"011304","CHOCTAW GENERAL HOSPITAL","OP-26","0","0","0","0","0","0","0","01/01/2012","12/31/2012"
"011305","ST. VINCENT'S BLOUNT","OP-26","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","01/01/2012","12/31/2012"
"020001","PROVIDENCE ALASKA MEDICAL CENTER","OP-26","2902","625","0","388","291","331","101","01/01/2012","12/31/2012"
"020006","MAT-SU REGIONAL MEDICAL CENTER","OP-26","2568","449","6","384","43","180","80","01/01/2012","12/31/2012"
"020008","BARTLETT REGIONAL HOSPITAL","OP-26","1044","25","89","365","23","107","9","01/01/2012","12/31/2012"
"020012","FAIRBANKS MEMORIAL HOSPITAL","OP-26","3365","545","1672","497","142","241","150","01/01/2012","12/31/2012"
"020017","ALASKA REGIONAL HOSPITAL","OP-26","1489","282","37","655","25","148","183","01/01/2012","12/31/2012"
"020024","CENTRAL PENINSULA GENERAL HOSPITAL","OP-26","976","188","547","362","17","86","29","01/01/2012","12/31/2012"
"020026","ALASKA NATIVE MEDICAL CENTER","OP-26","0","0","0","0","0","0","0","01/01/2012","12/31/2012"
"021306","PROVIDENCE KODIAK ISLAND MEDICAL CENTER","OP-26","319","0","4","73","6","7","1","01/01/2012","12/31/2012"
"021311","PEACEHEALTH KETCHIKAN MEDICAL CENTER","OP-26","1041","13","82","212","30","149","18","01/01/2012","12/31/2012"
"021313","SOUTH PENINSULA HOSPITAL","OP-26","854","199","31","378","53","90","21","01/01/2012","12/31/2012"
"030001","MARYVALE HOSPITAL","OP-26","808","0","310","1012","786","316","158","01/01/2012","12/31/2012"
"030002","BANNER GOOD SAMARITAN MEDICAL CENTER","OP-26","1779","0","66","964","1541","351","1457","01/01/2012","12/31/2012"
"030006","TUCSON MEDICAL CENTER","OP-26","2884","80","8973","2814","626","1605","968","01/01/2012","12/31/2012"
"030007","VERDE VALLEY MEDICAL CENTER","OP-26","3577","40","91","557","21","186","183","01/01/2012","12/31/2012"
"030010","CARONDELET ST  MARYS HOSPITAL","OP-26","5284","0","4","607","90","143","432","01/01/2012","12/31/2012"
"030011","CARONDELET ST JOSEPH'S HOSPITAL","OP-26","1348","921","0","914","143","419","271","01/01/2012","12/31/2012"
"030012","YAVAPAI REGIONAL MEDICAL CENTER","OP-26","3123","0","66","181","267","119","394","01/01/2012","12/31/2012"
"030013","YUMA REGIONAL MEDICAL CENTER","OP-26","785","79","49","344","49","795","1054","01/01/2012","12/31/2012"
"030014","JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL","OP-26","1725","2","1022","1212","145","226","304","01/01/2012","12/31/2012"
"030016","BANNER CASA GRANDE MEDICAL CENTER","OP-26","3348","0","0","559","29","716","59","01/01/2012","12/31/2012"
"030022","MARICOPA MEDICAL CENTER","OP-26","95","293","0","197","68","130","17","01/01/2012","12/31/2012"
"030023","FLAGSTAFF MEDICAL CENTER","OP-26","421","1","177","359","67","82","207","01/01/2012","12/31/2012"
"030024","ST JOSEPH'S HOSPITAL AND MEDICAL CENTER","OP-26","3022","0","56","1334","1990","1559","456","01/01/2012","12/31/2012"
"030030","PHOENIX BAPTIST HOSPITAL","OP-26","3903","0","526","398","346","231","184","01/01/2012","12/31/2012"
"030033","PAYSON REGIONAL MEDICAL CENTER","OP-26","1819","186","0","77","43","48","48","01/01/2012","12/31/2012"
"030036","CHANDLER REGIONAL MEDICAL CENTER","OP-26","1953","0","23","233","1013","676","881","01/01/2012","12/31/2012"
"030037","ST LUKE'S MEDICAL CENTER","OP-26","2454","395","5129","2968","2055","74","547","01/01/2012","12/31/2012"
"030038","SCOTTSDALE HEALTHCARE-OSBORN MEDICAL CENTER","OP-26","4281","204","14","1069","65","89","29","01/01/2012","12/31/2012"
"030043","SIERRA VISTA REGIONAL HEALTH CENTER","OP-26","4489","0","213","870","994","147","53","01/01/2012","12/31/2012"
"030055","KINGMAN REGIONAL MEDICAL CENTER","OP-26","371","0","614","494","1476","51","586","01/01/2012","12/31/2012"
"030061","BANNER BOSWELL MEDICAL CENTER","OP-26","3089","0","1851","1258","494","394","783","01/01/2012","12/31/2012"
"030062","SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER","OP-26","1387","14","707","770","716","765","1501","01/01/2012","12/31/2012"
"030064","UNIVERSITY OF ARIZONA MEDICAL CTR-UNIVERSITY, THE","OP-26","4665","0","303","4561","1797","3449","7104","01/01/2012","12/31/2012"
"030065","BANNER DESERT MEDICAL CENTER","OP-26","3125","0","288","526","494","413","1013","01/01/2012","12/31/2012"
"030068","MT GRAHAM REGIONAL MEDICAL CENTER","OP-26","1379","0","0","220","140","3","42","01/01/2012","12/31/2012"
"030069","HAVASU REGIONAL MEDICAL CENTER","OP-26","2411","0","958","1496","1487","612","229","01/01/2012","12/31/2012"
"030077","SAN CARLOS INDIAN HOSPITAL","OP-26","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","01/01/2012","12/31/2012"
"030083","PARADISE VALLEY HOSPITAL","OP-26","808","0","310","1012","786","316","158","01/01/2012","12/31/2012"
"030085","NORTHWEST MEDICAL CENTER","OP-26","5265","0","31","3060","4139","511","252","01/01/2012","12/31/2012"
"030087","SCOTTSDALE HEALTHCARE-SHEA MEDICAL CENTER","OP-26","4633","0","750","1603","73","1138","48","01/01/2012","12/31/2012"
"030088","BANNER BAYWOOD MEDICAL CENTER","OP-26","2662","0","97","472","1040","386","733","01/01/2012","12/31/2012"
"030089","BANNER THUNDERBIRD MEDICAL CENTER","OP-26","6386","0","79","834","531","552","756","01/01/2012","12/31/2012"
"030092","JOHN C LINCOLN DEER VALLEY HOSPITAL","OP-26","4658","0","251","1543","119","413","325","01/01/2012","12/31/2012"
"030093","BANNER DEL E WEBB MEDICAL CENTER","OP-26","3529","0","61","1854","90","589","387","01/01/2012","12/31/2012"
"030094","ARROWHEAD HOSPITAL","OP-26","310","0","2096","626","741","932","215","01/01/2012","12/31/2012"
"030101","WESTERN ARIZONA REGIONAL MEDICAL CENTER","OP-26","2645","0","156","399","91","52","154","01/01/2012","12/31/2012"
"030103","MAYO CLINIC HOSPITAL","OP-26","2927","0","2370","1920","888","507","1089","01/01/2012","12/31/2012"
"030105","BANNER HEART HOSPITAL","OP-26","4","0","0","0","0","0","517","01/01/2012","12/31/2012"
"030107","ARIZONA SPINE AND JOINT HOSPITAL","OP-26","0","0","0","860","0","0","0","01/01/2012","12/31/2012"
"030108","THE SURGICAL HOSPITAL OF PHOENIX","OP-26","1","0","148","2","0","0","0","01/01/2012","12/31/2012"
"030110","WEST VALLEY HOSPITAL","OP-26","3193","0","5","127","110","401","156","01/01/2012","12/31/2012"
"030111","UNIVERSITY OF ARIZONA MEDICAL CENTER-SOUTH CAMPUS","OP-26","1487","66","2","330","73","111","82","01/01/2012","12/31/2012"
"030112","ARIZONA ORTHOPEDIC AND SURGICAL SPECIALTY HOSPITAL","OP-26","0","0","0","3351","0","0","0","01/01/2012","12/31/2012"
"030114","ORO VALLEY HOSPITAL","OP-26","2780","0","438","1329","1147","506","106","01/01/2012","12/31/2012"
"030115","BANNER ESTRELLA MEDICAL CENTER","OP-26","2367","0","130","230","107","866","393","01/01/2012","12/31/2012"
"030117","VALLEY VIEW MEDICAL CENTER","OP-26","1046","55","304","690","618","449","139","01/01/2012","12/31/2012"
"030118","YAVAPAI REGIONAL MEDICAL CENTER-EAST","OP-26","14","0","4","296","19","39","17","01/01/2012","12/31/2012"
"030119","MERCY GILBERT MEDICAL CENTER","OP-26","1396","0","55","867","42","291","331","01/01/2012","12/31/2012"
"030120","GILBERT HOSPITAL","OP-26","162","0","0","0","2","6","2","01/01/2012","12/31/2012"
"030121","MOUNTAIN VISTA MEDICAL CENTER, LP","OP-26","1721","0","148","307","525","145","314","01/01/2012","12/31/2012"
"030122","BANNER GATEWAY MEDICAL CENTER","OP-26","1667","0","10","279","171","395","124","01/01/2012","12/31/2012"
"030123","SCOTTSDALE HEALTHCARE-THOMPSON PEAK HOSPITAL","OP-26","1942","0","6","191","26","100","11","01/01/2012","12/31/2012"
"030130","BANNER IRONWOOD MEDICAL CENTER","OP-26","131","0","4","129","16","70","16","01/01/2012","12/31/2012"
"030131","OASIS HOSPITAL","OP-26","0","0","301","603","9","0","44","01/01/2012","12/31/2012"
"030132","FLORENCE HOSPITAL AT ANTHEM, LLC","OP-26","21","0","0","4","4","3","0","01/01/2012","12/31/2012"
"030134","BANNER GOLDFIELD MEDICAL CENTER","OP-26","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","01/01/2012","12/31/2012"
"031300","WICKENBURG COMMUNITY HOSPITAL","OP-26","0","0","0","0","0","0","0","01/01/2012","12/31/2012"
"031304","PAGE HOSPITAL","OP-26","240","0","240","17","9","8","23","01/01/2012","12/31/2012"
"031309","SAGE MEMORIAL HOSPITAL","OP-26","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","01/01/2012","12/31/2012"
"031313","CARONDELET HOLY CROSS HOSPITAL","OP-26","903","0","0","3","23","51","0","01/01/2012","12/31/2012"
"031314","COBRE VALLEY REGIONAL MEDICAL CENTER","OP-26","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","01/01/2012","12/31/2012"
"031315","WHITE MOUNTAIN REGIONAL MEDICAL CENTER","OP-26","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","01/01/2012","12/31/2012"
"040001","SILOAM SPRINGS REGIONAL HOSPITAL","OP-26","879","403","11","84","6","4","11","01/01/2012","12/31/2012"
"040002","JOHNSON REGIONAL MEDICAL CENTER","OP-26","1034","76","80","27","1","112","37","01/01/2012","12/31/2012"
"040004","WASHINGTON REGIONAL MED CTR AT NORTH HILLS","OP-26","3439","19","715","4264","3180","2180","37234","01/01/2012","12/31/2012"
"040007","ST VINCENT INFIRMARY MEDICAL CENTER","OP-26","916","0","928","411","645","1525","625","01/01/2012","12/31/2012"
"040010","MERCY HOSPITAL NORTHWEST ARKANSAS","OP-26","7756","0","100","789","37","466","434","01/01/2012","12/31/2012"
"040011","CHAMBERS MEMORIAL HOSPITAL","OP-26","368","436","0","0","82","0","0","01/01/2012","12/31/2012"
"040014","WHITE COUNTY MEDICAL CENTER","OP-26","2210","0","3","316","62","248","113","01/01/2012","12/31/2012"
"040015","MENA REGIONAL HEALTH SYSTEM","OP-26","631","99","0","46","48","37","18","01/01/2012","12/31/2012"
"040016","UAMS MEDICAL CENTER","OP-26","301","664","13","320","41","281","45","01/01/2012","12/31/2012"
"040017","NORTH ARKANSAS REGIONAL MEDICAL CENTER","OP-26","6","0","0","15","0","122","18","01/01/2012","12/31/2012"
"040018","SUMMIT MEDICAL CENTER","OP-26","0","0","0","15","28","103","58","01/01/2012","12/31/2012"
"040019","FORREST CITY MEDICAL CENTER","OP-26","644","26","4","29","113","269","15","01/01/2012","12/31/2012"
"040020","ST BERNARDS MEDICAL CENTER","OP-26","3612","7","437","1579","1514","2177","1275","01/01/2012","12/31/2012"
"040022","NORTHWEST MEDICAL CENTER-SPRINGDALE","OP-26","2048","407","449","1832","137","2182","369","01/01/2012","12/31/2012"
"040026","ST VINCENT HOT SPRINGS","OP-26","3079","1580","708","814","53","825","420","01/01/2012","12/31/2012"
"040027","BAXTER REGIONAL MEDICAL CENTER","OP-26","500","0","0","1200","265","470","1000","01/01/2012","12/31/2012"
"040029","CONWAY REGIONAL MEDICAL CENTER","OP-26","1922","624","111","1761","0","263","3170","01/01/2012","12/31/2012"
"040036","BAPTIST HEALTH MEDICAL CENTER - NLR","OP-26","1756","0","66","449","756","542","766","01/01/2012","12/31/2012"
"040039","ARKANSAS METHODIST MEDICAL CENTER","OP-26","398","80","45","179","121","298","15","01/01/2012","12/31/2012"
"040041","ST MARYS REGIONAL MEDICAL CENTER","OP-26","1836","281","0","626","0","397","787","01/01/2012","12/31/2012"
"040042","CRITTENDEN MEMORIAL HOSPITAL","OP-26","915","0","225","184","563","373","620","01/01/2012","12/31/2012"
"040047","FIVE RIVERS MEDICAL CENTER","OP-26","0","0","0","0","0","0","0","01/01/2012","12/31/2012"
"040050","OUACHITA COUNTY MEDICAL CENTER","OP-26","1053","346","185","268","666","553","275","01/01/2012","12/31/2012"
"040051","DREW MEMORIAL HOSPITAL","OP-26","418","336","7","0","17","59","19","01/01/2012","12/31/2012"
"040055","SPARKS REGIONAL MEDICAL CENTER","OP-26","181","0","93","13","3261","58","731","01/01/2012","12/31/2012"
"040062","MERCY HOSPITAL FORT SMITH","OP-26","477","201","3577","1482","37","348","174","01/01/2012","12/31/2012"
"040067","MAGNOLIA REGIONAL MEDICAL CENTER","OP-26","86","356","4","70","37","0","10","01/01/2012","12/31/2012"
"040069","GREAT RIVER MEDICAL CENTER","OP-26","506","0","336","145","522","87","11","01/01/2012","12/31/2012"
"040071","JEFFERSON REGIONAL MEDICAL CENTER","OP-26","549","8","14","343","1141","179","194","01/01/2012","12/31/2012"
"040072","BAPTIST HEALTH MEDICAL CENTER - STUTTGART","OP-26","326","97","0","69","37","100","43","01/01/2012","12/31/2012"
"040074","NORTH METRO MEDICAL CENTER","OP-26","36","0","3","184","4","6","6","01/01/2012","12/31/2012"
"040076","BAPTIST HEALTH MEDICAL CENTER - HOT SPRING CO","OP-26","1112","0","0","21","129","30","15","01/01/2012","12/31/2012"
"040078","NATIONAL PARK MEDICAL CENTER","OP-26","764","0","135","588","70","95","883","01/01/2012","12/31/2012"
"040080","HARRIS HOSPITAL INC","OP-26","15","0","0","13","1","0","0","01/01/2012","12/31/2012"
"040084","SALINE MEMORIAL HOSPITAL","OP-26","2146","568","159","1172","3267","790","849","01/01/2012","12/31/2012"
"040085","HELENA REGIONAL MEDICAL CENTER","OP-26","269","22","0","0","8","78","0","01/01/2012","12/31/2012"
"040088","MEDICAL CENTER SOUTH ARKANSAS","OP-26","449","227","254","146","846","197","283","01/01/2012","12/31/2012"
"040114","BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK","OP-26","1497","519","474","764","414","750","2786","01/01/2012","12/31/2012"
"040118","NEA BAPTIST MEMORIAL HOSPITAL","OP-26","3049","245","754","1725","977","220","236","01/01/2012","12/31/2012"
"040119","WHITE RIVER MEDICAL CENTER","OP-26","2455","0","6018","3187","1321","1143","1126","01/01/2012","12/31/2012"
"040132","LEVI HOSPITAL","OP-26","0","0","0","0","0","0","0","01/01/2012","12/31/2012"
"040134","ARKANSAS HEART HOSPITAL","OP-26","6","0","0","0","0","4","99","01/01/2012","12/31/2012"
"040137","ST VINCENT MEDICAL CENTER NORTH","OP-26","55","0","153","140","6","37","33","01/01/2012","12/31/2012"
"040147","ARKANSAS SURGICAL HOSPITAL","OP-26","0","0","84","1","78","0","68","01/01/2012","12/31/2012"
"040152","PHYSICIANS' SPECIALTY HOSPITAL","OP-26","273","52","626","3655","620","188","1","01/01/2012","12/31/2012"
"040153","WADLEY REGIONAL MEDICAL CENTER AT HOPE","OP-26","0","0","0","0","0","0","0","01/01/2012","12/31/2012"
"041302","RIVER VALLEY MEDICAL CENTER","OP-26","69","0","0","0","0","7","0","01/01/2012","12/31/2012"
"041307","CROSSRIDGE COMMUNITY HOSPITAL","OP-26","207","0","0","0","0","0","0","01/01/2012","12/31/2012"
"041308","MCGEHEE HOSPITAL","OP-26","0","0","0","0","0","0","0","01/01/2012","12/31/2012"
"041310","STONE COUNTY MEDICAL CENTER","OP-26","40","0","0","177","0","0","5","01/01/2012","12/31/2012"
"041311","HOWARD MEMORIAL HOSPITAL","OP-26","431","238","0","15","371","13","2","01/01/2012","12/31/2012"
"041312","BAPTIST HEALTH MEDICAL CENTER - HEBER SPRINGS","OP-26","936","159","0","91","6","17","118","01/01/2012","12/31/2012"
"041313","OZARK HEALTH","OP-26","1","0","0","0","0","5","0","01/01/2012","12/31/2012"
"041321","BAPTIST HEALTH MEDICAL CENTER-ARKADELPHIA","OP-26","281","318","3","61","1","281","51","01/01/2012","12/31/2012"
"041323","ASHLEY COUNTY MEDICAL CENTER","OP-26","2","0","0","0","0","5","0","01/01/2012","12/31/2012"
"041327","BRADLEY COUNTY MEDICAL CENTER","OP-26","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","01/01/2012","12/31/2012"
"041328","CHICOT MEMORIAL MEDICAL CENTER","OP-26","140","0","0","0","6","9","0","01/01/2012","12/31/2012"
"041329","MERCY HOSPITAL BERRYVILLE","OP-26","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","01/01/2012","12/31/2012"
"041331","OZARKS COMMUNITY HOSPITAL OF GRAVETTE","OP-26","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","01/01/2012","12/31/2012"
"050002","ST ROSE HOSPITAL","OP-26","451","0","0","294","15","57","21","01/01/2012","12/31/2012"
"050006","ST JOSEPH HOSPITAL","OP-26","2800","4","2207","600","66","326","401","01/01/2012","12/31/2012"
"050007","PENINSULA MEDICAL CENTER","OP-26","1396","1404","326","873","147","406","423","01/01/2012","12/31/2012"
"050008","CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP","OP-26","45","0","251","296","28","158","61","01/01/2012","12/31/2012"
