Provider_Number,Hospital_Name,Address,City,State,ZIP_Code,County_Name,MSPB-1 Performance Rate,MSPB-1 Achievement Points,MSPB-1 Improvement Points,MSPB-1 Measure Score
"170109","MIAMI COUNTY MEDICAL CENTER","2100 BAPTISTE DRIVE","Paola","KS","66071","MIAMI","0.933180","3 out of 10","6 out of 9","6 out of 10"
"490037","RIVERSIDE SHORE MEMORIAL HOSPITAL","9507 HOSPITAL AVENUE","Nassawadox","VA","23413","NORTHAMPTON","0.944765","3 out of 10","0 out of 9","3 out of 10"
"490048","LEWISGALE MEDICAL CENTER","1900 ELECTRIC ROAD","Salem","VA","24153","SALEM CITY","0.995093","0 out of 10","1 out of 9","1 out of 10"
"330107","PECONIC BAY MEDICAL CENTER","1300 ROANOKE AVENUE","Riverhead","NY","11901","SUFFOLK","0.986161","0 out of 10","0 out of 9","0 out of 10"
"230004","MERCY HEALTH PARTNERS, MERCY CAMPUS","1500 E SHERMAN BOULEVARD","Muskegon","MI","49443","MUSKEGON","0.952855","2 out of 10","1 out of 9","2 out of 10"
"070027","MANCHESTER MEMORIAL HOSPITAL","71 HAYNES ST","Manchester","CT","06040","HARTFORD","0.981530","1 out of 10","3 out of 9","3 out of 10"
"360170","BERGER HOSPITAL","600 NORTH PICKAWAY STREET","Circleville","OH","43113","PICKAWAY","0.985586","0 out of 10","1 out of 9","1 out of 10"
"160005","ST ANTHONY REGIONAL HOSPITAL & NURSING HOME","311 SOUTH CLARK STREET","Carroll","IA","51401","CARROLL","0.919008","4 out of 10","3 out of 9","4 out of 10"
"390133","LEHIGH VALLEY HOSPITAL","1200 SOUTH CEDAR CREST BOULVARD","Allentown","PA","18105","LEHIGH","0.989770","0 out of 10","0 out of 9","0 out of 10"
"470001","CENTRAL VERMONT MEDICAL CENTER","BOX 547","Barre","VT","05641","WASHINGTON","0.975757","1 out of 10","0 out of 9","1 out of 10"
"360070","MERCY MEDICAL CENTER","1320 MERCY DRIVE NW","Canton","OH","44708","STARK","1.055529","0 out of 10","0 out of 9","0 out of 10"
"160122","FORT MADISON COMMUNITY HOSPITAL","5445 AVE O","Fort Madison","IA","52627","LEE","0.826795","10 out of 10","0 out of 9","10 out of 10"
"390162","EASTON HOSPITAL","250 SOUTH 21ST STREET","Easton","PA","18042","NORTHAMPTON","1.014900","0 out of 10","0 out of 9","0 out of 10"
"050503","SCRIPPS MEMORIAL HOSPITAL - ENCINITAS","354 SANTA FE DRIVE","Encinitas","CA","92024","SAN DIEGO","0.996606","0 out of 10","1 out of 9","1 out of 10"
"230070","COVENANT MEDICAL CENTER, INC","1447 N HARRISON","Saginaw","MI","48602","SAGINAW","0.974451","1 out of 10","0 out of 9","1 out of 10"
"050296","HAZEL HAWKINS MEMORIAL HOSPITAL","911 SUNSET DRIVE","Hollister","CA","95023","SAN BENITO","0.947748","3 out of 10","0 out of 9","3 out of 10"
"180078","PAUL B HALL REGIONAL MEDICAL CENTER","625 JAMES S TRIMBLE BOULEVARD","Paintsville","KY","41240","JOHNSON","0.922084","4 out of 10","1 out of 9","4 out of 10"
"140115","THOREK MEMORIAL HOSPITAL","850 W IRVING PARK RD","Chicago","IL","60613","COOK","1.040656","0 out of 10","1 out of 9","1 out of 10"
"190164","BYRD REGIONAL HOSPITAL","1020 FERTITTA BLVD","Leesville","LA","71446","VERNON","1.068122","0 out of 10","1 out of 9","1 out of 10"
"670056","SETON MEDICAL CENTER HAYS","6001 KYLE PKWY","Kyle","TX","78640","HAYS","1.031977","0 out of 10","1 out of 9","1 out of 10"
"100090","FLAGLER HOSPITAL","400 HEALTH PARK BLVD","Saint Augustine","FL","32086","ST. JOHNS","1.019506","0 out of 10","1 out of 9","1 out of 10"
"030114","ORO VALLEY HOSPITAL","1551 EAST TANGERINE ROAD","Oro Valley","AZ","85755","PIMA","0.927936","4 out of 10","1 out of 9","4 out of 10"
"370001","HILLCREST MEDICAL CENTER","1120 SOUTH UTICA AVENUE","Tulsa","OK","74104","TULSA","0.984131","1 out of 10","0 out of 9","1 out of 10"
"140211","DELNOR COMMUNITY HOSPITAL","300 RANDALL RD","Geneva","IL","60134","KANE","1.024319","0 out of 10","0 out of 9","0 out of 10"
"340186","VIDANT BEAUFORT HOSPITAL","628 E 12TH ST","Washington","NC","27889","BEAUFORT","0.958482","2 out of 10","0 out of 9","2 out of 10"
"140127","ADVOCATE BROMENN MEDICAL CENTER","1304 FRANKLIN AVENUE","Normal","IL","61761","MCLEAN","0.959079","2 out of 10","0 out of 9","2 out of 10"
"100054","TWIN CITIES HOSPITAL","2190 HWY 85 N","Niceville","FL","32578","OKALOOSA","0.957127","2 out of 10","0 out of 9","2 out of 10"
"320004","GERALD CHAMPION REGIONAL MEDICAL CENTER","2669 NORTH SCENIC DRIVE","Alamogordo","NM","88310","OTERO","0.881395","6 out of 10","5 out of 9","6 out of 10"
"050197","SEQUOIA HOSPITAL","170 ALAMEDA DE LAS PULGAS","Redwood City","CA","94062","SAN MATEO","0.926809","4 out of 10","2 out of 9","4 out of 10"
"100258","DELRAY MEDICAL CENTER","5352 LINTON BLVD","Delray Beach","FL","33484","PALM BEACH","1.103117","0 out of 10","0 out of 9","0 out of 10"
"440120","TENNOVA HEALTHCARE","900 EAST OAK HILL AVENUE","Knoxville","TN","37917","KNOX","0.980692","1 out of 10","0 out of 9","1 out of 10"
"490069","BON SECOURS MEMORIAL REGIONAL MEDICAL CENTER","8260 ATLEE ROAD","Mechanicsville","VA","23116","HANOVER","0.957434","2 out of 10","1 out of 9","2 out of 10"
"440020","SOUTHERN TENNESSEE REGIONAL HEALTH SYSTEM PULASKI","1265 E COLLEGE ST","Pulaski","TN","38478","GILES","0.934697","3 out of 10","4 out of 9","4 out of 10"
"520196","OAKLEAF SURGICAL HOSPITAL","1000 OAKLEAF WAY","Altoona","WI","54720","EAU CLAIRE","0.891625","6 out of 10","1 out of 9","6 out of 10"
"450634","DENTON REGIONAL MEDICAL CENTER","3535 SOUTH I35 EAST","Denton","TX","76210","DENTON","1.121615","0 out of 10","0 out of 9","0 out of 10"
"450210","ETMC CARTHAGE","409 WEST COTTAGE","Carthage","TX","75633","PANOLA","1.036327","0 out of 10","0 out of 9","0 out of 10"
"440009","CUMBERLAND MEDICAL CENTER","421 S MAIN ST","Crossville","TN","38555","CUMBERLAND","0.951138","2 out of 10","0 out of 9","2 out of 10"
"050688","SAINT LOUISE REGIONAL HOSPITAL","9400 NO NAME UNO","Gilroy","CA","95020","SANTA CLARA","0.980483","1 out of 10","2 out of 9","2 out of 10"
"050590","METHODIST HOSPITAL OF SACRAMENTO","7500 HOSPITAL DRIVE","Sacramento","CA","95823","SACRAMENTO","0.876844","7 out of 10","4 out of 9","7 out of 10"
"050396","SANTA BARBARA COTTAGE HOSPITAL","400 WEST PUEBLO","Santa Barbara","CA","93105","SANTA BARBARA","0.988272","0 out of 10","0 out of 9","0 out of 10"
"040010","MERCY HOSPITAL NORTHWEST ARKANSAS","2710 RIFE MEDICAL LANE","Rogers","AR","72758","BENTON","0.956531","2 out of 10","0 out of 9","2 out of 10"
"670047","SIERRA PROVIDENCE EAST MEDICAL CENTER","3280 JOE BATTLE BLVD","El Paso","TX","79938","EL PASO","0.972617","1 out of 10","2 out of 9","2 out of 10"
"450469","WILSON N JONES REGIONAL MEDICAL CENTER","500 N HIGHLAND AVENUE","Sherman","TX","75091","GRAYSON","1.048173","0 out of 10","0 out of 9","0 out of 10"
"220171","LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON","41 & 45 MALL ROAD","Burlington","MA","01805","MIDDLESEX","1.032962","0 out of 10","0 out of 9","0 out of 10"
"360107","BELLEVUE HOSPITAL","1400 WEST MAIN STREET","Bellevue","OH","44811","SANDUSKY","1.066726","0 out of 10","0 out of 9","0 out of 10"
"360352","SURGICAL HOSPITAL AT SOUTHWOODS","7630 SOUTHERN BLVD","Youngstown","OH","44512","MAHONING","0.986039","0 out of 10","0 out of 9","0 out of 10"
"520139","AURORA WEST ALLIS MEDICAL CENTER","8901 W LINCOLN AVE","West Allis","WI","53227","MILWAUKEE","1.002238","0 out of 10","0 out of 9","0 out of 10"
"050055","CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE'S CAMPUS","3555 CESAR CHAVEZ STREET","San Francisco","CA","94110","SAN FRANCISCO","0.915191","4 out of 10","0 out of 9","4 out of 10"
"310070","SAINT PETER'S UNIVERSITY HOSPITAL","254 EASTON AVE","New Brunswick","NJ","08901","MIDDLESEX","1.046311","0 out of 10","0 out of 9","0 out of 10"
"280030","CHI HEALTH CREIGHTON UNIVERSITY MEDICAL CENTER","601 NORTH 30TH ST","Omaha","NE","68131","DOUGLAS","1.023015","0 out of 10","1 out of 9","1 out of 10"
"050738","GREATER EL MONTE COMMUNITY HOSPITAL","1701 SANTA ANITA AVE","South El Monte","CA","91733","LOS ANGELES","1.280129","0 out of 10","0 out of 9","0 out of 10"
"440083","JAMESTOWN REGIONAL MEDICAL CENTER","436 CENTRAL AVENUE WEST","Jamestown","TN","38556","FENTRESS","0.954637","2 out of 10","0 out of 9","2 out of 10"
"360133","GRANDVIEW HOSPITAL & MEDICAL CENTER","405 GRAND AVENUE","Dayton","OH","45405","MONTGOMERY","0.991534","0 out of 10","1 out of 9","1 out of 10"
"100047","BAYFRONT HEALTH PUNTA GORDA","809 E MARION AVE","Punta Gorda","FL","33950","CHARLOTTE","1.022376","0 out of 10","0 out of 9","0 out of 10"
"250067","CLAY COUNTY MEDICAL CENTER","835 MEDICAL CENTER DR","West Point","MS","39773","CLAY","0.901734","5 out of 10","6 out of 9","6 out of 10"
"070024","WILLIAM W BACKUS HOSPITAL","326 WASHINGTON ST","Norwich","CT","06360","NEW LONDON","1.041762","0 out of 10","0 out of 9","0 out of 10"
"180013","THE MEDICAL CENTER AT BOWLING GREEN","250 PARK STREET","Bowling Green","KY","42101","WARREN","1.013065","0 out of 10","2 out of 9","2 out of 10"
"370047","MERCY HOSPITAL ARDMORE, INC","1011 FOURTEENTH AVENUE, NORTHWEST","Ardmore","OK","73401","CARTER","0.964447","2 out of 10","0 out of 9","2 out of 10"
"290049","RENOWN SOUTH MEADOWS MEDICAL CENTER","10101 DOUBLE R BLVD","Reno","NV","89521","CARSON CITY","0.880005","6 out of 10","2 out of 9","6 out of 10"
"110039","TRINITY HOSPITAL OF AUGUSTA","2260 WRIGHTSBORO RD","Augusta","GA","30904","RICHMOND","1.026565","0 out of 10","0 out of 9","0 out of 10"
"100211","BAYFRONT HEALTH DADE CITY","13100 FT KING RD","Dade City","FL","33525","PASCO","1.000740","0 out of 10","1 out of 9","1 out of 10"
"520138","AURORA ST LUKES MEDICAL CENTER","2900 W OKLAHOMA AVE","Milwaukee","WI","53215","MILWAUKEE","0.969315","1 out of 10","0 out of 9","1 out of 10"
"520048","MERCY MEDICAL CENTER OF OSHKOSH","500 S OAKWOOD RD","Oshkosh","WI","54904","WINNEBAGO","0.942461","3 out of 10","0 out of 9","3 out of 10"
"520078","WHEATON FRANCISCAN HEALTHCARE ST FRANCIS","3237 S 16TH ST","Milwaukee","WI","53215","MILWAUKEE","0.964591","2 out of 10","1 out of 9","2 out of 10"
"040067","MAGNOLIA HOSPITAL","101 HOSPITAL DRIVE","Magnolia ","AR","71754-0629","COLUMBIA","1.053494","0 out of 10","0 out of 9","0 out of 10"
"450677","HUGULEY MEMORIAL MEDICAL CENTER","11801 SOUTH FREEWAY","Fort Worth","TX","76115","JOHNSON","1.130163","0 out of 10","0 out of 9","0 out of 10"
"450864","TEXAS SPINE AND JOINT HOSPITAL","1814 ROSELAND BOULEVARD","Tyler","TX","75701","SMITH","0.974303","1 out of 10","0 out of 9","1 out of 10"
"050454","UCSF MEDICAL CENTER","505 PARNASSUS AVE, BOX 0296","San Francisco","CA","94143","SAN FRANCISCO","0.984689","1 out of 10","0 out of 9","1 out of 10"
"340107","VIDANT EDGECOMBE HOSPITAL","111 HOSPITAL DR","Tarboro","NC","27886","EDGECOMBE","0.969350","1 out of 10","2 out of 9","2 out of 10"
"050236","SIMI VALLEY HOSPITAL & HEALTH CARE SERVICES","2975 N SYCAMORE DR","Simi Valley","CA","93065","VENTURA","0.997427","0 out of 10","2 out of 9","2 out of 10"
"060011","DENVER HEALTH MEDICAL CENTER","777 BANNOCK ST","Denver","CO","80204","DENVER","0.892628","6 out of 10","1 out of 9","6 out of 10"
"330059","MONTEFIORE MEDICAL CENTER","111 EAST 210TH STREET","Bronx","NY","10467","BRONX","0.968998","1 out of 10","0 out of 9","1 out of 10"
"380009","OHSU HOSPITAL AND CLINICS","3181 SW SAM JACKSON PARK ROAD","Portland","OR","97239","MULTNOMAH","0.972136","1 out of 10","0 out of 9","1 out of 10"
"390027","TEMPLE UNIVERSITY HOSPITAL","3401 NORTH BROAD STREET","Philadelphia","PA","19140","PHILADELPHIA","0.997182","0 out of 10","0 out of 9","0 out of 10"
"390032","ALLEGHENY VALLEY HOSPITAL","1301 CARLISLE ST","Natrona","PA","15065","ALLEGHENY","1.132578","0 out of 10","0 out of 9","0 out of 10"
"310005","HUNTERDON MEDICAL CENTER","2100 WESCOTT DRIVE","Flemington","NJ","08822","HUNTERDON","1.035539","0 out of 10","0 out of 9","0 out of 10"
"290051","SIERRA SURGERY HOSPITAL","1400 MEDICAL PKWY","Carson City","NV","89703","CARSON CITY","0.929490","4 out of 10","0 out of 9","4 out of 10"
"330057","ST PETER'S HOSPITAL","315 SOUTH MANNING BOULEVARD","Albany","NY","12208","ALBANY","0.934096","3 out of 10","0 out of 9","3 out of 10"
"490092","SOUTHAMPTON MEMORIAL HOSPITAL","100 FAIRVIEW DRIVE - PO BOX 817","Franklin","VA","23851","FRANKLIN CITY","0.858909","8 out of 10","0 out of 9","8 out of 10"
"390116","MERCY SUBURBAN HOSPITAL","2701 DEKALB PIKE","Norristown","PA","19401","MONTGOMERY","1.105457","0 out of 10","0 out of 9","0 out of 10"
"390201","POCONO MEDICAL CENTER","206 EAST BROWN STREET","East Stroudsburg","PA","18301","MONROE","1.025474","0 out of 10","0 out of 9","0 out of 10"
"100217","SEBASTIAN RIVER MEDICAL CENTER","13695 US HWY 1","Sebastian","FL","32978","INDIAN RIVER","1.017237","0 out of 10","0 out of 9","0 out of 10"
"130065","MOUNTAIN VIEW HOSPITAL","2325 CORONADO STREET","Idaho Falls","ID","83404","BONNEVILLE","0.946421","3 out of 10","0 out of 9","3 out of 10"
"390067","PINNACLE HEALTH HOSPITALS","409 SOUTH SECOND STREET","Harrisburg","PA","17105","DAUPHIN","1.044970","0 out of 10","1 out of 9","1 out of 10"
"390125","WAYNE MEMORIAL HOSPITAL","601 PARK STREET","Honesdale","PA","18431","WAYNE","1.019204","0 out of 10","0 out of 9","0 out of 10"
"120022","STRAUB CLINIC AND HOSPITAL","888 SO KING STREET","Honolulu","HI","96813","HONOLULU","0.890239","6 out of 10","3 out of 9","6 out of 10"
"190176","TULANE MEDICAL CENTER","1415 TULANE AVE","New Orleans","LA","70112","ORLEANS","0.955660","2 out of 10","0 out of 9","2 out of 10"
"240022","SANFORD  WORTHINGTON MEDICAL CENTER","1018 SIXTH AVENUE PO BOX 997","Worthington","MN","56187","NOBLES","0.905220","5 out of 10","3 out of 9","5 out of 10"
"290046","SPRING VALLEY HOSPITAL MEDICAL CENTER","5400 SOUTH RAINBOW BLVD","Las Vegas","NV","89118","CLARK","1.145081","0 out of 10","0 out of 9","0 out of 10"
"230002","ST MARY MERCY HOSPITAL","36475 FIVE MILE ROAD","Livonia","MI","48154","WAYNE","1.017795","0 out of 10","1 out of 9","1 out of 10"
"220052","SIGNATURE HEALTHCARE BROCKTON HOSPITAL","680 CENTER STREET","Brockton","MA","02302","PLYMOUTH","0.981989","1 out of 10","1 out of 9","1 out of 10"
"230015","THREE RIVERS HEALTH","701 S HEALTH PARKWAY","Three Rivers","MI","49093","ST. JOSEPH","0.947443","3 out of 10","0 out of 9","3 out of 10"
"050281","ALHAMBRA HOSPITAL MEDICAL CENTER","100 S RAYMOND AVE","Alhambra","CA","91801","LOS ANGELES","1.231230","0 out of 10","0 out of 9","0 out of 10"
"220010","LAWRENCE GENERAL HOSPITAL","ONE GENERAL STREET","Lawrence","MA","01842","ESSEX","1.072595","0 out of 10","0 out of 9","0 out of 10"
"150084","ST VINCENT HOSPITAL & HEALTH SERVICES","2001 W 86TH ST","Indianapolis","IN","46260","MARION","1.029797","0 out of 10","0 out of 9","0 out of 10"
"160067","COVENANT MEDICAL CENTER","3421 WEST NINTH STREET","Waterloo","IA","507025401","BLACK HAWK","0.956019","2 out of 10","0 out of 9","2 out of 10"
"160058","UNIVERSITY OF IOWA HOSPITAL & CLINICS","200 HAWKINS DRIVE","Iowa City","IA","52242","JOHNSON","1.013114","0 out of 10","0 out of 9","0 out of 10"
"390217","EXCELA HEALTH FRICK HOSPITAL","508 SOUTH CHURCH STREET","Mount Pleasant","PA","15666","WESTMORELAND","1.033134","0 out of 10","1 out of 9","1 out of 10"
"390203","DOYLESTOWN HOSPITAL","595 WEST STATE ST","Doylestown","PA","18901","BUCKS","0.983641","1 out of 10","0 out of 9","1 out of 10"
"100230","MEMORIAL HOSPITAL PEMBROKE","7800 SHERIDAN ST","Pembroke Pines","FL","33024","BROWARD","0.958918","2 out of 10","1 out of 9","2 out of 10"
"140113","PRESENCE COVENANT MEDICAL CENTER","1400 WEST PARK AVENUE","Urbana","IL","61801","CHAMPAIGN","0.990918","0 out of 10","0 out of 9","0 out of 10"
"170074","GEARY COMMUNITY HOSPITAL","1102 ST MARY'S ROAD","Junction City","KS","66441","GEARY","0.899769","5 out of 10","1 out of 9","5 out of 10"
"330233","BROOKDALE HOSPITAL MEDICAL CENTER","LINDEN BOULEVARD AT BROOKDALE PLAZA","Brooklyn","NY","11212","KINGS","0.995161","0 out of 10","0 out of 9","0 out of 10"
"190064","OUR LADY OF THE LAKE REGIONAL MEDICAL CENTER","5000 HENNESSY BLVD","Baton Rouge","LA","70808","EAST BATON ROUGE","1.012839","0 out of 10","1 out of 9","1 out of 10"
"260110","SOUTHEAST MISSOURI HOSPITAL","1701 LACEY ST","Cape Girardeau","MO","63701-5230","CAPE GIRARDEAU","0.943341","3 out of 10","2 out of 9","3 out of 10"
"100127","MORTON PLANT HOSPITAL","300 PINELLAS ST","Clearwater","FL","33756","PINELLAS","1.059317","0 out of 10","0 out of 9","0 out of 10"
"140077","TOUCHETTE REGIONAL HOSPITAL INC","5900 BOND AVENUE","Centreville","IL","62207","ST. CLAIR","0.899856","5 out of 10","3 out of 9","5 out of 10"
"230017","BRONSON METHODIST HOSPITAL","601 JOHN STREET 42","Kalamazoo","MI","49007","KALAMAZOO","0.949619","3 out of 10","0 out of 9","3 out of 10"
"100231","WEST FLORIDA HOSPITAL","8383 N DAVIS HWY","Pensacola","FL","32514","ESCAMBIA","1.009868","0 out of 10","1 out of 9","1 out of 10"
"110035","WELLSTAR KENNESTONE HOSPITAL","677 CHURCH STREET","Marietta","GA","30060","COBB","0.978156","1 out of 10","0 out of 9","1 out of 10"
"190140","FRANKLIN MEDICAL CENTER","2106 LOOP ROAD","Winnsboro","LA","712951300","FRANKLIN","1.158418","0 out of 10","0 out of 9","0 out of 10"
"050568","MADERA COMMUNITY HOSPITAL","1250 E ALMOND AVE","Madera","CA","93637","MADERA","1.052924","0 out of 10","0 out of 9","0 out of 10"
"370149","ST ANTHONY SHAWNEE HOSPITAL","1102 W MACARTHUR","Shawnee","OK","74801","POTTAWATOMIE","0.957030","2 out of 10","3 out of 9","3 out of 10"
"220067","QUINCY MEDICAL CENTER","114 WHITWELL STREET","Quincy","MA","02169","NORFOLK","1.078159","0 out of 10","2 out of 9","2 out of 10"
"360361","KINGS DAUGHTERS MEDICAL CENTER OHIO","1901 ARGONNE ROAD","Portsmouth","OH","45662","SCIOTO","1.133753","0 out of 10","Not Available","0 out of 10"
"100253","JUPITER MEDICAL CENTER","1210 S OLD DIXIE HWY","Jupiter","FL","33458","PALM BEACH","1.034295","0 out of 10","0 out of 9","0 out of 10"
"440051","MCNAIRY REGIONAL HOSPITAL","705 E POPLAR AVE","Selmer","TN","38375","MCNAIRY","0.928951","4 out of 10","3 out of 9","4 out of 10"
"370229","INTEGRIS SEMINOLE MEDICAL CENTER","2401 WRANGLER BOULEVARD","Seminole","OK","74868","SEMINOLE","0.983402","1 out of 10","4 out of 9","4 out of 10"
"310069","INSPIRA MEDICAL CENTER ELMER","501 WEST FRONT STREET","Elmer","NJ","08318","SALEM","0.987185","0 out of 10","0 out of 9","0 out of 10"
"060024","UNIVERSITY OF COLORADO HOSPITAL ANSCHUTZ INPATIENT","12605 EAST 16TH AVENUE","Aurora","CO","80045","ADAMS","0.956073","2 out of 10","0 out of 9","2 out of 10"
"110076","DEKALB MEDICAL CENTER","2701 N DECATUR ROAD","Decatur","GA","30033","DE KALB","1.041565","0 out of 10","0 out of 9","0 out of 10"
"100075","ST JOSEPH'S HOSPITAL","3001 W MARTIN LUTHER KING JR BLVD","Tampa","FL","33677","HILLSBOROUGH","1.065201","0 out of 10","0 out of 9","0 out of 10"
"260059","MERCY HOSPITAL LEBANON","100 HOSPITAL DRIVE","Lebanon","MO","65536-9210","LACLEDE","0.822258","10 out of 10","9 out of 9","10 out of 10"
"390046","YORK HOSPITAL","1001 SOUTH GEORGE STREET","York","PA","17403","YORK","1.041301","0 out of 10","0 out of 9","0 out of 10"
"190114","HOMER MEMORIAL HOSPITAL","620 EAST COLLEGE STREET","Homer","LA","71040","CLAIBORNE","1.311255","0 out of 10","0 out of 9","0 out of 10"
"360355","OHIO VALLEY MEDICAL CENTER, LLC","100 WEST MAIN STREET","Springfield","OH","45502","CLARK","0.970739","1 out of 10","0 out of 9","1 out of 10"
"030122","BANNER GATEWAY MEDICAL CENTER","1900 NORTH HIGLEY ROAD","Gilbert","AZ","85234","MARICOPA","0.980594","1 out of 10","0 out of 9","1 out of 10"
"060096","VAIL VALLEY MEDICAL CENTER","181 W MEADOW DRIVE","Vail","CO","81657","EAGLE","0.972305","1 out of 10","0 out of 9","1 out of 10"
"450874","BAYLOR SURGICAL HOSPITAL AT LAS COLINAS","400 WEST INTERSTATE 635 SUITE 101","Irving","TX","75063","DALLAS","1.141581","0 out of 10","Not Available","0 out of 10"
"390035","ST LUKE'S QUAKERTOWN HOSPITAL","1021 PARK AVENUE","Quakertown","PA","18951","BUCKS","0.987874","0 out of 10","0 out of 9","0 out of 10"
"240038","UNITED HOSPITAL","333 NORTH SMITH AVENUE","Saint Paul","MN","55102","RAMSEY","0.954041","2 out of 10","0 out of 9","2 out of 10"
"490045","NOVANT HEALTH PRINCE WILLIAM MEDICAL CENTER","8700 SUDLEY RD","Manassas","VA","20110","MANASSAS CITY","1.012138","0 out of 10","0 out of 9","0 out of 10"
"410005","ST JOSEPH HEALTH SERVICES OF RI","200 HIGH SERVICE AVENUE","North Providence","RI","02904","PROVIDENCE","1.056412","0 out of 10","0 out of 9","0 out of 10"
