"Provider ID","Hospital Name","Address","City","State","ZIP Code","County Name","Phone Number","Measure Name","Measure ID","Compared to National","Denominator","Payment","Lower Estimate","Higher Estimate","Footnote","Measure Start Date","Measure End Date"
"010034","COMMUNITY HOSPITAL INC","805 FRIENDSHIP ROAD","TALLASSEE","AL","36078","ELMORE","3342836541","Payment for heart attack patients","PAYM_30_AMI","Number of Cases Too Small","Not Available","Not Available","Not Available","Not Available","1 - The number of cases/patients is too few to report.","07/01/2010","06/30/2013"
"010035","CULLMAN REGIONAL MEDICAL CENTER","1912 ALABAMA HIGHWAY 157","CULLMAN","AL","35058","CULLMAN","2567372000","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","95","20,483","18,325","22,850","","07/01/2010","06/30/2013"
"010036","ANDALUSIA REGIONAL HOSPITAL","849 SOUTH THREE NOTCH STREET","ANDALUSIA","AL","36420","COVINGTON","3342228466","Payment for heart attack patients","PAYM_30_AMI","Number of Cases Too Small","Not Available","Not Available","Not Available","Not Available","1 - The number of cases/patients is too few to report.","07/01/2010","06/30/2013"
"010038","STRINGFELLOW MEMORIAL HOSPITAL","301 EAST 18TH ST","ANNISTON","AL","36201","CALHOUN","2562358900","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","60","21,248","18,761","24,320","","07/01/2010","06/30/2013"
"010039","HUNTSVILLE HOSPITAL","101 SIVLEY RD","HUNTSVILLE","AL","35801","MADISON","2562651000","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","1035","20,804","19,945","21,680","","07/01/2010","06/30/2013"
"010040","GADSDEN REGIONAL MEDICAL CENTER","1007 GOODYEAR AVENUE","GADSDEN","AL","35903","ETOWAH","2564944000","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","204","22,175","20,414","24,056","","07/01/2010","06/30/2013"
"010044","MARION REGIONAL MEDICAL CENTER","1256 MILITARY STREET SOUTH","HAMILTON","AL","35570","MARION","2059216200","Payment for heart attack patients","PAYM_30_AMI","Number of Cases Too Small","Not Available","Not Available","Not Available","Not Available","1 - The number of cases/patients is too few to report.","07/01/2010","06/30/2013"
"010045","FAYETTE MEDICAL CENTER","1653 TEMPLE AVENUE NORTH","FAYETTE","AL","35555","FAYETTE","2059325966","Payment for heart attack patients","PAYM_30_AMI","Number of Cases Too Small","Not Available","Not Available","Not Available","Not Available","1 - The number of cases/patients is too few to report.","07/01/2010","06/30/2013"
"010046","RIVERVIEW REGIONAL MEDICAL CENTER","600 SOUTH THIRD STREET","GADSDEN","AL","35901","ETOWAH","2565435200","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","97","23,098","20,507","25,904","","07/01/2010","06/30/2013"
"010047","GEORGIANA MEDICAL CENTER","515 N MIRANDA AVENUE","GEORGIANA","AL","36033","BUTLER","3343762205","Payment for heart attack patients","PAYM_30_AMI","Number of Cases Too Small","Not Available","Not Available","Not Available","Not Available","1 - The number of cases/patients is too few to report.","07/01/2010","06/30/2013"
"010049","MEDICAL CENTER ENTERPRISE","400 N EDWARDS STREET","ENTERPRISE","AL","36330","COFFEE","3343470584","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","25","21,675","18,362","25,381","","07/01/2010","06/30/2013"
"010051","GREENE COUNTY HOSPITAL","509 WILSON AVENUE","EUTAW","AL","35462","GREENE","2053723388","Payment for heart attack patients","PAYM_30_AMI","Number of Cases Too Small","Not Available","Not Available","Not Available","Not Available","1 - The number of cases/patients is too few to report.","07/01/2010","06/30/2013"
"010052","LAKE MARTIN COMMUNITY HOSPITAL","201 MARIARDEN ROAD","DADEVILLE","AL","36853","TALLAPOOSA","2568257821","Payment for heart attack patients","PAYM_30_AMI","Number of Cases Too Small","Not Available","Not Available","Not Available","Not Available","1 - The number of cases/patients is too few to report.","07/01/2010","06/30/2013"
"010054","DECATUR MORGAN HOSPITAL-PARKWAY CAMPUS","1874 BELTLINE RD SW","DECATUR","AL","35601","MORGAN","2563502211","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","38","21,641","18,713","25,040","","07/01/2010","06/30/2013"
"010055","FLOWERS HOSPITAL","4370 WEST MAIN STREET","DOTHAN","AL","36305","HOUSTON","3347935000","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","329","21,619","20,189","23,161","","07/01/2010","06/30/2013"
"010056","ST VINCENT'S BIRMINGHAM","810 ST VINCENT'S DRIVE","BIRMINGHAM","AL","35205","JEFFERSON","2059397000","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","255","21,876","20,295","23,632","","07/01/2010","06/30/2013"
"010058","BIBB MEDICAL CENTER","208 PIERSON AVE","CENTREVILLE","AL","35042","BIBB","2059264881","Payment for heart attack patients","PAYM_30_AMI","Number of Cases Too Small","Not Available","Not Available","Not Available","Not Available","1 - The number of cases/patients is too few to report.","07/01/2010","06/30/2013"
"010059","LAWRENCE MEDICAL CENTER","202 HOSPITAL STREET","MOULTON","AL","35650","LAWRENCE","2569742200","Payment for heart attack patients","PAYM_30_AMI","Number of Cases Too Small","Not Available","Not Available","Not Available","Not Available","1 - The number of cases/patients is too few to report.","07/01/2010","06/30/2013"
"010061","HIGHLANDS MEDICAL CENTER","380 WOODS COVE ROAD","SCOTTSBORO","AL","35768","JACKSON","2562594444","Payment for heart attack patients","PAYM_30_AMI","Number of Cases Too Small","Not Available","Not Available","Not Available","Not Available","1 - The number of cases/patients is too few to report.","07/01/2010","06/30/2013"
"010062","WIREGRASS MEDICAL CENTER","1200 W MAPLE AVENUE","GENEVA","AL","36340","GENEVA","3346843655","Payment for heart attack patients","PAYM_30_AMI","Number of Cases Too Small","Not Available","Not Available","Not Available","Not Available","1 - The number of cases/patients is too few to report.","07/01/2010","06/30/2013"
"010065","RUSSELL HOSPITAL","3316 HIGHWAY 280","ALEXANDER CITY","AL","35010","TALLAPOOSA","2563297100","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","56","23,084","20,101","26,578","","07/01/2010","06/30/2013"
"010069","MEDICAL CENTER BARBOUR","820 W WASHINGTON ST","EUFAULA","AL","36027","BARBOUR","3346887271","Payment for heart attack patients","PAYM_30_AMI","Number of Cases Too Small","Not Available","Not Available","Not Available","Not Available","1 - The number of cases/patients is too few to report.","07/01/2010","06/30/2013"
"010073","CLAY COUNTY HOSPITAL","83825 HIGHWAY 9    P O BOX 1270","ASHLAND","AL","36251","CLAY","2563542131","Payment for heart attack patients","PAYM_30_AMI","Number of Cases Too Small","Not Available","Not Available","Not Available","Not Available","1 - The number of cases/patients is too few to report.","07/01/2010","06/30/2013"
"010078","NORTHEAST ALABAMA REGIONAL MED CENTER","400 EAST 10TH STREET","ANNISTON","AL","36207","CALHOUN","2562355121","Payment for heart attack patients","PAYM_30_AMI","Greater than the National Average Payment","389","23,027","21,579","24,537","","07/01/2010","06/30/2013"
"010079","ATHENS-LIMESTONE HOSPITAL","700 WEST MARKET STREET","ATHENS","AL","35611","LIMESTONE","2562339292","Payment for heart attack patients","PAYM_30_AMI","Number of Cases Too Small","Not Available","Not Available","Not Available","Not Available","1 - The number of cases/patients is too few to report.","07/01/2010","06/30/2013"
"010083","SOUTH BALDWIN REGIONAL MEDICAL CENTER","1613 NORTH MCKENZIE STREET","FOLEY","AL","36535","BALDWIN","2519493400","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","80","22,248","19,663","25,236","","07/01/2010","06/30/2013"
"010085","DECATUR MORGAN HOSPITAL-DECATUR CAMPUS","1201 7TH STREET SE","DECATUR","AL","35601","MORGAN","2563412000","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","73","20,750","18,426","23,257","","07/01/2010","06/30/2013"
"010086","NORTHWEST MEDICAL CENTER","1530 U S HIGHWAY 43","WINFIELD","AL","35594","MARION","2054877736","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","31","20,293","17,474","23,810","","07/01/2010","06/30/2013"
"010087","UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER","2451 FILLINGIM STREET","MOBILE","AL","36617","MOBILE","2514717110","Payment for heart attack patients","PAYM_30_AMI","Number of Cases Too Small","Not Available","Not Available","Not Available","Not Available","1 - The number of cases/patients is too few to report.","07/01/2010","06/30/2013"
"010089","WALKER BAPTIST MEDICAL CENTER","3400 HIGHWAY 78 EAST","JASPER","AL","35502","WALKER","2053874000","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","65","20,070","17,684","22,847","","07/01/2010","06/30/2013"
"010090","PROVIDENCE HOSPITAL","6801 AIRPORT BOULEVARD","MOBILE","AL","36608","MOBILE","2516331000","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","208","21,299","19,629","23,206","","07/01/2010","06/30/2013"
"010091","GROVE HILL MEMORIAL HOSPITAL","295 JACKSON HWY S","GROVE HILL","AL","36451","CLARKE","2512753191","Payment for heart attack patients","PAYM_30_AMI","Number of Cases Too Small","Not Available","Not Available","Not Available","Not Available","1 - The number of cases/patients is too few to report.","07/01/2010","06/30/2013"
"010092","D C H REGIONAL MEDICAL CENTER","809 UNIVERSITY BOULEVARD EAST","TUSCALOOSA","AL","35401","TUSCALOOSA","2057597111","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","384","21,663","20,362","23,069","","07/01/2010","06/30/2013"
"010095","HALE COUNTY HOSPITAL","508 GREEN STREET","GREENSBORO","AL","36744","HALE","3346243024","Payment for heart attack patients","PAYM_30_AMI","Number of Cases Too Small","Not Available","Not Available","Not Available","Not Available","1 - The number of cases/patients is too few to report.","07/01/2010","06/30/2013"
"010097","ELMORE COMMUNITY HOSPITAL","500 HOSPITAL DRIVE","WETUMPKA","AL","36092","ELMORE","3345674311","Payment for heart attack patients","PAYM_30_AMI","Number of Cases Too Small","Not Available","Not Available","Not Available","Not Available","1 - The number of cases/patients is too few to report.","07/01/2010","06/30/2013"
"010099","D W MCMILLAN MEMORIAL HOSPITAL","1301 BELLEVILLE AVENUE","BREWTON","AL","36426","ESCAMBIA","2518678061","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","32","19,271","16,438","22,317","","07/01/2010","06/30/2013"
"010100","THOMAS HOSPITAL","750 MORPHY AVENUE","FAIRHOPE","AL","36532","BALDWIN","2519282375","Payment for heart attack patients","PAYM_30_AMI","Greater than the National Average Payment","171","23,737","21,506","26,104","","07/01/2010","06/30/2013"
"010101","CITIZENS BAPTIST MEDICAL CENTER","604 STONE AVENUE","TALLADEGA","AL","35161","TALLADEGA","2567614542","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","28","20,994","17,977","24,518","","07/01/2010","06/30/2013"
"010102","J PAUL JONES HOSPITAL","317 MCWILLIAMS AVENUE","CAMDEN","AL","36726","WILCOX","3346824131","Payment for heart attack patients","PAYM_30_AMI","Number of Cases Too Small","Not Available","Not Available","Not Available","Not Available","1 - The number of cases/patients is too few to report.","07/01/2010","06/30/2013"
"010103","BAPTIST MEDICAL CENTER-PRINCETON","701 PRINCETON AVENUE SOUTHWEST","BIRMINGHAM","AL","35211","JEFFERSON","2057833800","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","292","20,438","19,030","21,917","","07/01/2010","06/30/2013"
"010104","TRINITY MEDICAL CENTER","800 MONTCLAIR RD","BIRMINGHAM","AL","35213","JEFFERSON","2055921000","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","287","20,072","18,694","21,601","","07/01/2010","06/30/2013"
"010108","PRATTVILLE BAPTIST HOSPITAL","124 S MEMORIAL DR","PRATTVILLE","AL","36067","AUTAUGA","3343614267","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","28","22,842","19,686","26,801","","07/01/2010","06/30/2013"
"010109","PICKENS COUNTY MEDICAL CENTER","241 ROBERT K WILSON DRIVE","CARROLLTON","AL","35447","PICKENS","2053678111","Payment for heart attack patients","PAYM_30_AMI","Number of Cases Too Small","Not Available","Not Available","Not Available","Not Available","1 - The number of cases/patients is too few to report.","07/01/2010","06/30/2013"
"010110","BULLOCK COUNTY HOSPITAL","102 WEST CONECUH AVENUE","UNION SPRINGS","AL","36089","BULLOCK","3347382140","Payment for heart attack patients","PAYM_30_AMI","Number of Cases Too Small","Not Available","Not Available","Not Available","Not Available","1 - The number of cases/patients is too few to report.","07/01/2010","06/30/2013"
"010112","BRYAN W WHITFIELD MEM HOSP INC","105 HIGHWAY 80 EAST","DEMOPOLIS","AL","36732","MARENGO","3342894000","Payment for heart attack patients","PAYM_30_AMI","Number of Cases Too Small","Not Available","Not Available","Not Available","Not Available","1 - The number of cases/patients is too few to report.","07/01/2010","06/30/2013"
"010113","MOBILE INFIRMARY","5 MOBILE INFIRMARY CIRCLE","MOBILE","AL","36652","MOBILE","2514354700","Payment for heart attack patients","PAYM_30_AMI","Greater than the National Average Payment","249","24,626","22,597","26,762","","07/01/2010","06/30/2013"
"010114","MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM","995 9TH AVENUE SOUTHWEST","BESSEMER","AL","35021","JEFFERSON","2054817000","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","92","20,657","18,539","23,109","","07/01/2010","06/30/2013"
"010118","VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS","1015 MEDICAL CENTER PARKWAY","SELMA","AL","36701","DALLAS","3344184100","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","163","20,424","18,730","22,386","","07/01/2010","06/30/2013"
"010120","MONROE COUNTY HOSPITAL","2016 SOUTH ALABAMA AVENUE, BOX 886","MONROEVILLE","AL","36460","MONROE","2515753111","Payment for heart attack patients","PAYM_30_AMI","Number of Cases Too Small","Not Available","Not Available","Not Available","Not Available","1 - The number of cases/patients is too few to report.","07/01/2010","06/30/2013"
"010125","LAKELAND COMMUNITY HOSPITAL","42024 HIGHWAY 195 E     POST OFFICE BOX 780","HALEYVILLE","AL","35565","WINSTON","2054857117","Payment for heart attack patients","PAYM_30_AMI","Number of Cases Too Small","Not Available","Not Available","Not Available","Not Available","1 - The number of cases/patients is too few to report.","07/01/2010","06/30/2013"
"010126","TROY REGIONAL MEDICAL CENTER","1330 HIGHWAY 231 SOUTH","TROY","AL","36081","PIKE","3346705000","Payment for heart attack patients","PAYM_30_AMI","Number of Cases Too Small","Not Available","Not Available","Not Available","Not Available","1 - The number of cases/patients is too few to report.","07/01/2010","06/30/2013"
"010128","JACKSON MEDICAL CENTER","220 HOSPITAL DRIVE","JACKSON","AL","36545","CLARKE","2512469021","Payment for heart attack patients","PAYM_30_AMI","Number of Cases Too Small","Not Available","Not Available","Not Available","Not Available","1 - The number of cases/patients is too few to report.","07/01/2010","06/30/2013"
"010129","NORTH BALDWIN INFIRMARY","1815 HAND AVENUE","BAY MINETTE","AL","36507","BALDWIN","2519375521","Payment for heart attack patients","PAYM_30_AMI","Number of Cases Too Small","Not Available","Not Available","Not Available","Not Available","1 - The number of cases/patients is too few to report.","07/01/2010","06/30/2013"
"010130","ST VINCENT'S ST CLAIR","7063 VETERANS PARKWAY","PELL CITY","AL","35125","SAINT CLAIR","2053383301","Payment for heart attack patients","PAYM_30_AMI","Number of Cases Too Small","Not Available","Not Available","Not Available","Not Available","1 - The number of cases/patients is too few to report.","07/01/2010","06/30/2013"
"010131","CRESTWOOD MEDICAL CENTER","ONE HOSPITAL DR SE","HUNTSVILLE","AL","35801","MADISON","2568823100","Payment for heart attack patients","PAYM_30_AMI","Less than the National Average Payment","170","19,376","17,781","21,148","","07/01/2010","06/30/2013"
"010138","HILL HOSPITAL OF SUMTER COUNTY","751 DERBY DRIVE","YORK","AL","36925","SUMTER","2053925263","Payment for heart attack patients","PAYM_30_AMI","Number of Cases Too Small","Not Available","Not Available","Not Available","Not Available","1 - The number of cases/patients is too few to report.","07/01/2010","06/30/2013"
"010139","BROOKWOOD MEDICAL CENTER","2010 BROOKWOOD MEDICAL CENTER DRIVE","BIRMINGHAM","AL","35209","JEFFERSON","2058771000","Payment for heart attack patients","PAYM_30_AMI","Greater than the National Average Payment","273","24,453","22,561","26,503","","07/01/2010","06/30/2013"
"010144","SPRINGHILL MEDICAL CENTER","3719 DAUPHIN STREET","MOBILE","AL","36608","MOBILE","2513449630","Payment for heart attack patients","PAYM_30_AMI","Greater than the National Average Payment","121","24,708","22,169","27,718","","07/01/2010","06/30/2013"
"010146","RMC JACKSONVILLE","1701 SOUTH PELHAM ROAD","JACKSONVILLE","AL","36265","CALHOUN","2567824538","Payment for heart attack patients","PAYM_30_AMI","Number of Cases Too Small","Not Available","Not Available","Not Available","Not Available","1 - The number of cases/patients is too few to report.","07/01/2010","06/30/2013"
"010148","EVERGREEN MEDICAL CENTER","101 CRESTVIEW AVENUE","EVERGREEN","AL","36401","CONECUH","2515782480","Payment for heart attack patients","PAYM_30_AMI","Number of Cases Too Small","Not Available","Not Available","Not Available","Not Available","1 - The number of cases/patients is too few to report.","07/01/2010","06/30/2013"
"010149","BAPTIST MEDICAL CENTER EAST","400 TAYLOR ROAD","MONTGOMERY","AL","36117","MONTGOMERY","3342448330","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","86","24,048","21,222","27,231","","07/01/2010","06/30/2013"
"01014F","BIRMINGHAM VA MEDICAL CENTER","700 SOUTH 19TH STREET","BIRMINGHAM","AL","35233","JEFFERSON","2059334515","Payment for heart attack patients","PAYM_30_AMI","","","","","","","07/01/2010","06/30/2013"
"010150","L V STABLER MEMORIAL HOSPITAL","29 L V STABLER DRIVE","GREENVILLE","AL","36037","BUTLER","3343822200","Payment for heart attack patients","PAYM_30_AMI","Number of Cases Too Small","Not Available","Not Available","Not Available","Not Available","1 - The number of cases/patients is too few to report.","07/01/2010","06/30/2013"
"010157","SHOALS HOSPITAL","201 WEST AVALON AVENUE","MUSCLE SHOALS","AL","35661","COLBERT","2563861601","Payment for heart attack patients","PAYM_30_AMI","Number of Cases Too Small","Not Available","Not Available","Not Available","Not Available","1 - The number of cases/patients is too few to report.","07/01/2010","06/30/2013"
"010158","RUSSELLVILLE HOSPITAL","15155 HIGHWAY 43","RUSSELLVILLE","AL","35653","FRANKLIN","2563321611","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","33","19,049","16,472","22,169","","07/01/2010","06/30/2013"
"010164","COOSA VALLEY MEDICAL CENTER","315 W HICKORY ST","SYLACAUGA","AL","35150","TALLADEGA","2562495000","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","49","21,492","18,747","24,622","","07/01/2010","06/30/2013"
"010168","JACK HUGHSTON MEMORIAL HOSPITAL","4401 RIVER CHASE DRIVE","PHENIX CITY","AL","36867","RUSSELL","3347323000","Payment for heart attack patients","PAYM_30_AMI","Number of Cases Too Small","Not Available","Not Available","Not Available","Not Available","1 - The number of cases/patients is too few to report.","07/01/2010","06/30/2013"
"010169","ATMORE COMMUNITY HOSPITAL","401 MEDICAL PARK DRIVE","ATMORE","AL","36502","ESCAMBIA","2513682500","Payment for heart attack patients","PAYM_30_AMI","Number of Cases Too Small","Not Available","Not Available","Not Available","Not Available","1 - The number of cases/patients is too few to report.","07/01/2010","06/30/2013"
"01019F","VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY","215 PERRY HILL ROAD","MONTGOMERY","AL","36109","MONTGOMERY","3342604100","Payment for heart attack patients","PAYM_30_AMI","","","","","","","07/01/2010","06/30/2013"
"01021F","TUSCALOOSA VA MEDICAL CENTER","3701 LOOP ROAD","TUSCALOOSA","AL","35404","TUSCALOOSA","2055542000","Payment for heart attack patients","PAYM_30_AMI","","","","","","","07/01/2010","06/30/2013"
"011300","WASHINGTON COUNTY HOSPITAL","14600 ST. STEPHENS AVENUE","CHATOM","AL","36518","WASHINGTON","2518472223","Payment for heart attack patients","PAYM_30_AMI","Number of Cases Too Small","Not Available","Not Available","Not Available","Not Available","1 - The number of cases/patients is too few to report.","07/01/2010","06/30/2013"
"011302","RED BAY HOSPITAL","211 HOSPITAL ROAD","RED BAY","AL","35582","FRANKLIN","2563569532","Payment for heart attack patients","PAYM_30_AMI","Number of Cases Too Small","Not Available","Not Available","Not Available","Not Available","1 - The number of cases/patients is too few to report.","07/01/2010","06/30/2013"
"011304","CHOCTAW GENERAL HOSPITAL","401 VANITY FAIR LANE, PO BOX 618","BUTLER","AL","36904","CHOCTAW","2054599100","Payment for heart attack patients","PAYM_30_AMI","Not Available","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2010","06/30/2013"
"013301","UNIVERSITY OF S A CHILDREN'S AND WOMEN'S HOS","1700 CENTER STREET","MOBILE","AL","36604","MOBILE","2514151000","Payment for heart attack patients","PAYM_30_AMI","Not Available","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2010","06/30/2013"
"020001","PROVIDENCE ALASKA MEDICAL CENTER","BOX 196604","ANCHORAGE","AK","99508","ANCHORAGE","9072613675","Payment for heart attack patients","PAYM_30_AMI","Greater than the National Average Payment","279","23,848","22,009","25,778","","07/01/2010","06/30/2013"
"020006","MAT-SU REGIONAL MEDICAL CENTER","2500 SOUTH WOODWORTH LOOP","PALMER","AK","99645","MATANUSKA SUSITNA","9077468600","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","74","20,571","18,214","23,284","","07/01/2010","06/30/2013"
"020008","BARTLETT REGIONAL HOSPITAL","3260 HOSPITAL DR","JUNEAU","AK","99801","JUNEAU","9077968900","Payment for heart attack patients","PAYM_30_AMI","Number of Cases Too Small","Not Available","Not Available","Not Available","Not Available","1 - The number of cases/patients is too few to report.","07/01/2010","06/30/2013"
"020012","FAIRBANKS MEMORIAL HOSPITAL","1650 COWLES STREET","FAIRBANKS","AK","99701","FAIRBANKS NORTH STAR","9074528181","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","94","19,944","17,866","22,248","","07/01/2010","06/30/2013"
"020017","ALASKA REGIONAL HOSPITAL","2801 DEBARR ROAD","ANCHORAGE","AK","99508","ANCHORAGE","9072761131","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","103","21,502","19,275","23,948","","07/01/2010","06/30/2013"
"020018","YUKON KUSKOKWIM DELTA REG HOSPITAL","PO BOX 287","BETHEL","AK","99559","BETHEL","9075436300","Payment for heart attack patients","PAYM_30_AMI","Not Available","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2010","06/30/2013"
"020026","ALASKA NATIVE MEDICAL CENTER","4315 DIPLOMACY DR","ANCHORAGE","AK","99508","ANCHORAGE","9075632662","Payment for heart attack patients","PAYM_30_AMI","Less than the National Average Payment","28","18,320","15,834","21,218","","07/01/2010","06/30/2013"
