"State","Measure Name","Measure ID","Score","Footnote","Measure Start Date","Measure End Date"
"MO","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.401","","07/01/2013","06/30/2014"
"MP","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","Not Available","13 - Results cannot be calculated for this reporting period.","07/01/2013","06/30/2014"
"MS","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.837","","07/01/2013","06/30/2014"
"MT","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.604","","07/01/2013","06/30/2014"
"NC","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.472","","07/01/2013","06/30/2014"
"ND","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.411","","07/01/2013","06/30/2014"
"NE","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.525","","07/01/2013","06/30/2014"
"NH","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.467","","07/01/2013","06/30/2014"
"NJ","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.610","","07/01/2013","06/30/2014"
"NM","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.550","","07/01/2013","06/30/2014"
"NV","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.494","","07/01/2013","06/30/2014"
"NY","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.441","","07/01/2013","06/30/2014"
"OH","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.385","","07/01/2013","06/30/2014"
"OK","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.408","","07/01/2013","06/30/2014"
"OR","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.261","","07/01/2013","06/30/2014"
"PA","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.405","","07/01/2013","06/30/2014"
"PR","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.697","","07/01/2013","06/30/2014"
"RI","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.575","","07/01/2013","06/30/2014"
"SC","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.481","","07/01/2013","06/30/2014"
"SD","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.212","","07/01/2013","06/30/2014"
"TN","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.491","","07/01/2013","06/30/2014"
"TX","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.503","","07/01/2013","06/30/2014"
"UT","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.578","","07/01/2013","06/30/2014"
"VA","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.394","","07/01/2013","06/30/2014"
"VI","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","1.808","","07/01/2013","06/30/2014"
"VT","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.401","","07/01/2013","06/30/2014"
"WA","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.444","","07/01/2013","06/30/2014"
"WI","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.390","","07/01/2013","06/30/2014"
"WV","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.509","","07/01/2013","06/30/2014"
"WY","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.404","","07/01/2013","06/30/2014"
"AK","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.887","","07/01/2013","06/30/2014"
"AL","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.621","","07/01/2013","06/30/2014"
"AR","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.574","","07/01/2013","06/30/2014"
"AS","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","13 - Results cannot be calculated for this reporting period.","07/01/2013","06/30/2014"
"AZ","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.576","","07/01/2013","06/30/2014"
"CA","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.460","","07/01/2013","06/30/2014"
"CO","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.529","","07/01/2013","06/30/2014"
"CT","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.570","","07/01/2013","06/30/2014"
"DC","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.635","","07/01/2013","06/30/2014"
"DE","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.676","","07/01/2013","06/30/2014"
"FL","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.557","","07/01/2013","06/30/2014"
"GA","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.726","","07/01/2013","06/30/2014"
"GU","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","4.520","","07/01/2013","06/30/2014"
"HI","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.273","","07/01/2013","06/30/2014"
"IA","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.633","","07/01/2013","06/30/2014"
"ID","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.492","","07/01/2013","06/30/2014"
"IL","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.490","","07/01/2013","06/30/2014"
"IN","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.691","","07/01/2013","06/30/2014"
"KS","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.501","","07/01/2013","06/30/2014"
"KY","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.684","","07/01/2013","06/30/2014"
"LA","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.749","","07/01/2013","06/30/2014"
"MA","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.450","","07/01/2013","06/30/2014"
"MD","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.568","","07/01/2013","06/30/2014"
"ME","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","1.014","","07/01/2013","06/30/2014"
"MI","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.446","","07/01/2013","06/30/2014"
"MN","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.468","","07/01/2013","06/30/2014"
"MO","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.462","","07/01/2013","06/30/2014"
"MP","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","13 - Results cannot be calculated for this reporting period.","07/01/2013","06/30/2014"
"MS","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.970","","07/01/2013","06/30/2014"
"MT","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.916","","07/01/2013","06/30/2014"
"NC","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.528","","07/01/2013","06/30/2014"
"ND","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.602","","07/01/2013","06/30/2014"
"NE","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.679","","07/01/2013","06/30/2014"
"NH","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.708","","07/01/2013","06/30/2014"
"NJ","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.679","","07/01/2013","06/30/2014"
"NM","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.716","","07/01/2013","06/30/2014"
"NV","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.583","","07/01/2013","06/30/2014"
"NY","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.479","","07/01/2013","06/30/2014"
"OH","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.430","","07/01/2013","06/30/2014"
"OK","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.482","","07/01/2013","06/30/2014"
"OR","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.348","","07/01/2013","06/30/2014"
"PA","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.444","","07/01/2013","06/30/2014"
"PR","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.894","","07/01/2013","06/30/2014"
"RI","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.787","","07/01/2013","06/30/2014"
"SC","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.562","","07/01/2013","06/30/2014"
"SD","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.389","","07/01/2013","06/30/2014"
"TN","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.551","","07/01/2013","06/30/2014"
"TX","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.537","","07/01/2013","06/30/2014"
"UT","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.723","","07/01/2013","06/30/2014"
"VA","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.455","","07/01/2013","06/30/2014"
"VI","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","4.008","","07/01/2013","06/30/2014"
"VT","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.736","","07/01/2013","06/30/2014"
"WA","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.524","","07/01/2013","06/30/2014"
"WI","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.470","","07/01/2013","06/30/2014"
"WV","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.622","","07/01/2013","06/30/2014"
"WY","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","1.099","","07/01/2013","06/30/2014"
"AK","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.268","","07/01/2013","06/30/2014"
"AL","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.478","","07/01/2013","06/30/2014"
"AR","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.404","","07/01/2013","06/30/2014"
"AS","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","Not Available","13 - Results cannot be calculated for this reporting period.","07/01/2013","06/30/2014"
"AZ","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.435","","07/01/2013","06/30/2014"
"CA","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.404","","07/01/2013","06/30/2014"
"CO","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.366","","07/01/2013","06/30/2014"
"CT","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.381","","07/01/2013","06/30/2014"
"DC","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.408","","07/01/2013","06/30/2014"
"DE","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.307","","07/01/2013","06/30/2014"
"FL","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.486","","07/01/2013","06/30/2014"
"GA","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.600","","07/01/2013","06/30/2014"
"GU","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.747","","07/01/2013","06/30/2014"
"HI","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.073","","07/01/2013","06/30/2014"
"IA","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.395","","07/01/2013","06/30/2014"
"ID","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.189","","07/01/2013","06/30/2014"
"IL","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.393","","07/01/2013","06/30/2014"
"IN","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.546","","07/01/2013","06/30/2014"
"KS","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.310","","07/01/2013","06/30/2014"
"KY","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.515","","07/01/2013","06/30/2014"
"LA","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.585","","07/01/2013","06/30/2014"
"MA","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.333","","07/01/2013","06/30/2014"
"MD","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.420","","07/01/2013","06/30/2014"
"ME","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.511","","07/01/2013","06/30/2014"
"MI","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.356","","07/01/2013","06/30/2014"
"MN","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.308","","07/01/2013","06/30/2014"
"MO","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.346","","07/01/2013","06/30/2014"
"MP","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","Not Available","13 - Results cannot be calculated for this reporting period.","07/01/2013","06/30/2014"
"MS","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.718","","07/01/2013","06/30/2014"
"MT","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.379","","07/01/2013","06/30/2014"
"NC","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.421","","07/01/2013","06/30/2014"
"ND","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.269","","07/01/2013","06/30/2014"
"NE","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.400","","07/01/2013","06/30/2014"
"NH","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.293","","07/01/2013","06/30/2014"
"NJ","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.546","","07/01/2013","06/30/2014"
"NM","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.415","","07/01/2013","06/30/2014"
"NV","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.416","","07/01/2013","06/30/2014"
"NY","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.406","","07/01/2013","06/30/2014"
"OH","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.344","","07/01/2013","06/30/2014"
"OK","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.343","","07/01/2013","06/30/2014"
"OR","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.192","","07/01/2013","06/30/2014"
"PA","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.370","","07/01/2013","06/30/2014"
"PR","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.534","","07/01/2013","06/30/2014"
"RI","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.409","","07/01/2013","06/30/2014"
"SC","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.409","","07/01/2013","06/30/2014"
"SD","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.103","","07/01/2013","06/30/2014"
"TN","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.437","","07/01/2013","06/30/2014"
"TX","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.470","","07/01/2013","06/30/2014"
"UT","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.456","","07/01/2013","06/30/2014"
"VA","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.339","","07/01/2013","06/30/2014"
"VI","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.663","","07/01/2013","06/30/2014"
"VT","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.196","","07/01/2013","06/30/2014"
"WA","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.374","","07/01/2013","06/30/2014"
"WI","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.321","","07/01/2013","06/30/2014"
"WV","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.412","","07/01/2013","06/30/2014"
"WY","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.103","","07/01/2013","06/30/2014"
"AK","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.079","","07/01/2013","06/30/2014"
"AL","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","0.965","","07/01/2013","06/30/2014"
"AR","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.060","","07/01/2013","06/30/2014"
"AS","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","Not Available","13 - Results cannot be calculated for this reporting period.","07/01/2013","06/30/2014"
"AZ","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.283","","07/01/2013","06/30/2014"
"CA","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.215","","07/01/2013","06/30/2014"
"CO","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","0.877","","07/01/2013","06/30/2014"
"CT","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.580","","07/01/2013","06/30/2014"
"DC","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","0.999","","07/01/2013","06/30/2014"
"DE","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.356","","07/01/2013","06/30/2014"
"FL","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.039","","07/01/2013","06/30/2014"
"GA","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.438","","07/01/2013","06/30/2014"
"GU","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","Not Available","","07/01/2013","06/30/2014"
"HI","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","0.634","","07/01/2013","06/30/2014"
"IA","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.036","","07/01/2013","06/30/2014"
"ID","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","0.925","","07/01/2013","06/30/2014"
"IL","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.130","","07/01/2013","06/30/2014"
"IN","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.432","","07/01/2013","06/30/2014"
"KS","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.075","","07/01/2013","06/30/2014"
"KY","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.252","","07/01/2013","06/30/2014"
"LA","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.001","","07/01/2013","06/30/2014"
"MA","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.696","","07/01/2013","06/30/2014"
"MD","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.609","","07/01/2013","06/30/2014"
"ME","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.578","","07/01/2013","06/30/2014"
"MI","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.322","","07/01/2013","06/30/2014"
"MN","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.457","","07/01/2013","06/30/2014"
"MO","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.197","","07/01/2013","06/30/2014"
"MP","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","Not Available","13 - Results cannot be calculated for this reporting period.","07/01/2013","06/30/2014"
"MS","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.258","","07/01/2013","06/30/2014"
"MT","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","0.920","","07/01/2013","06/30/2014"
"NC","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.290","","07/01/2013","06/30/2014"
"ND","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","0.900","","07/01/2013","06/30/2014"
"NE","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.420","","07/01/2013","06/30/2014"
"NH","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","0.990","","07/01/2013","06/30/2014"
"NJ","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.229","","07/01/2013","06/30/2014"
"NM","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.200","","07/01/2013","06/30/2014"
"NV","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.150","","07/01/2013","06/30/2014"
"NY","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.322","","07/01/2013","06/30/2014"
"OH","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","0.993","","07/01/2013","06/30/2014"
"OK","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","0.904","","07/01/2013","06/30/2014"
"OR","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.075","","07/01/2013","06/30/2014"
"PA","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.231","","07/01/2013","06/30/2014"
"PR","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","0.642","","07/01/2013","06/30/2014"
"RI","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.365","","07/01/2013","06/30/2014"
"SC","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.514","","07/01/2013","06/30/2014"
"SD","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.204","","07/01/2013","06/30/2014"
"TN","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.293","","07/01/2013","06/30/2014"
"TX","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.123","","07/01/2013","06/30/2014"
"UT","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.781","","07/01/2013","06/30/2014"
"VA","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.102","","07/01/2013","06/30/2014"
"VI","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","2.956","","07/01/2013","06/30/2014"
"VT","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","0.929","","07/01/2013","06/30/2014"
"WA","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.256","","07/01/2013","06/30/2014"
"WI","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.150","","07/01/2013","06/30/2014"
"WV","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","0.826","","07/01/2013","06/30/2014"
"WY","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","0.596","","07/01/2013","06/30/2014"
"AK","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.672","","07/01/2013","06/30/2014"
"AL","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.049","","07/01/2013","06/30/2014"
"AR","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.199","","07/01/2013","06/30/2014"
"AS","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","13 - Results cannot be calculated for this reporting period.","07/01/2013","06/30/2014"
"AZ","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.398","","07/01/2013","06/30/2014"
"CA","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.264","","07/01/2013","06/30/2014"
"CO","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","0.993","","07/01/2013","06/30/2014"
"CT","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.744","","07/01/2013","06/30/2014"
"DC","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.204","","07/01/2013","06/30/2014"
"DE","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.720","","07/01/2013","06/30/2014"
"FL","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.089","","07/01/2013","06/30/2014"
"GA","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.530","","07/01/2013","06/30/2014"
"GU","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","3.582","","07/01/2013","06/30/2014"
"HI","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","0.856","","07/01/2013","06/30/2014"
"IA","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.222","","07/01/2013","06/30/2014"
"ID","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.216","","07/01/2013","06/30/2014"
"IL","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.209","","07/01/2013","06/30/2014"
"IN","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.544","","07/01/2013","06/30/2014"
"KS","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.228","","07/01/2013","06/30/2014"
"KY","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.370","","07/01/2013","06/30/2014"
"LA","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.100","","07/01/2013","06/30/2014"
"MA","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.815","","07/01/2013","06/30/2014"
"MD","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.759","","07/01/2013","06/30/2014"
"ME","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.956","","07/01/2013","06/30/2014"
