"State","Condition","Measure Name","Measure ID","Score","Footnote","Measure Start Date","Measure End Date"
"NH","Heart Attack or Chest Pain","Aspirin prescribed at discharge","AMI_2","100","","07/01/2013","06/30/2014"
"NJ","Heart Attack or Chest Pain","Aspirin prescribed at discharge","AMI_2","99","","07/01/2013","06/30/2014"
"NM","Heart Attack or Chest Pain","Aspirin prescribed at discharge","AMI_2","100","","07/01/2013","06/30/2014"
"NV","Heart Attack or Chest Pain","Aspirin prescribed at discharge","AMI_2","99","","07/01/2013","06/30/2014"
"NY","Heart Attack or Chest Pain","Aspirin prescribed at discharge","AMI_2","99","","07/01/2013","06/30/2014"
"OH","Heart Attack or Chest Pain","Aspirin prescribed at discharge","AMI_2","99","","07/01/2013","06/30/2014"
"OK","Heart Attack or Chest Pain","Aspirin prescribed at discharge","AMI_2","99","","07/01/2013","06/30/2014"
"OR","Heart Attack or Chest Pain","Aspirin prescribed at discharge","AMI_2","99","","07/01/2013","06/30/2014"
"PA","Heart Attack or Chest Pain","Aspirin prescribed at discharge","AMI_2","100","","07/01/2013","06/30/2014"
"PR","Heart Attack or Chest Pain","Aspirin prescribed at discharge","AMI_2","94","","07/01/2013","06/30/2014"
"RI","Heart Attack or Chest Pain","Aspirin prescribed at discharge","AMI_2","99","","07/01/2013","06/30/2014"
"SC","Heart Attack or Chest Pain","Aspirin prescribed at discharge","AMI_2","100","","07/01/2013","06/30/2014"
"SD","Heart Attack or Chest Pain","Aspirin prescribed at discharge","AMI_2","99","","07/01/2013","06/30/2014"
"TN","Heart Attack or Chest Pain","Aspirin prescribed at discharge","AMI_2","99","","07/01/2013","06/30/2014"
"TX","Heart Attack or Chest Pain","Aspirin prescribed at discharge","AMI_2","99","","07/01/2013","06/30/2014"
"UT","Heart Attack or Chest Pain","Aspirin prescribed at discharge","AMI_2","100","","07/01/2013","06/30/2014"
"VA","Heart Attack or Chest Pain","Aspirin prescribed at discharge","AMI_2","99","","07/01/2013","06/30/2014"
"VI","Heart Attack or Chest Pain","Aspirin prescribed at discharge","AMI_2","95","","07/01/2013","06/30/2014"
"VT","Heart Attack or Chest Pain","Aspirin prescribed at discharge","AMI_2","100","","07/01/2013","06/30/2014"
"WA","Heart Attack or Chest Pain","Aspirin prescribed at discharge","AMI_2","99","","07/01/2013","06/30/2014"
"WI","Heart Attack or Chest Pain","Aspirin prescribed at discharge","AMI_2","99","","07/01/2013","06/30/2014"
"WV","Heart Attack or Chest Pain","Aspirin prescribed at discharge","AMI_2","99","","07/01/2013","06/30/2014"
"WY","Heart Attack or Chest Pain","Aspirin prescribed at discharge","AMI_2","99","","07/01/2013","06/30/2014"
"AK","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes Of Hospital Arrival","AMI_7a","60","","07/01/2013","06/30/2014"
"AL","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes Of Hospital Arrival","AMI_7a","89","","07/01/2013","06/30/2014"
"AR","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes Of Hospital Arrival","AMI_7a","79","","07/01/2013","06/30/2014"
"AS","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes Of Hospital Arrival","AMI_7a","Not Available","","07/01/2013","06/30/2014"
"AZ","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes Of Hospital Arrival","AMI_7a","71","","07/01/2013","06/30/2014"
"CA","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes Of Hospital Arrival","AMI_7a","68","","07/01/2013","06/30/2014"
"CO","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes Of Hospital Arrival","AMI_7a","33","","07/01/2013","06/30/2014"
"CT","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes Of Hospital Arrival","AMI_7a","100","","07/01/2013","06/30/2014"
"DC","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes Of Hospital Arrival","AMI_7a","Not Available","","07/01/2013","06/30/2014"
"DE","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes Of Hospital Arrival","AMI_7a","Not Available","","07/01/2013","06/30/2014"
"FL","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes Of Hospital Arrival","AMI_7a","100","","07/01/2013","06/30/2014"
"GA","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes Of Hospital Arrival","AMI_7a","60","","07/01/2013","06/30/2014"
"GU","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes Of Hospital Arrival","AMI_7a","15","","07/01/2013","06/30/2014"
"HI","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes Of Hospital Arrival","AMI_7a","Not Available","","07/01/2013","06/30/2014"
"IA","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes Of Hospital Arrival","AMI_7a","40","","07/01/2013","06/30/2014"
"ID","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes Of Hospital Arrival","AMI_7a","100","","07/01/2013","06/30/2014"
"IL","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes Of Hospital Arrival","AMI_7a","50","","07/01/2013","06/30/2014"
"IN","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes Of Hospital Arrival","AMI_7a","Not Available","","07/01/2013","06/30/2014"
"KS","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes Of Hospital Arrival","AMI_7a","20","","07/01/2013","06/30/2014"
"KY","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes Of Hospital Arrival","AMI_7a","50","","07/01/2013","06/30/2014"
"LA","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes Of Hospital Arrival","AMI_7a","50","","07/01/2013","06/30/2014"
"MA","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes Of Hospital Arrival","AMI_7a","67","","07/01/2013","06/30/2014"
"MD","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes Of Hospital Arrival","AMI_7a","Not Available","","07/01/2013","06/30/2014"
"ME","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes Of Hospital Arrival","AMI_7a","Not Available","","07/01/2013","06/30/2014"
"MI","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes Of Hospital Arrival","AMI_7a","67","","07/01/2013","06/30/2014"
"MN","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes Of Hospital Arrival","AMI_7a","Not Available","","07/01/2013","06/30/2014"
"MO","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes Of Hospital Arrival","AMI_7a","100","","07/01/2013","06/30/2014"
"MP","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes Of Hospital Arrival","AMI_7a","Not Available","","07/01/2013","06/30/2014"
"MS","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes Of Hospital Arrival","AMI_7a","33","","07/01/2013","06/30/2014"
"MT","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes Of Hospital Arrival","AMI_7a","100","","07/01/2013","06/30/2014"
"NC","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes Of Hospital Arrival","AMI_7a","60","","07/01/2013","06/30/2014"
"ND","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes Of Hospital Arrival","AMI_7a","Not Available","","07/01/2013","06/30/2014"
"NE","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes Of Hospital Arrival","AMI_7a","100","","07/01/2013","06/30/2014"
"NH","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes Of Hospital Arrival","AMI_7a","Not Available","","07/01/2013","06/30/2014"
"NJ","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes Of Hospital Arrival","AMI_7a","67","","07/01/2013","06/30/2014"
"NM","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes Of Hospital Arrival","AMI_7a","33","","07/01/2013","06/30/2014"
"NV","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes Of Hospital Arrival","AMI_7a","67","","07/01/2013","06/30/2014"
"NY","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes Of Hospital Arrival","AMI_7a","40","","07/01/2013","06/30/2014"
"OH","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes Of Hospital Arrival","AMI_7a","67","","07/01/2013","06/30/2014"
"OK","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes Of Hospital Arrival","AMI_7a","40","","07/01/2013","06/30/2014"
"OR","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes Of Hospital Arrival","AMI_7a","67","","07/01/2013","06/30/2014"
"PA","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes Of Hospital Arrival","AMI_7a","67","","07/01/2013","06/30/2014"
"PR","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes Of Hospital Arrival","AMI_7a","49","","07/01/2013","06/30/2014"
"RI","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes Of Hospital Arrival","AMI_7a","100","","07/01/2013","06/30/2014"
"SC","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes Of Hospital Arrival","AMI_7a","67","","07/01/2013","06/30/2014"
"SD","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes Of Hospital Arrival","AMI_7a","Not Available","","07/01/2013","06/30/2014"
"TN","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes Of Hospital Arrival","AMI_7a","57","","07/01/2013","06/30/2014"
"TX","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes Of Hospital Arrival","AMI_7a","71","","07/01/2013","06/30/2014"
"UT","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes Of Hospital Arrival","AMI_7a","100","","07/01/2013","06/30/2014"
"VA","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes Of Hospital Arrival","AMI_7a","80","","07/01/2013","06/30/2014"
"VI","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes Of Hospital Arrival","AMI_7a","Not Available","","07/01/2013","06/30/2014"
"VT","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes Of Hospital Arrival","AMI_7a","Not Available","","07/01/2013","06/30/2014"
"WA","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes Of Hospital Arrival","AMI_7a","67","","07/01/2013","06/30/2014"
"WI","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes Of Hospital Arrival","AMI_7a","40","","07/01/2013","06/30/2014"
"WV","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes Of Hospital Arrival","AMI_7a","60","","07/01/2013","06/30/2014"
"WY","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes Of Hospital Arrival","AMI_7a","Not Available","","07/01/2013","06/30/2014"
"AK","Heart Attack or Chest Pain","Primary PCI Received Within 90 Minutes of Hospital Arrival","AMI_8a","95","","07/01/2013","06/30/2014"
"AL","Heart Attack or Chest Pain","Primary PCI Received Within 90 Minutes of Hospital Arrival","AMI_8a","96","","07/01/2013","06/30/2014"
"AR","Heart Attack or Chest Pain","Primary PCI Received Within 90 Minutes of Hospital Arrival","AMI_8a","96","","07/01/2013","06/30/2014"
"AS","Heart Attack or Chest Pain","Primary PCI Received Within 90 Minutes of Hospital Arrival","AMI_8a","Not Available","","07/01/2013","06/30/2014"
"AZ","Heart Attack or Chest Pain","Primary PCI Received Within 90 Minutes of Hospital Arrival","AMI_8a","93","","07/01/2013","06/30/2014"
"CA","Heart Attack or Chest Pain","Primary PCI Received Within 90 Minutes of Hospital Arrival","AMI_8a","95","","07/01/2013","06/30/2014"
"CO","Heart Attack or Chest Pain","Primary PCI Received Within 90 Minutes of Hospital Arrival","AMI_8a","97","","07/01/2013","06/30/2014"
"CT","Heart Attack or Chest Pain","Primary PCI Received Within 90 Minutes of Hospital Arrival","AMI_8a","98","","07/01/2013","06/30/2014"
"DC","Heart Attack or Chest Pain","Primary PCI Received Within 90 Minutes of Hospital Arrival","AMI_8a","92","","07/01/2013","06/30/2014"
"DE","Heart Attack or Chest Pain","Primary PCI Received Within 90 Minutes of Hospital Arrival","AMI_8a","95","","07/01/2013","06/30/2014"
"FL","Heart Attack or Chest Pain","Primary PCI Received Within 90 Minutes of Hospital Arrival","AMI_8a","97","","07/01/2013","06/30/2014"
"GA","Heart Attack or Chest Pain","Primary PCI Received Within 90 Minutes of Hospital Arrival","AMI_8a","96","","07/01/2013","06/30/2014"
"GU","Heart Attack or Chest Pain","Primary PCI Received Within 90 Minutes of Hospital Arrival","AMI_8a","Not Available","","07/01/2013","06/30/2014"
"HI","Heart Attack or Chest Pain","Primary PCI Received Within 90 Minutes of Hospital Arrival","AMI_8a","93","","07/01/2013","06/30/2014"
"IA","Heart Attack or Chest Pain","Primary PCI Received Within 90 Minutes of Hospital Arrival","AMI_8a","96","","07/01/2013","06/30/2014"
"ID","Heart Attack or Chest Pain","Primary PCI Received Within 90 Minutes of Hospital Arrival","AMI_8a","97","","07/01/2013","06/30/2014"
"IL","Heart Attack or Chest Pain","Primary PCI Received Within 90 Minutes of Hospital Arrival","AMI_8a","97","","07/01/2013","06/30/2014"
"IN","Heart Attack or Chest Pain","Primary PCI Received Within 90 Minutes of Hospital Arrival","AMI_8a","97","","07/01/2013","06/30/2014"
"KS","Heart Attack or Chest Pain","Primary PCI Received Within 90 Minutes of Hospital Arrival","AMI_8a","98","","07/01/2013","06/30/2014"
"KY","Heart Attack or Chest Pain","Primary PCI Received Within 90 Minutes of Hospital Arrival","AMI_8a","98","","07/01/2013","06/30/2014"
"LA","Heart Attack or Chest Pain","Primary PCI Received Within 90 Minutes of Hospital Arrival","AMI_8a","94","","07/01/2013","06/30/2014"
"MA","Heart Attack or Chest Pain","Primary PCI Received Within 90 Minutes of Hospital Arrival","AMI_8a","96","","07/01/2013","06/30/2014"
"MD","Heart Attack or Chest Pain","Primary PCI Received Within 90 Minutes of Hospital Arrival","AMI_8a","94","","07/01/2013","06/30/2014"
"ME","Heart Attack or Chest Pain","Primary PCI Received Within 90 Minutes of Hospital Arrival","AMI_8a","99","","07/01/2013","06/30/2014"
"MI","Heart Attack or Chest Pain","Primary PCI Received Within 90 Minutes of Hospital Arrival","AMI_8a","96","","07/01/2013","06/30/2014"
"MN","Heart Attack or Chest Pain","Primary PCI Received Within 90 Minutes of Hospital Arrival","AMI_8a","95","","07/01/2013","06/30/2014"
"MO","Heart Attack or Chest Pain","Primary PCI Received Within 90 Minutes of Hospital Arrival","AMI_8a","98","","07/01/2013","06/30/2014"
"MP","Heart Attack or Chest Pain","Primary PCI Received Within 90 Minutes of Hospital Arrival","AMI_8a","Not Available","","07/01/2013","06/30/2014"
"MS","Heart Attack or Chest Pain","Primary PCI Received Within 90 Minutes of Hospital Arrival","AMI_8a","95","","07/01/2013","06/30/2014"
"MT","Heart Attack or Chest Pain","Primary PCI Received Within 90 Minutes of Hospital Arrival","AMI_8a","96","","07/01/2013","06/30/2014"
"NC","Heart Attack or Chest Pain","Primary PCI Received Within 90 Minutes of Hospital Arrival","AMI_8a","98","","07/01/2013","06/30/2014"
"ND","Heart Attack or Chest Pain","Primary PCI Received Within 90 Minutes of Hospital Arrival","AMI_8a","98","","07/01/2013","06/30/2014"
"NE","Heart Attack or Chest Pain","Primary PCI Received Within 90 Minutes of Hospital Arrival","AMI_8a","94","","07/01/2013","06/30/2014"
"NH","Heart Attack or Chest Pain","Primary PCI Received Within 90 Minutes of Hospital Arrival","AMI_8a","97","","07/01/2013","06/30/2014"
"NJ","Heart Attack or Chest Pain","Primary PCI Received Within 90 Minutes of Hospital Arrival","AMI_8a","95","","07/01/2013","06/30/2014"
"NM","Heart Attack or Chest Pain","Primary PCI Received Within 90 Minutes of Hospital Arrival","AMI_8a","94","","07/01/2013","06/30/2014"
"NV","Heart Attack or Chest Pain","Primary PCI Received Within 90 Minutes of Hospital Arrival","AMI_8a","96","","07/01/2013","06/30/2014"
"NY","Heart Attack or Chest Pain","Primary PCI Received Within 90 Minutes of Hospital Arrival","AMI_8a","95","","07/01/2013","06/30/2014"
"OH","Heart Attack or Chest Pain","Primary PCI Received Within 90 Minutes of Hospital Arrival","AMI_8a","97","","07/01/2013","06/30/2014"
"OK","Heart Attack or Chest Pain","Primary PCI Received Within 90 Minutes of Hospital Arrival","AMI_8a","94","","07/01/2013","06/30/2014"
"OR","Heart Attack or Chest Pain","Primary PCI Received Within 90 Minutes of Hospital Arrival","AMI_8a","94","","07/01/2013","06/30/2014"
"PA","Heart Attack or Chest Pain","Primary PCI Received Within 90 Minutes of Hospital Arrival","AMI_8a","96","","07/01/2013","06/30/2014"
"PR","Heart Attack or Chest Pain","Primary PCI Received Within 90 Minutes of Hospital Arrival","AMI_8a","66","","07/01/2013","06/30/2014"
"RI","Heart Attack or Chest Pain","Primary PCI Received Within 90 Minutes of Hospital Arrival","AMI_8a","98","","07/01/2013","06/30/2014"
"SC","Heart Attack or Chest Pain","Primary PCI Received Within 90 Minutes of Hospital Arrival","AMI_8a","97","","07/01/2013","06/30/2014"
"SD","Heart Attack or Chest Pain","Primary PCI Received Within 90 Minutes of Hospital Arrival","AMI_8a","96","","07/01/2013","06/30/2014"
"TN","Heart Attack or Chest Pain","Primary PCI Received Within 90 Minutes of Hospital Arrival","AMI_8a","98","","07/01/2013","06/30/2014"
"TX","Heart Attack or Chest Pain","Primary PCI Received Within 90 Minutes of Hospital Arrival","AMI_8a","95","","07/01/2013","06/30/2014"
"UT","Heart Attack or Chest Pain","Primary PCI Received Within 90 Minutes of Hospital Arrival","AMI_8a","99","","07/01/2013","06/30/2014"
"VA","Heart Attack or Chest Pain","Primary PCI Received Within 90 Minutes of Hospital Arrival","AMI_8a","97","","07/01/2013","06/30/2014"
"VI","Heart Attack or Chest Pain","Primary PCI Received Within 90 Minutes of Hospital Arrival","AMI_8a","50","","07/01/2013","06/30/2014"
"VT","Heart Attack or Chest Pain","Primary PCI Received Within 90 Minutes of Hospital Arrival","AMI_8a","100","","07/01/2013","06/30/2014"
"WA","Heart Attack or Chest Pain","Primary PCI Received Within 90 Minutes of Hospital Arrival","AMI_8a","96","","07/01/2013","06/30/2014"
"WI","Heart Attack or Chest Pain","Primary PCI Received Within 90 Minutes of Hospital Arrival","AMI_8a","96","","07/01/2013","06/30/2014"
"WV","Heart Attack or Chest Pain","Primary PCI Received Within 90 Minutes of Hospital Arrival","AMI_8a","95","","07/01/2013","06/30/2014"
"WY","Heart Attack or Chest Pain","Primary PCI Received Within 90 Minutes of Hospital Arrival","AMI_8a","99","","07/01/2013","06/30/2014"
"AK","Heart Failure","Discharge instructions","HF_1","94","","07/01/2013","06/30/2014"
"AL","Heart Failure","Discharge instructions","HF_1","94","","07/01/2013","06/30/2014"
"AR","Heart Failure","Discharge instructions","HF_1","96","","07/01/2013","06/30/2014"
"AS","Heart Failure","Discharge instructions","HF_1","Not Available","","07/01/2013","06/30/2014"
"AZ","Heart Failure","Discharge instructions","HF_1","95","","07/01/2013","06/30/2014"
"CA","Heart Failure","Discharge instructions","HF_1","94","","07/01/2013","06/30/2014"
"CO","Heart Failure","Discharge instructions","HF_1","93","","07/01/2013","06/30/2014"
"CT","Heart Failure","Discharge instructions","HF_1","94","","07/01/2013","06/30/2014"
"DC","Heart Failure","Discharge instructions","HF_1","83","","07/01/2013","06/30/2014"
"DE","Heart Failure","Discharge instructions","HF_1","93","","07/01/2013","06/30/2014"
"FL","Heart Failure","Discharge instructions","HF_1","96","","07/01/2013","06/30/2014"
"GA","Heart Failure","Discharge instructions","HF_1","93","","07/01/2013","06/30/2014"
"GU","Heart Failure","Discharge instructions","HF_1","98","","07/01/2013","06/30/2014"
"HI","Heart Failure","Discharge instructions","HF_1","95","","07/01/2013","06/30/2014"
"IA","Heart Failure","Discharge instructions","HF_1","94","","07/01/2013","06/30/2014"
"ID","Heart Failure","Discharge instructions","HF_1","93","","07/01/2013","06/30/2014"
"IL","Heart Failure","Discharge instructions","HF_1","95","","07/01/2013","06/30/2014"
"IN","Heart Failure","Discharge instructions","HF_1","95","","07/01/2013","06/30/2014"
"KS","Heart Failure","Discharge instructions","HF_1","88","","07/01/2013","06/30/2014"
"KY","Heart Failure","Discharge instructions","HF_1","91","","07/01/2013","06/30/2014"
"LA","Heart Failure","Discharge instructions","HF_1","94","","07/01/2013","06/30/2014"
"MA","Heart Failure","Discharge instructions","HF_1","97","","07/01/2013","06/30/2014"
"MD","Heart Failure","Discharge instructions","HF_1","93","","07/01/2013","06/30/2014"
"ME","Heart Failure","Discharge instructions","HF_1","97","","07/01/2013","06/30/2014"
"MI","Heart Failure","Discharge instructions","HF_1","95","","07/01/2013","06/30/2014"
"MN","Heart Failure","Discharge instructions","HF_1","92","","07/01/2013","06/30/2014"
"MO","Heart Failure","Discharge instructions","HF_1","92","","07/01/2013","06/30/2014"
"MP","Heart Failure","Discharge instructions","HF_1","Not Available","","07/01/2013","06/30/2014"
"MS","Heart Failure","Discharge instructions","HF_1","93","","07/01/2013","06/30/2014"
"MT","Heart Failure","Discharge instructions","HF_1","92","","07/01/2013","06/30/2014"
"NC","Heart Failure","Discharge instructions","HF_1","97","","07/01/2013","06/30/2014"
"ND","Heart Failure","Discharge instructions","HF_1","92","","07/01/2013","06/30/2014"
"NE","Heart Failure","Discharge instructions","HF_1","90","","07/01/2013","06/30/2014"
"NH","Heart Failure","Discharge instructions","HF_1","98","","07/01/2013","06/30/2014"
"NJ","Heart Failure","Discharge instructions","HF_1","98","","07/01/2013","06/30/2014"
"NM","Heart Failure","Discharge instructions","HF_1","90","","07/01/2013","06/30/2014"
"NV","Heart Failure","Discharge instructions","HF_1","95","","07/01/2013","06/30/2014"
"NY","Heart Failure","Discharge instructions","HF_1","96","","07/01/2013","06/30/2014"
"OH","Heart Failure","Discharge instructions","HF_1","96","","07/01/2013","06/30/2014"
"OK","Heart Failure","Discharge instructions","HF_1","91","","07/01/2013","06/30/2014"
"OR","Heart Failure","Discharge instructions","HF_1","93","","07/01/2013","06/30/2014"
"PA","Heart Failure","Discharge instructions","HF_1","96","","07/01/2013","06/30/2014"
"PR","Heart Failure","Discharge instructions","HF_1","90","","07/01/2013","06/30/2014"
"RI","Heart Failure","Discharge instructions","HF_1","93","","07/01/2013","06/30/2014"
"SC","Heart Failure","Discharge instructions","HF_1","95","","07/01/2013","06/30/2014"
"SD","Heart Failure","Discharge instructions","HF_1","87","","07/01/2013","06/30/2014"
"TN","Heart Failure","Discharge instructions","HF_1","94","","07/01/2013","06/30/2014"
"TX","Heart Failure","Discharge instructions","HF_1","95","","07/01/2013","06/30/2014"
"UT","Heart Failure","Discharge instructions","HF_1","96","","07/01/2013","06/30/2014"
"VA","Heart Failure","Discharge instructions","HF_1","97","","07/01/2013","06/30/2014"
"VI","Heart Failure","Discharge instructions","HF_1","99","","07/01/2013","06/30/2014"
"VT","Heart Failure","Discharge instructions","HF_1","96","","07/01/2013","06/30/2014"
"WA","Heart Failure","Discharge instructions","HF_1","93","","07/01/2013","06/30/2014"
"WI","Heart Failure","Discharge instructions","HF_1","96","","07/01/2013","06/30/2014"
"WV","Heart Failure","Discharge instructions","HF_1","95","","07/01/2013","06/30/2014"
"WY","Heart Failure","Discharge instructions","HF_1","88","","07/01/2013","06/30/2014"
"AK","Heart Failure","Evaluation of LVS Function","HF_2","98","","07/01/2013","06/30/2014"
"AL","Heart Failure","Evaluation of LVS Function","HF_2","99","","07/01/2013","06/30/2014"
