State_FIPS_Code,County_FIPS_Code,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Strata_ID_Number,Strata_Determining_Factors,Number_Counties,Population_Size,Min_Population_Size,Max_Population_Size,Population_Density,Min_Population_Density,Max_Population_Density,Poverty,Min_Poverty,Max_Poverty,Age_19_Under,Min_Age_19_Under,Max_Age_19_Under,Age_19_64,Min_Age_19_64,Max_Age_19_65,Age_65_84,Min_Age_65_84,Max_Age_65_85,Age_85_and_Over,Min_Age_85_and_Over,Max_Age_85_and_Over,White,Min_White,Max_White,Black,Min_Black,Max_Black,Native_American,Min_Native_American,Max_Native_American,Asian,Min_Asian,Max_Asian,Hispanic,Min_Hispanic,Max_Hispanic
01,021,Chilton,Alabama,AL,32,"frontier status, population size, poverty, age",37,41744,29918,51327,60,25,310,14.9,12.7,17.8,25,20.8,25.4,62.6,60.9,67.2,11.3,8.1,13.9,1.2,1.2,2,88.3,71.9,98,10.5,0.9,24.1,0.3,0.1,5.4,0.4,0.3,2.1,3.7,0.6,6.7
01,023,Choctaw,Alabama,AL,66,"frontier status, population size, poverty, age, population density",37,14807,6709,17773,16,8,19,18.7,17.4,29.4,24.9,24.5,34.1,59.5,53.7,62.2,13.7,8.6,13.2,2,1,2,55.7,24.9,97,43.9,0.5,71.7,0.1,0.1,53.4,0.1,0.1,0.8,0.8,0.8,83.5
01,025,Clarke,Alabama,AL,51,"frontier status, population size, poverty, age, population density",33,27269,27269,43226,22,14,41,19.2,18,24.6,27.3,23.5,32.2,58.5,54.9,62.5,12.4,9.6,12.6,1.8,1.2,1.8,55.8,48.6,97,43.7,0.7,50.7,0.2,0.2,7.1,0.2,0.2,2.3,0.7,1,67.7
01,027,Clay,Alabama,AL,63,"frontier status, population size, poverty, age, population density",32,13964,9378,21479,23,24,32,14,12.1,16.5,22.4,21.1,24.8,60.3,56.7,62.7,14.9,11.8,17.2,2.5,1.6,3.3,84.2,68,98.5,15,0.3,31.6,0.3,0.1,0.7,0.1,0.1,0.6,2.1,0.8,2.8
01,029,Cleburne,Alabama,AL,41,"frontier status, population size, poverty, age",47,14460,6602,24509,26,20,1362,14,12.5,17.5,23.3,21.8,25.9,62.6,56.1,64.1,12.8,10,16,1.4,1.2,3.3,95.3,59,98.4,3.8,0.6,40.2,0.3,0.1,0.5,0.2,0.1,1.8,1.8,0.7,6.5
01,031,Coffee,Alabama,AL,32,"frontier status, population size, poverty, age",37,45567,29918,51327,67,25,310,13.7,12.7,17.8,24.5,20.8,25.4,61.1,60.9,67.2,12.9,8.1,13.9,1.5,1.2,2,77.9,71.9,98,18.5,0.9,24.1,0.9,0.1,5.4,1.2,0.3,2.1,3.2,0.6,6.7
01,033,Colbert,Alabama,AL,21,"frontier status, population size, poverty, age",44,54660,53309,92614,92,40,201,14,9.8,13.5,23,20.6,24.8,60.9,57.7,62.9,14,12.6,17.5,2,1.7,3.2,81.9,82.8,97.9,16.7,0.4,14.9,0.4,0.1,1.3,0.3,0.3,1.1,1.3,0.8,8.5
01,035,Conecuh,Alabama,AL,75,"frontier status, population size, poverty, age, population density",37,13257,6228,19495,16,15,22,22,17,24.9,25.3,22.3,28.6,59.3,55.2,63.8,13.4,11,15.1,2.1,1.8,2.6,55.3,30,97.1,44.1,1.1,69.6,0.2,0.1,1.6,0.1,0.1,0.5,0.9,0.7,37.8
01,037,Coosa,Alabama,AL,41,"frontier status, population size, poverty, age",47,11162,6602,24509,17,20,1362,13.4,12.5,17.5,23.2,21.8,25.9,61.2,56.1,64.1,13.8,10,16,1.8,1.2,3.3,67.6,59,98.4,31.6,0.6,40.2,0.3,0.1,0.5,0.1,0.1,1.8,1.5,0.7,6.5
01,039,Covington,Alabama,AL,35,"frontier status, population size, poverty, age",27,37003,27228,49644,36,32,87,17.5,14.6,20.3,23.4,21.8,26.5,58.7,57.6,62.1,15.5,12.6,16.6,2.5,1.6,2.6,86.1,62.3,98,12.6,0.5,36.6,0.5,0.2,17,0.3,0.3,0.7,0.9,0.8,16
01,041,Crenshaw,Alabama,AL,71,"frontier status, population size, poverty, age, population density",33,13727,7147,20507,23,19,28,17.6,16.2,21.1,24.2,20,25.2,58.7,56.6,63.8,14.9,12.1,18.3,2.3,1.6,2.7,74.6,57.6,99,24.6,0.2,41.9,0.4,0.1,0.8,0.1,0.1,0.7,0.8,0.5,17.8
01,043,Cullman,Alabama,AL,21,"frontier status, population size, poverty, age",44,79886,53309,92614,108,40,201,13.3,9.8,13.5,23.9,20.6,24.8,61.3,57.7,62.9,13.3,12.6,17.5,1.5,1.7,3.2,97.3,82.8,97.9,1.2,0.4,14.9,0.4,0.1,1.3,0.3,0.3,1.1,3.1,0.8,8.5
01,045,Dale,Alabama,AL,33,"frontier status, population size, poverty, age",41,48748,27640,49369,87,20,98,15.8,11.5,16.3,27.7,24,31.3,59.4,57.8,63.1,11.8,8.3,12.5,1.2,0.9,2,75.5,65.1,97.6,20.9,0.3,33.6,0.5,0.2,6,1.3,0.3,2,3.2,1,27.6
01,047,Dallas,Alabama,AL,52,"frontier status, population size, poverty, age, population density",40,44366,25732,47941,45,46,68,25,16.2,26.3,29,22,29.1,57.4,58.1,63.2,12.1,9.2,13.2,1.5,1.1,1.8,32.4,32.9,98.6,66.9,0.6,66.3,0.1,0.1,2.1,0.3,0.1,0.8,0.6,0.6,13.8
01,049,DeKalb,Alabama,AL,24,"frontier status, population size, poverty, age",35,67271,57558,94198,86,40,257,15.1,12.3,16.6,25,21,26.2,61.2,57.9,61.9,12.3,12,16.6,1.6,1.6,3,96,83.7,97,1.8,0.8,13.7,0.8,0.2,2.3,0.3,0.3,1.5,8.8,0.7,15
01,051,Elmore,Alabama,AL,19,"frontier status, population size, poverty, age",37,73937,53919,98288,119,36,280,12.5,10.3,13.9,25.1,22.3,25.7,64,60.4,65.8,9.8,8.2,13.2,1.2,1.1,2.3,77.3,77.6,97.5,20.7,0.4,20.7,0.4,0.2,2.1,0.5,0.5,2.5,1.7,0.8,4.6
01,053,Escambia,Alabama,AL,51,"frontier status, population size, poverty, age, population density",33,38082,27269,43226,40,14,41,18.6,18,24.6,24.4,23.5,32.2,61.4,54.9,62.5,12.5,9.6,12.6,1.7,1.2,1.8,64.3,48.6,97,31.7,0.7,50.7,2.9,0.2,7.1,0.3,0.2,2.3,1,1,67.7
01,055,Etowah,Alabama,AL,6,"frontier status, population size, poverty",53,103189,111380,231954,193,43,697,15.7,12.4,16.5,24,22.4,29.6,60.3,57.8,62.9,13.9,8.5,16.2,1.8,1.1,2.7,83.8,65.8,95,14.6,1,30.1,0.3,0.3,1.9,0.5,0.7,3.4,2.4,1.9,21
01,057,Fayette,Alabama,AL,63,"frontier status, population size, poverty, age, population density",32,18228,9378,21479,29,24,32,16.1,12.1,16.5,23.5,21.1,24.8,60.4,56.7,62.7,13.6,11.8,17.2,2.4,1.6,3.3,87.4,68,98.5,11.8,0.3,31.6,0.2,0.1,0.7,0.3,0.1,0.6,0.9,0.8,2.8
01,059,Franklin,Alabama,AL,49,"frontier status, population size, poverty, age, population density",35,30737,28892,46496,48,31,61,17.4,12.7,16.3,24.6,20.8,25.5,60.2,56.5,61.1,13.7,12.2,18.7,1.5,1.9,3.1,94.1,70.9,97.4,4.2,0.3,27.6,0.4,0.2,1.6,0.6,0.2,1,10.7,0.8,12.5
01,061,Geneva,Alabama,AL,64,"frontier status, population size, poverty, age, population density",41,25735,9340,25391,45,35,46,17.6,12,15.7,22.9,19.6,24.3,59.9,58.6,61.6,15.1,12.9,17.7,2.1,1.6,2.9,87.8,87.8,98.8,10.8,0.4,10.8,0.7,0.1,0.9,0.2,0.1,0.5,2,0.6,7.8
01,063,Greene,Alabama,AL,75,"frontier status, population size, poverty, age, population density",37,9661,6228,19495,15,15,22,24.9,17,24.9,28,22.3,28.6,57.9,55.2,63.8,12,11,15.1,2.1,1.8,2.6,19.9,30,97.1,79.7,1.1,69.6,0.1,0.1,1.6,0.2,0.1,0.5,0.7,0.7,37.8
01,065,Hale,Alabama,AL,76,"frontier status, population size, poverty, age, population density",38,18316,9226,23786,28,24,42,20.6,16.7,23.3,26.8,24.8,29.5,60.6,56.1,60.6,10.9,11.1,14.3,1.7,1.6,2.6,40.3,48.3,91.8,59.2,4.4,50.9,0.1,0,2,0.2,0.2,0.7,0.9,0.9,12.1
01,067,Henry,Alabama,AL,63,"frontier status, population size, poverty, age, population density",32,16610,9378,21479,30,24,32,16.3,12.1,16.5,23.7,21.1,24.8,60.4,56.7,62.7,13.9,11.8,17.2,2.1,1.6,3.3,67.6,68,98.5,31.7,0.3,31.6,0.2,0.1,0.7,0,0.1,0.6,2.1,0.8,2.8
01,069,Houston,Alabama,AL,23,"frontier status, population size, poverty, age",37,94249,56580,94249,162,25,238,15.3,11.4,16.6,25.9,25,29.3,60.2,58,63.1,12.1,8.4,12.6,1.8,0.9,2,72.2,65.5,95.7,25.9,1.1,32.8,0.4,0.2,3.9,0.7,0.4,1.7,1.6,1.6,33.4
01,071,Jackson,Alabama,AL,22,"frontier status, population size, poverty, age",28,53650,62826,98960,50,13,202,14.5,13.1,15.9,23.7,22,26,61.7,59.8,67.5,13.1,7.9,13.5,1.5,1.1,2.1,92.6,72,96.8,3.8,0.5,26,1.6,0.2,2.8,0.3,0.3,3.3,1.6,0.6,5.4
01,073,Jefferson,Alabama,AL,3,"frontier status, population size, poverty",39,657229,550521,928032,591,432,8966,14.4,11.2,19.6,25.2,22.4,32,61.4,58.4,66.3,11.7,7.4,12.4,1.7,1,2.3,56.8,45.6,87.6,41.2,3.4,51.3,0.2,0.2,3.6,1.1,1.5,9,2.3,2.2,43.6
01,075,Lamar,Alabama,AL,63,"frontier status, population size, poverty, age, population density",32,14962,9378,21479,25,24,32,16.1,12.1,16.5,22.5,21.1,24.8,60.4,56.7,62.7,15.1,11.8,17.2,2.1,1.6,3.3,88.1,68,98.5,11.4,0.3,31.6,0.2,0.1,0.7,0.1,0.1,0.6,1.5,0.8,2.8
01,077,Lauderdale,Alabama,AL,21,"frontier status, population size, poverty, age",44,87691,53309,92614,131,40,201,15.6,9.8,13.5,22.9,20.6,24.8,61.2,57.7,62.9,14.3,12.6,17.5,1.7,1.7,3.2,88.9,82.8,97.9,9.7,0.4,14.9,0.3,0.1,1.3,0.4,0.3,1.1,1.2,0.8,8.5
01,079,Lawrence,Alabama,AL,32,"frontier status, population size, poverty, age",37,34605,29918,51327,50,25,310,14.4,12.7,17.8,24.6,20.8,25.4,62.7,60.9,67.2,11.5,8.1,13.9,1.2,1.2,2,79.5,71.9,98,12.1,0.9,24.1,5.4,0.1,5.4,0.1,0.3,2.1,1.4,0.6,6.7
01,081,Lee,Alabama,AL,22,"frontier status, population size, poverty, age",28,123254,62826,98960,202,13,202,15.1,13.1,15.9,25.1,22,26,66.5,59.8,67.5,7.6,7.9,13.5,0.9,1.1,2.1,74.1,72,96.8,23,0.5,26,0.2,0.2,2.8,1.8,0.3,3.3,1.6,0.6,5.4
01,083,Limestone,Alabama,AL,19,"frontier status, population size, poverty, age",37,70469,53919,98288,124,36,280,11.8,10.3,13.9,24.1,22.3,25.7,64.2,60.4,65.8,10.5,8.2,13.2,1.1,1.1,2.3,85.1,77.6,97.5,13.2,0.4,20.7,0.5,0.2,2.1,0.5,0.5,2.5,3.3,0.8,4.6
01,085,Lowndes,Alabama,AL,66,"frontier status, population size, poverty, age, population density",37,13076,6709,17773,18,8,19,23.3,17.4,29.4,29,24.5,34.1,58.2,53.7,62.2,11.3,8.6,13.2,1.5,1,2,27.9,24.9,97,71.7,0.5,71.7,0.1,0.1,53.4,0.1,0.1,0.8,0.8,0.8,83.5
01,087,Macon,Alabama,AL,44,"frontier status, population size, poverty, age",33,22810,10108,25122,37,28,80,25.8,15.7,24.5,27,20.2,25.2,58.6,61.8,66.8,12.4,10.2,12.9,2,1.2,1.8,15.7,50.2,99.2,82.8,0.2,49.2,0.1,0,0.4,0.9,0.1,0.8,1,0.7,3.9
01,089,Madison,Alabama,AL,4,"frontier status, population size, poverty",25,298192,280446,499060,370,250,993,10.9,10.1,13.3,25.5,21.4,28.5,62.5,57.9,63,10.9,8.1,15.3,1.1,0.9,2.8,71.7,71.3,95.8,23.5,1.7,25.9,0.8,0.2,1.5,2.1,0.7,4.6,2.2,1.7,33.3
01,091,Marengo,Alabama,AL,67,"frontier status, population size, poverty, age, population density",31,21879,8756,21398,22,20,28,20.1,17.4,27.9,27.8,23.6,30,57.9,57.9,62.5,12.5,9.2,13,1.8,1.3,2.1,47.1,37.4,80.1,52.2,18.4,61.5,0.1,0.1,1,0.3,0.2,0.9,1.8,0.8,10
01,093,Marion,Alabama,AL,49,"frontier status, population size, poverty, age, population density",35,30154,28892,46496,41,31,61,16.8,12.7,16.3,22.4,20.8,25.5,60.7,56.5,61.1,14.8,12.2,18.7,2.2,1.9,3.1,95,70.9,97.4,3.9,0.3,27.6,0.3,0.2,1.6,0.2,0.2,1,1.5,0.8,12.5
01,095,Marshall,Alabama,AL,22,"frontier status, population size, poverty, age",28,85634,62826,98960,151,13,202,15.2,13.1,15.9,25.7,22,26,60.4,59.8,67.5,12.5,7.9,13.5,1.4,1.1,2.1,96.6,72,96.8,1.6,0.5,26,0.5,0.2,2.8,0.4,0.3,3.3,8.5,0.6,5.4
01,097,Mobile,Alabama,AL,5,"frontier status, population size, poverty",25,401427,296772,505505,326,124,2519,18.5,12.8,21.5,27.6,22.7,31.2,60.3,56.7,63.5,10.8,8.5,15.5,1.3,1.2,2.7,62.2,49.7,92.5,34.5,1.9,46.6,0.7,0.2,1.5,1.6,0.9,3.8,1.3,2.3,54.7
01,099,Monroe,Alabama,AL,67,"frontier status, population size, poverty, age, population density",31,23733,8756,21398,23,20,28,17.7,17.4,27.9,27.4,23.6,30,58.4,57.9,62.5,12.3,9.2,13,1.9,1.3,2.1,57,37.4,80.1,41,18.4,61.5,1,0.1,1,0.3,0.2,0.9,0.8,0.8,10
01,101,Montgomery,Alabama,AL,7,"frontier status, population size, poverty",33,221619,125339,247571,281,37,604,18,16.3,20.8,27.3,26.3,31.7,60.9,57,61.4,10.3,7.7,13.1,1.5,1,1.9,45.1,43.7,93,52.5,2.4,52.5,0.2,0.2,5.3,1.2,0.6,3,1.4,1.4,54.6
01,103,Morgan,Alabama,AL,14,"frontier status, population size, poverty, age",40,113740,113041,246124,195,80,698,13.2,10.6,13.4,24.8,22.4,26.3,62,60,65.8,11.8,8.4,12.9,1.4,1.2,2.2,85.7,77,95.9,11.8,0.7,20.2,0.7,0.2,1.4,0.7,0.6,4.2,4.6,1.2,11.5
01,105,Perry,Alabama,AL,75,"frontier status, population size, poverty, age, population density",37,11371,6228,19495,16,15,22,28.6,17,24.9,31.6,22.3,28.6,54.2,55.2,63.8,12.3,11,15.1,1.9,1.8,2.6,30,30,97.1,69.6,1.1,69.6,0.1,0.1,1.6,0.1,0.1,0.5,0.9,0.7,37.8
01,107,Pickens,Alabama,AL,76,"frontier status, population size, poverty, age, population density",38,20178,9226,23786,23,24,42,19.3,16.7,23.3,26.3,24.8,29.5,57.6,56.1,60.6,14.1,11.1,14.3,2,1.6,2.6,57.2,48.3,91.8,42.4,4.4,50.9,0.1,0,2,0.1,0.2,0.7,0.8,0.9,12.1
01,109,Pike,Alabama,AL,35,"frontier status, population size, poverty, age",27,29639,27228,49644,44,32,87,20.3,14.6,20.3,25.4,21.8,26.5,62,57.6,62.1,11.4,12.6,16.6,1.2,1.6,2.6,60.2,62.3,98,36.8,0.5,36.6,0.6,0.2,17,1,0.3,0.7,1.6,0.8,16
01,111,Randolph,Alabama,AL,72,"frontier status, population size, poverty, age, population density",32,22717,6704,22717,39,28,40,15.7,15,21.5,25.1,20.7,24.8,58.5,57.5,63.1,14.4,12.7,17.4,2,1.4,2.5,76.8,74.8,98.9,22.1,0.4,22.9,0.3,0.1,4.3,0.4,0.1,0.6,1.3,0.7,4.1
01,113,Russell,Alabama,AL,8,"frontier status, population size, poverty",54,49326,54746,94031,77,47,164,18.6,16.5,22.1,26.3,22.2,30.9,60.1,57.5,64.2,12.2,8.5,14.1,1.4,1.1,2.1,56.1,41.6,96.6,42.1,1.1,51.9,0.3,0.2,3.2,0.6,0.4,2.1,2.1,0.7,20.8
01,115,St. Clair,Alabama,AL,22,"frontier status, population size, poverty, age",28,72330,62826,98960,114,13,202,13.1,13.1,15.9,24.2,22,26,63.7,59.8,67.5,11,7.9,13.5,1.1,1.1,2.1,90.3,72,96.8,8.2,0.5,26,0.4,0.2,2.8,0.3,0.3,3.3,1.3,0.6,5.4
01,117,Shelby,Alabama,AL,11,"frontier status, population size, poverty, age",44,171465,119015,235272,216,176,492,6.9,6.1,10.9,26.2,22.2,26,65.1,61.5,66.9,8,8.1,12,0.7,1.2,2.2,88.2,82.9,96,9.4,1,13.3,0.3,0.1,0.7,1.4,0.9,5.1,3.1,1,9.3
01,119,Sumter,Alabama,AL,66,"frontier status, population size, poverty, age, population density",37,13819,6709,17773,15,8,19,26.4,17.4,29.4,28.2,24.5,34.1,57.6,53.7,62.2,11.5,8.6,13.2,2.7,1,2,24.9,24.9,97,74.7,0.5,71.7,0.1,0.1,53.4,0.1,0.1,0.8,1.4,0.8,83.5
01,121,Talladega,Alabama,AL,8,"frontier status, population size, poverty",54,80457,54746,94031,109,47,164,16.8,16.5,22.1,24.9,22.2,30.9,61.7,57.5,64.2,12,8.5,14.1,1.4,1.1,2.1,67.5,41.6,96.6,31.4,1.1,51.9,0.2,0.2,3.2,0.4,0.4,2.1,1.1,0.7,20.8
01,123,Tallapoosa,Alabama,AL,49,"frontier status, population size, poverty, age, population density",35,40717,28892,46496,57,31,61,16,12.7,16.3,23.6,20.8,25.5,59.8,56.5,61.1,14.6,12.2,18.7,2,1.9,3.1,72.9,70.9,97.4,26.3,0.3,27.6,0.2,0.2,1.6,0.2,0.2,1,0.9,0.8,12.5
01,125,Tuscaloosa,Alabama,AL,6,"frontier status, population size, poverty",53,168908,111380,231954,128,43,697,16.5,12.4,16.5,25,22.4,29.6,63.9,57.8,62.9,9.9,8.5,16.2,1.2,1.1,2.7,67.7,65.8,95,30.1,1,30.1,0.2,0.3,1.9,1.1,0.7,3.4,1.6,1.9,21
01,127,Walker,Alabama,AL,24,"frontier status, population size, poverty, age",35,70117,57558,94198,88,40,257,14.8,12.3,16.6,23.6,21,26.2,61,57.9,61.9,13.7,12,16.6,1.6,1.6,3,92.5,83.7,97,6.4,0.8,13.7,0.3,0.2,2.3,0.2,0.3,1.5,1.2,0.7,15
01,129,Washington,Alabama,AL,66,"frontier status, population size, poverty, age, population density",37,17773,6709,17773,16,8,19,16.9,17.4,29.4,27.2,24.5,34.1,59.4,53.7,62.2,12,8.6,13.2,1.3,1,2,66,24.9,97,26.4,0.5,71.7,6.7,0.1,53.4,0.1,0.1,0.8,0.9,0.8,83.5
01,131,Wilcox,Alabama,AL,75,"frontier status, population size, poverty, age, population density",37,12937,6228,19495,15,15,22,27.9,17,24.9,30.6,22.3,28.6,56.4,55.2,63.8,11,11,15.1,2,1.8,2.6,27.1,30,97.1,72.6,1.1,69.6,0.1,0.1,1.6,0.1,0.1,0.5,0.8,0.7,37.8
01,133,Winston,Alabama,AL,41,"frontier status, population size, poverty, age",47,24498,6602,24509,40,20,1362,16.9,12.5,17.5,22.8,21.8,25.9,62.2,56.1,64.1,13.7,10,16,1.4,1.2,3.3,98.3,59,98.4,0.6,0.6,40.2,0.4,0.1,0.5,0.1,0.1,1.8,1.9,0.7,6.5
02,013,Aleutians East,Alaska,AK,80,"frontier status, population size, poverty, age",41,2713,1303,12284,0,0,5,11.7,9.7,13.7,13.4,20.1,31.6,83.2,55.4,67.3,3,7.8,16.4,0.4,0.8,2.2,33.4,77.4,99.4,1.9,0.1,2.8,29.6,0.5,16.3,33.5,0,1.1,14.8,1.7,27.8
02,016,Aleutians West,Alaska,AK,78,"frontier status, population size, poverty, age",43,5382,765,16949,1,0,7,7.3,7.2,11.2,14,19.4,30.4,83.3,57,70.2,2.6,5.6,14.1,0.1,0.4,2.3,48.7,68.4,98.7,3.8,0,1.6,18.7,0.4,16.2,26.8,0,3.2,12,1.1,22.6
02,020,Anchorage,Alaska,AK,9,"frontier status, population size, poverty, age",24,275043,274950,490593,162,197,1227,8.7,4.7,9.6,29.9,24,28,63.7,61.9,66.5,5.8,7.5,11,0.6,1.1,2.1,72,70.1,94,6.2,1.1,20.6,8.5,0.2,1.4,7.7,1.6,7.8,6.4,2.1,17.4
02,050,Bethel,Alaska,AK,86,"frontier status, population size, poverty, age",38,17127,2100,16304,0,1,5,20.9,16.2,29,41.2,23.9,38.3,53.8,53,63.1,4.6,6.1,13.2,0.4,0.7,2.1,13.4,17.4,97.3,0.6,0.1,3.5,82,0.6,82,1.3,0,1.1,1.1,1.1,73.1
02,060,Bristol Bay,Alaska,AK,78,"frontier status, population size, poverty, age",43,1112,765,16949,2,0,7,8.1,7.2,11.2,26.5,19.4,30.4,67.6,57,70.2,5.6,5.6,14.1,0.4,0.4,2.3,57.6,68.4,98.7,0.6,0,1.6,41.4,0.4,16.2,0.3,0,3.2,1,1.1,22.6
02,068,Denali,Alaska,AK,78,"frontier status, population size, poverty, age",43,1881,765,16949,0,0,7,6.6,7.2,11.2,22.4,19.4,30.4,73,57,70.2,4.4,5.6,14.1,0.3,0.4,2.3,89.6,68.4,98.7,1.3,0,1.6,4.7,0.4,16.2,2.3,0,3.2,2.8,1.1,22.6
02,070,Dillingham,Alaska,AK,83,"frontier status, population size, poverty, age",29,4926,577,9328,0,0,6,18.1,10.4,18.1,36.8,18.8,36.8,56.6,55.8,65.2,6.1,6.1,15.3,0.5,0.5,2.7,23.5,23.4,98.6,0.5,0,2.4,71.3,0.5,71.5,0.5,0.1,1.1,2.5,1.1,49.5
02,090,Fairbanks North Star,Alaska,AK,17,"frontier status, population size, poverty, age",32,87560,61758,99844,12,49,486,7.8,5.7,10.3,31.2,22.4,26.5,63.3,61.5,64.9,4.9,8.6,12.3,0.5,1.2,2.1,79.1,87.3,97.5,5.3,0.5,9.7,7.8,0.2,0.9,2.6,0.6,4.4,5.2,1,8.1
02,100,Haines,Alaska,AK,80,"frontier status, population size, poverty, age",41,2272,1303,12284,1,0,5,11.4,9.7,13.7,21.3,20.1,31.6,67,55.4,67.3,10.3,7.8,16.4,1.5,0.8,2.2,87.5,77.4,99.4,0.3,0.1,2.8,9.6,0.5,16.3,0.7,0,1.1,1.4,1.7,27.8
02,110,Juneau,Alaska,AK,47,"frontier status, population size, poverty, age, population density",34,30987,28085,47530,11,17,83,7.3,6,9.1,26.7,24.3,27.8,66.2,58.3,66.7,6.3,6.3,12.1,0.8,0.8,2.3,75.3,95.3,98.8,1.1,0.3,1.6,12.2,0.1,1.4,5.6,0.2,1.2,3.6,0.9,12.2
02,122,Kenai Peninsula,Alaska,AK,77,"frontier status, population size",15,51960,26995,76006,3,3,7,9.9,8.6,21.7,27.4,22.2,33.6,63.6,56.9,64.2,8.3,6.2,13.5,0.6,0.6,2.3,87.5,55.7,95.5,0.6,0.2,1.6,7.7,1,41.5,1.3,0.3,1.5,2.7,2.8,71.5
02,130,Ketchikan Gateway,Alaska,AK,37,"frontier status, population size, poverty, age",30,13262,5403,24822,11,10,2019,8.1,4.8,9.8,27.5,18.4,24.5,63.8,61.8,73.3,7.7,6.5,14.2,1,0.4,2.2,74.1,75.3,97.7,1,0.4,16.1,15.8,0,1,5.3,0.2,6.4,2.9,0.7,13.1
