State_FIPS_Code,County_FIPS_Code,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Strata_ID_Number,ALE,Min_ALE,Max_ALE,US_ALE,All_Death,Min_All_Death,Max_All_Death,US_All_Death,CI_Min_All_Death,CI_Max_All_Death,Health_Status,Min_Health_Status,Max_Health_Status,US_Health_Status,CI_Min_Health_Status,CI_Max_Health_Status,Unhealthy_Days,Min_Unhealthy_Days,Max_Unhealthy_Days,US_Unhealthy_Days,CI_Min_Unhealthy_Days,CI_Max_Unhealthy_Days
01,043,Cullman,Alabama,AL,21,75.3,75.3,78.9,76.5,1028.7,755.9,958.4,898.6,998.2,1059.2,23.8,13,23.4,17.1,18.7,28.9,8.2,5.3,7.4,6,6.6,9.8
01,045,Dale,Alabama,AL,33,75.5,74,77.3,76.5,987.4,836.7,1050.9,898.6,946.5,1028.4,23.9,13.4,24.7,17.1,17,30.8,5.8,5.2,7.3,6,4.2,7.4
01,047,Dallas,Alabama,AL,52,72.1,71.6,75.4,76.5,1136,950,1196,898.6,1093.4,1178.5,25.1,19.7,31.8,17.1,18.8,31.5,7,5.8,9.5,6,5.2,8.8
01,049,DeKalb,Alabama,AL,24,75.1,74.5,77.1,76.5,960.6,865.2,1013.5,898.6,927.8,993.3,22,14.7,24.5,17.1,17,27.1,7.2,5.7,8.2,6,5.8,8.7
01,051,Elmore,Alabama,AL,19,75.2,74.9,79.3,76.5,946.9,742.3,1003.6,898.6,911.8,982.1,15.1,9.6,24.2,17.1,10.9,19.3,5.8,4.9,7.5,6,4.5,7
01,053,Escambia,Alabama,AL,51,73.2,72.3,77.3,76.5,1042.6,780.2,1108.1,898.6,998.5,1086.8,31.2,18.3,31.7,17.1,23.7,38.8,7.5,5.5,8,6,5.3,9.7
01,055,Etowah,Alabama,AL,6,73.5,73.5,77.3,76.5,1091.5,829.9,1032.7,898.6,1057.5,1125.4,24.1,12.7,21.7,17.1,20.3,28,8,5.2,7.6,6,6.8,9.1
01,057,Fayette,Alabama,AL,63,73.9,74.5,77,76.5,979.6,872.1,1044.9,898.6,938.5,1020.7,32.7,13,31.9,17.1,23.4,42,10,5,9.1,6,7.2,12.8
01,059,Franklin,Alabama,AL,49,73.6,73.9,77.6,76.5,1091.7,802.3,1046.3,898.6,1042.5,1141,25,14.1,27.1,17.1,15.9,34.1,-1111.1,5.4,8.4,6,-1111.1,-1111.1
01,061,Geneva,Alabama,AL,64,74.7,74,76.9,76.5,984.9,869,1083.5,898.6,949.9,1020,25.6,12.2,30.3,17.1,17.2,34,6.3,5.2,9.5,6,4.1,8.5
01,063,Greene,Alabama,AL,75,72.7,72.1,76.4,76.5,1050.9,908.9,1153.6,898.6,990.3,1111.6,-1111.1,18.5,33,17.1,-1111.1,-1111.1,-1111.1,4.2,9.4,6,-1111.1,-1111.1
01,065,Hale,Alabama,AL,76,72.7,72.2,75.5,76.5,1073,992.4,1133,898.6,1025.2,1120.8,-1111.1,17.4,31.8,17.1,-1111.1,-1111.1,6.9,5.3,8.8,6,4.1,9.7
01,067,Henry,Alabama,AL,63,74.5,74.5,77,76.5,961.4,872.1,1044.9,898.6,917.7,1005,-1111.1,13,31.9,17.1,-1111.1,-1111.1,5.5,5,9.1,6,2.8,8.3
01,069,Houston,Alabama,AL,23,75.7,73.7,77.3,76.5,905,855.1,1103.9,898.6,878.1,932,21.9,13.7,24,17.1,17.3,26.5,6.9,4.8,7.7,6,5.6,8.2
01,071,Jackson,Alabama,AL,22,74.5,73.9,77.9,76.5,1027.6,854.3,1059.4,898.6,989.7,1065.5,22.6,9,22.6,17.1,16.9,28.3,7.4,5,8,6,5.5,9.3
01,073,Jefferson,Alabama,AL,3,73.6,73.6,78.2,76.5,1034.5,787.3,1024.9,898.6,1020.8,1048.2,17.7,11.7,19.5,17.1,16.2,19.3,6.3,5.2,6.6,6,5.8,6.8
01,075,Lamar,Alabama,AL,63,73.9,74.5,77,76.5,1044.9,872.1,1044.9,898.6,998.5,1091.3,-1111.1,13,31.9,17.1,-1111.1,-1111.1,-1111.1,5,9.1,6,-1111.1,-1111.1
01,077,Lauderdale,Alabama,AL,21,76.4,75.3,78.9,76.5,910.9,755.9,958.4,898.6,884.3,937.5,23.4,13,23.4,17.1,18.7,28.2,7.4,5.3,7.4,6,5.9,8.8
01,079,Lawrence,Alabama,AL,32,74.3,73.4,77.9,76.5,1054.1,824,1076.8,898.6,1004.2,1104,28.8,9.1,27.7,17.1,20.1,37.6,7.5,5.5,8.6,6,4.9,10.1
01,081,Lee,Alabama,AL,22,75.3,73.9,77.9,76.5,983.4,854.3,1059.4,898.6,951.8,1015,16.6,9,22.6,17.1,12.7,20.6,6.1,5,8,6,5.1,7.1
01,083,Limestone,Alabama,AL,19,75.5,74.9,79.3,76.5,964.4,742.3,1003.6,898.6,928.5,1000.4,18,9.6,24.2,17.1,12.9,23.1,7.7,4.9,7.5,6,5.9,9.4
01,085,Lowndes,Alabama,AL,66,71.7,71.9,77,76.5,1075.8,868.3,1244.2,898.6,1018.4,1133.1,-1111.1,14,33.7,17.1,-1111.1,-1111.1,7.7,4,8.5,6,4.6,10.7
01,087,Macon,Alabama,AL,44,71.9,73.4,75.4,76.5,1091.8,916.4,1138.6,898.6,1050.8,1132.8,22.8,14.9,32.2,17.1,14.2,31.4,5.5,5.4,10,6,3.2,7.8
01,089,Madison,Alabama,AL,4,76.1,75.7,78.9,76.5,905.8,748.9,941.9,898.6,883.6,928,13.7,12.3,18.3,17.1,11.5,15.9,6.3,5.5,6.5,6,5.4,7.1
01,091,Marengo,Alabama,AL,67,74,72.8,74.7,76.5,1034.4,957.4,1142.2,898.6,994.4,1074.4,-1111.1,15.5,32.2,17.1,-1111.1,-1111.1,9.3,4.5,9,6,6.3,12.3
01,093,Marion,Alabama,AL,49,73.9,73.9,77.6,76.5,999.8,802.3,1046.3,898.6,954.3,1045.3,27.7,14.1,27.1,17.1,19.6,35.9,6.4,5.4,8.4,6,4.4,8.5
01,095,Marshall,Alabama,AL,22,73.9,73.9,77.9,76.5,1066.2,854.3,1059.4,898.6,1035.5,1096.9,22.5,9,22.6,17.1,17.9,27.1,8.2,5,8,6,6.9,9.6
01,097,Mobile,Alabama,AL,5,73.5,73.5,77.8,76.5,1030.7,792,1030.7,898.6,1012,1049.3,19.2,13.2,21.1,17.1,17,21.4,7,5.3,7,6,6.2,7.7
01,099,Monroe,Alabama,AL,67,74.7,72.8,74.7,76.5,957.4,957.4,1142.2,898.6,919.6,995.2,11.7,15.5,32.2,17.1,5.7,17.8,6.5,4.5,9,6,4.5,8.5
01,101,Montgomery,Alabama,AL,7,74.6,72.7,78.5,76.5,974,782.1,1107.4,898.6,949.8,998.3,16.3,15.5,25.1,17.1,13.6,19.1,6,5.4,7.4,6,5.2,6.8
01,103,Morgan,Alabama,AL,14,75.2,75.1,79,76.5,968.7,752.4,977.6,898.6,934.7,1002.6,18.3,11.6,20.6,17.1,14.3,22.4,6.9,5.3,7.3,6,5.6,8.2
01,105,Perry,Alabama,AL,75,73.2,72.1,76.4,76.5,1173.9,908.9,1153.6,898.6,1115.1,1232.6,-1111.1,18.5,33,17.1,-1111.1,-1111.1,-1111.1,4.2,9.4,6,-1111.1,-1111.1
01,107,Pickens,Alabama,AL,76,73.5,72.2,75.5,76.5,1040.1,992.4,1133,898.6,999.4,1080.8,20.7,17.4,31.8,17.1,12.2,29.1,6.6,5.3,8.8,6,3.9,9.2
01,109,Pike,Alabama,AL,35,73.7,73.5,75.7,76.5,1112.5,930.6,1096.3,898.6,1057.9,1167.2,22,20.5,30.1,17.1,14.3,29.8,6.7,5.2,8.7,6,4.5,8.8
01,111,Randolph,Alabama,AL,72,74.9,73.6,75.2,76.5,1000.4,953.7,1095.1,898.6,961.8,1039.1,17.3,18.2,34.9,17.1,10.7,23.9,8.4,6.1,9.6,6,5.7,11.1
01,113,Russell,Alabama,AL,8,72.1,72.2,75.6,76.5,1144.3,911.7,1136.1,898.6,1102,1186.6,25.4,16.5,29.4,17.1,18.5,32.3,7.5,5.5,8.7,6,5.5,9.6
01,115,St. Clair,Alabama,AL,22,74.9,73.9,77.9,76.5,1059.4,854.3,1059.4,898.6,1021.5,1097.2,25.2,9,22.6,17.1,19.8,30.5,8,5,8,6,6.4,9.6
01,117,Shelby,Alabama,AL,11,76.8,76.2,79.5,76.5,923.4,691.3,923.4,898.6,888.1,958.8,9.9,8.2,15.9,17.1,7.6,12.2,6.1,4.5,6.3,6,5,7.2
01,119,Sumter,Alabama,AL,66,73.5,71.9,77,76.5,1022.8,868.3,1244.2,898.6,972.7,1072.9,19.8,14,33.7,17.1,10,29.7,6.6,4,8.5,6,3.7,9.4
01,121,Talladega,Alabama,AL,8,73.3,72.2,75.6,76.5,1090.6,911.7,1136.1,898.6,1058.4,1122.7,24.6,16.5,29.4,17.1,19.7,29.5,8.4,5.5,8.7,6,6.9,9.8
01,123,Tallapoosa,Alabama,AL,49,73.9,73.9,77.6,76.5,1046.3,802.3,1046.3,898.6,1006.6,1086,21.5,14.1,27.1,17.1,15.2,27.7,7.4,5.4,8.4,6,5.6,9.3
01,125,Tuscaloosa,Alabama,AL,6,75,73.5,77.3,76.5,1026.2,829.9,1032.7,898.6,996.2,1056.2,17.9,12.7,21.7,17.1,14.9,21,6.9,5.2,7.6,6,5.9,7.9
01,127,Walker,Alabama,AL,24,72.2,74.5,77.1,76.5,1191.7,865.2,1013.5,898.6,1157.4,1225.9,27.3,14.7,24.5,17.1,22.1,32.4,9.5,5.7,8.2,6,7.8,11.1
01,129,Washington,Alabama,AL,66,74.6,71.9,77,76.5,993.7,868.3,1244.2,898.6,946.1,1041.3,-1111.1,14,33.7,17.1,-1111.1,-1111.1,-1111.1,4,8.5,6,-1111.1,-1111.1
01,131,Wilcox,Alabama,AL,75,71.7,72.1,76.4,76.5,1131.2,908.9,1153.6,898.6,1075.4,1187.1,-1111.1,18.5,33,17.1,-1111.1,-1111.1,-1111.1,4.2,9.4,6,-1111.1,-1111.1
01,133,Winston,Alabama,AL,41,73.5,73.3,76.8,76.5,1072.3,909.2,1133.1,898.6,1032.2,1112.4,25.5,12.9,25.5,17.1,16.8,34.1,9.5,4.5,8.5,6,6.6,12.4
02,013,Aleutians East,Alaska,AK,80,76.9,75.8,80.8,76.5,620,611.2,988.8,898.6,409,901.2,-1111.1,6.4,23.1,17.1,-1111.1,-1111.1,-1111.1,3.4,7.4,6,-1111.1,-1111.1
02,016,Aleutians West,Alaska,AK,78,76.9,75.7,80.8,76.5,1041.3,565.5,1036.9,898.6,756.9,1397.3,-1111.1,4,21.2,17.1,-1111.1,-1111.1,-1111.1,3.2,7.5,6,-1111.1,-1111.1
02,020,Anchorage,Alaska,AK,9,76.9,76.5,79.3,76.5,793.2,750.5,874.8,898.6,764.5,822,-1111.1,8.2,14.4,17.1,-1111.1,-1111.1,-1111.1,4.8,6.4,6,-1111.1,-1111.1
02,050,Bethel,Alaska,AK,86,76.9,66.6,77.8,76.5,1001.7,804.8,1128.9,898.6,922.8,1080.6,-1111.1,11.1,36,17.1,-1111.1,-1111.1,-1111.1,3.9,9.9,6,-1111.1,-1111.1
02,060,Bristol Bay,Alaska,AK,78,76.9,75.7,80.8,76.5,991.4,565.5,1036.9,898.6,647.9,1452,-1111.1,4,21.2,17.1,-1111.1,-1111.1,-1111.1,3.2,7.5,6,-1111.1,-1111.1
02,068,Denali,Alaska,AK,78,76.9,75.7,80.8,76.5,-1111.1,565.5,1036.9,898.6,-1111.1,-1111.1,-1111.1,4,21.2,17.1,-1111.1,-1111.1,-1111.1,3.2,7.5,6,-1111.1,-1111.1
02,070,Dillingham,Alaska,AK,83,76.9,75.3,78.2,76.5,964.5,714.9,1192.1,898.6,830.3,1098.7,-1111.1,6,36.6,17.1,-1111.1,-1111.1,-1111.1,4.6,9.3,6,-1111.1,-1111.1
02,090,Fairbanks North Star,Alaska,AK,17,76.9,76.2,79.9,76.5,827.9,705,942.7,898.6,782.6,873.1,-1111.1,6.9,16.6,17.1,-1111.1,-1111.1,-1111.1,4.5,6.8,6,-1111.1,-1111.1
02,100,Haines,Alaska,AK,80,76.9,75.8,80.8,76.5,775.1,611.2,988.8,898.6,642.9,907.4,-1111.1,6.4,23.1,17.1,-1111.1,-1111.1,-1111.1,3.4,7.4,6,-1111.1,-1111.1
02,110,Juneau,Alaska,AK,47,76.9,76.4,79.8,76.5,742.2,737.3,933.7,898.6,682.2,802.2,-1111.1,8.4,18.8,17.1,-1111.1,-1111.1,-1111.1,4.5,7.5,6,-1111.1,-1111.1
02,122,Kenai Peninsula,Alaska,AK,77,76.9,73.9,78.1,76.5,873.3,763.9,1002,898.6,822.3,924.2,-1111.1,11.7,21.4,17.1,-1111.1,-1111.1,-1111.1,5.3,8,6,-1111.1,-1111.1
02,130,Ketchikan Gateway,Alaska,AK,37,76.9,75.8,81.1,76.5,941,583.7,982.2,898.6,876.6,1005.4,-1111.1,2.2,17.1,17.1,-1111.1,-1111.1,-1111.1,2.7,8.2,6,-1111.1,-1111.1
02,150,Kodiak Island,Alaska,AK,78,76.9,75.7,80.8,76.5,753.5,565.5,1036.9,898.6,674.9,832.2,-1111.1,4,21.2,17.1,-1111.1,-1111.1,-1111.1,3.2,7.5,6,-1111.1,-1111.1
02,164,Lake and Peninsula,Alaska,AK,83,76.9,75.3,78.2,76.5,1318.4,714.9,1192.1,898.6,1065.6,1571.1,-1111.1,6,36.6,17.1,-1111.1,-1111.1,-1111.1,4.6,9.3,6,-1111.1,-1111.1
02,170,Matanuska-Susitna,Alaska,AK,77,76.9,73.9,78.1,76.5,866.8,763.9,1002,898.6,816.1,917.5,-1111.1,11.7,21.4,17.1,-1111.1,-1111.1,-1111.1,5.3,8,6,-1111.1,-1111.1
02,180,Nome,Alaska,AK,83,76.9,75.3,78.2,76.5,1089,714.9,1192.1,898.6,993.9,1184.1,-1111.1,6,36.6,17.1,-1111.1,-1111.1,-1111.1,4.6,9.3,6,-1111.1,-1111.1
02,185,North Slope,Alaska,AK,80,76.9,75.8,80.8,76.5,1008.7,611.2,988.8,898.6,873.8,1143.6,-1111.1,6.4,23.1,17.1,-1111.1,-1111.1,-1111.1,3.4,7.4,6,-1111.1,-1111.1
02,188,Northwest Arctic,Alaska,AK,83,76.9,75.3,78.2,76.5,1119.9,714.9,1192.1,898.6,990.8,1249,-1111.1,6,36.6,17.1,-1111.1,-1111.1,-1111.1,4.6,9.3,6,-1111.1,-1111.1
02,201,Prince of Wales-Outer Ketchikan,Alaska,AK,80,76.9,75.8,80.8,76.5,829.8,611.2,988.8,898.6,696.9,962.8,-1111.1,6.4,23.1,17.1,-1111.1,-1111.1,-1111.1,3.4,7.4,6,-1111.1,-1111.1
02,220,Sitka,Alaska,AK,78,76.9,75.7,80.8,76.5,828,565.5,1036.9,898.6,751.1,905,-1111.1,4,21.2,17.1,-1111.1,-1111.1,-1111.1,3.2,7.5,6,-1111.1,-1111.1
02,232,Skagway-Hoonah-Angoon,Alaska,AK,80,-2222.2,-2222.2,-2222.2,-2222.2,674.7,611.2,988.8,898.6,560,789.4,-1111.1,6.4,23.1,17.1,-1111.1,-1111.1,-1111.1,3.4,7.4,6,-1111.1,-1111.1
02,240,Southeast Fairbanks,Alaska,AK,80,76.9,75.8,80.8,76.5,951.3,611.2,988.8,898.6,831,1071.6,-1111.1,6.4,23.1,17.1,-1111.1,-1111.1,-1111.1,3.4,7.4,6,-1111.1,-1111.1
02,261,Valdez-Cordova,Alaska,AK,78,76.9,75.7,80.8,76.5,826.4,565.5,1036.9,898.6,741.7,911.1,-1111.1,4,21.2,17.1,-1111.1,-1111.1,-1111.1,3.2,7.5,6,-1111.1,-1111.1
02,270,Wade Hampton,Alaska,AK,88,76.9,74.8,78.4,76.5,1078.3,759.5,1056.9,898.6,945,1211.6,-1111.1,11.5,32.4,17.1,-1111.1,-1111.1,-1111.1,3.8,10.3,6,-1111.1,-1111.1
02,280,Wrangell-Petersburg,Alaska,AK,78,76.9,75.7,80.8,76.5,865.4,565.5,1036.9,898.6,783.7,947.1,-1111.1,4,21.2,17.1,-1111.1,-1111.1,-1111.1,3.2,7.5,6,-1111.1,-1111.1
02,282,Yakutat,Alaska,AK,78,-2222.2,-2222.2,-2222.2,-2222.2,1261.3,565.5,1036.9,898.6,764.9,1958.7,-1111.1,4,21.2,17.1,-1111.1,-1111.1,-1111.1,3.2,7.5,6,-1111.1,-1111.1
02,290,Yukon-Koyukuk,Alaska,AK,83,76.9,75.3,78.2,76.5,1192.1,714.9,1192.1,898.6,1084.6,1299.7,-1111.1,6,36.6,17.1,-1111.1,-1111.1,-1111.1,4.6,9.3,6,-1111.1,-1111.1
04,001,Apache,Arizona,AZ,77,73.9,73.9,78.1,76.5,943.8,763.9,1002,898.6,904.8,982.9,15.4,11.7,21.4,17.1,11.7,19.2,5.3,5.3,8,6,4.2,6.4
04,003,Cochise,Arizona,AZ,7,76.8,72.7,78.5,76.5,844,782.1,1107.4,898.6,814.9,873.1,16.9,15.5,25.1,17.1,14.6,19.2,6.9,5.4,7.4,6,6.1,7.6
04,005,Coconino,Arizona,AZ,77,78.5,73.9,78.1,76.5,764.8,763.9,1002,898.6,734.7,795,10.8,11.7,21.4,17.1,8.3,13.2,5.5,5.3,8,6,4.8,6.1
04,007,Gila,Arizona,AZ,36,75.2,71.6,75.4,76.5,922.9,922.9,1158.2,898.6,889.5,956.2,19,19.2,27.7,17.1,14.7,23.2,8.2,5.6,8.2,6,6.7,9.6
04,009,Graham,Arizona,AZ,51,76.8,72.3,77.3,76.5,868.2,780.2,1108.1,898.6,821.2,915.1,15.7,18.3,31.7,17.1,11.1,20.4,6.5,5.5,8,6,5.1,7.9
04,011,Greenlee,Arizona,AZ,78,76.8,75.7,80.8,76.5,909.9,565.5,1036.9,898.6,835.4,984.4,-1111.1,4,21.2,17.1,-1111.1,-1111.1,6.1,3.2,7.5,6,3.2,9
04,012,La Paz,Arizona,AZ,88,80.9,74.8,78.4,76.5,766.8,759.5,1056.9,898.6,729.7,804,22.2,11.5,32.4,17.1,14.4,30,6.1,3.8,10.3,6,4.2,8
04,013,Maricopa,Arizona,AZ,1,77.8,75.6,79.2,76.5,780.8,694.4,924.7,898.6,775,786.6,14.4,11.9,20.2,17.1,13.2,15.6,5.6,5.3,6.9,6,5.2,6
04,015,Mohave,Arizona,AZ,6,74.8,73.5,77.3,76.5,970.8,829.9,1032.7,898.6,946.2,995.4,21.7,12.7,21.7,17.1,19.2,24.2,7,5.2,7.6,6,6.2,7.7
04,017,Navajo,Arizona,AZ,8,74.8,72.2,75.6,76.5,911.7,911.7,1136.1,898.6,880.9,942.5,16.5,16.5,29.4,17.1,14,18.9,6,5.5,8.7,6,5.3,6.8
04,019,Pima,Arizona,AZ,3,77.3,73.6,78.2,76.5,809,787.3,1024.9,898.6,798.6,819.5,13.7,11.7,19.5,17.1,12.4,15,6,5.2,6.6,6,5.6,6.4
04,021,Pinal,Arizona,AZ,7,76.9,72.7,78.5,76.5,795.2,782.1,1107.4,898.6,772.5,817.9,19,15.5,25.1,17.1,16.1,21.8,6.3,5.4,7.4,6,5.6,6.9
04,023,Santa Cruz,Arizona,AZ,51,80,72.3,77.3,76.5,662.7,780.2,1108.1,898.6,622.1,703.2,18.3,18.3,31.7,17.1,13.9,22.7,4.3,5.5,8,6,3.4,5.3
04,025,Yavapai,Arizona,AZ,16,77.8,75.5,78.2,76.5,778.8,729.2,931.7,898.6,758.7,799,17.4,11.9,20.4,17.1,15.1,19.8,6.6,5.6,7.4,6,5.8,7.3
04,027,Yuma,Arizona,AZ,7,80.9,72.7,78.5,76.5,608.9,782.1,1107.4,898.6,587.6,630.1,19.1,15.5,25.1,17.1,16.6,21.6,5.6,5.4,7.4,6,4.9,6.4
05,001,Arkansas,Arkansas,AR,75,73.4,72.1,76.4,76.5,1080.5,908.9,1153.6,898.6,1039.9,1121.1,24.9,18.5,33,17.1,18.8,31,7.8,4.2,9.4,6,6.1,9.6
05,003,Ashley,Arkansas,AR,68,72.6,72.5,74.7,76.5,1076.7,1014.6,1216.2,898.6,1036.8,1116.7,18.5,18.5,33,17.1,13.7,23.3,8.2,5,9.3,6,6.3,10.2
05,005,Baxter,Arkansas,AR,50,77,73.4,76.9,76.5,897.6,879.5,1101.8,898.6,864,931.2,17.8,17.5,29.5,17.1,14,21.7,6.5,5.5,8.7,6,5.3,7.7
05,007,Benton,Arkansas,AR,13,78,75.9,79.5,76.5,776.9,680,900,898.6,752.5,801.4,14.5,11.3,16.7,17.1,12.5,16.5,5.7,5.2,6.6,6,5.1,6.4
05,009,Boone,Arkansas,AR,49,76.9,73.9,77.6,76.5,896.3,802.3,1046.3,898.6,856.1,936.6,17.6,14.1,27.1,17.1,13.8,21.5,5.8,5.4,8.4,6,4.7,6.9
05,011,Bradley,Arkansas,AR,70,73.3,73.3,77,76.5,1080.4,914.4,1058.1,898.6,1029.1,1131.7,18.9,17.6,32.4,17.1,11.5,26.2,7.1,5,9,6,5.1,9.2
05,013,Calhoun,Arkansas,AR,43,73.3,74.8,77.6,76.5,1021.1,823.7,1017.6,898.6,945.2,1097.1,17.9,14.8,31.2,17.1,7.9,27.9,6.2,4.8,8.4,6,3.2,9.2
05,015,Carroll,Arkansas,AR,64,76.9,74,76.9,76.5,824.8,869,1083.5,898.6,791.6,858.1,19.8,12.2,30.3,17.1,14,25.6,6.4,5.2,9.5,6,4.7,8.1
05,017,Chicot,Arkansas,AR,67,73.9,72.8,74.7,76.5,1134.1,957.4,1142.2,898.6,1082.3,1185.9,30.9,15.5,32.2,17.1,21.8,40,6.1,4.5,9,6,3.8,8.5
05,019,Clark,Arkansas,AR,71,75.5,73.1,76.2,76.5,975.4,937.7,1087.4,898.6,937.2,1013.6,18.4,18.4,35.9,17.1,13.1,23.6,6.9,4.7,9,6,5.1,8.7
05,021,Clay,Arkansas,AR,63,75,74.5,77,76.5,1032,872.1,1044.9,898.6,991.4,1072.7,31.9,13,31.9,17.1,24.8,39,7.8,5,9.1,6,5.8,9.8
05,023,Cleburne,Arkansas,AR,64,76.4,74,76.9,76.5,869,869,1083.5,898.6,836.4,901.7,21.2,12.2,30.3,17.1,15.9,26.4,7.8,5.2,9.5,6,6,9.5
05,025,Cleveland,Arkansas,AR,41,73.3,73.3,76.8,76.5,977.5,909.2,1133.1,898.6,912.8,1042.2,26.2,12.9,25.5,17.1,17.1,35.3,7.9,4.5,8.5,6,5.2,10.6
05,027,Columbia,Arkansas,AR,35,74.3,73.5,75.7,76.5,1013.9,930.6,1096.3,898.6,963.1,1064.6,21.9,20.5,30.1,17.1,16.5,27.3,7,5.2,8.7,6,5.3,8.6
