State_FIPS_Code,County_FIPS_Code,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Strata_ID_Number,RHI_LBW_Ind,RHI_VLBW_Ind,RHI_Premature_Ind,RHI_Under_18_Ind,RHI_Over_40_Ind,RHI_Unmarried_Ind,RHI_Late_Care_Ind,RHI_Infant_Mortality_Ind,RHI_IM_Wh_Non_Hisp_Ind,RHI_IM_Bl_Non_Hisp_Ind,RHI_IM_Hisp_Ind,RHI_IM_Neonatal_Ind,RHI_IM_Postneonatal_Ind,RHI_Brst_Cancer_Ind,RHI_Col_Cancer_Ind,RHI_CHD_Ind,RHI_Homicide_Ind,RHI_Lung_Cancer_Ind,RHI_MVA_Ind,RHI_Stroke_Ind,RHI_Suicide_Ind,RHI_Injury_Ind
01,069,Houston,Alabama,AL,23,8,8,8,8,5,8,8,8,8,5,-1,8,8,8,5,5,5,6,6,6,5,5
01,071,Jackson,Alabama,AL,22,8,8,8,8,5,5,5,5,6,-1,-1,5,5,8,6,8,7,8,8,6,8,7
01,073,Jefferson,Alabama,AL,3,8,8,8,8,5,6,6,8,8,8,8,8,8,6,8,5,8,8,8,8,8,7
01,075,Lamar,Alabama,AL,63,8,8,8,6,5,5,5,8,8,8,-1,8,8,5,6,5,-1,8,8,8,8,7
01,077,Lauderdale,Alabama,AL,21,8,7,8,8,5,5,5,5,5,7,-1,5,8,8,5,5,7,8,8,8,8,5
01,079,Lawrence,Alabama,AL,32,6,8,6,8,5,5,5,5,5,-1,-1,5,6,5,5,8,8,6,8,8,6,7
01,081,Lee,Alabama,AL,22,5,8,5,8,7,5,5,8,5,8,-1,8,8,8,5,5,8,6,8,8,5,5
01,083,Limestone,Alabama,AL,19,8,8,8,8,5,5,7,8,8,-1,-1,5,8,5,5,5,7,5,8,6,8,5
01,085,Lowndes,Alabama,AL,66,8,8,8,8,5,8,6,8,-1,8,-1,8,8,5,5,5,8,5,8,6,5,5
01,087,Macon,Alabama,AL,44,8,8,8,8,7,8,8,8,-1,8,-1,8,8,8,8,8,8,6,6,8,6,7
01,089,Madison,Alabama,AL,4,8,8,8,8,7,5,5,8,8,8,-1,8,8,8,5,5,7,8,8,8,5,5
01,091,Marengo,Alabama,AL,67,8,6,8,6,7,8,6,8,6,8,-1,8,8,8,5,6,8,8,8,8,5,7
01,093,Marion,Alabama,AL,49,8,8,8,6,5,5,5,8,8,-1,-1,5,8,5,5,8,-1,8,8,6,6,8
01,095,Marshall,Alabama,AL,22,8,5,8,8,5,5,8,6,8,-1,8,5,8,5,5,5,5,8,8,8,8,7
01,097,Mobile,Alabama,AL,5,8,8,8,8,5,6,5,8,8,6,-1,8,8,8,8,8,8,8,8,6,6,7
01,099,Monroe,Alabama,AL,67,6,8,8,6,5,6,8,6,5,5,-1,5,6,5,6,6,8,6,6,6,8,5
01,101,Montgomery,Alabama,AL,7,8,8,8,6,5,8,6,8,6,5,-1,8,6,8,5,5,8,8,6,6,5,5
01,103,Morgan,Alabama,AL,14,8,6,8,8,5,5,8,5,5,5,8,5,8,5,8,5,8,8,8,6,8,7
01,105,Perry,Alabama,AL,75,8,8,8,8,7,8,8,8,8,5,-1,8,6,8,8,5,8,5,8,8,-1,7
01,107,Pickens,Alabama,AL,76,8,8,8,6,5,6,8,6,5,7,-1,5,8,5,5,5,6,6,8,5,5,5
01,109,Pike,Alabama,AL,35,8,8,8,8,5,8,8,8,5,8,-1,8,8,7,8,6,8,5,8,6,6,5
01,111,Randolph,Alabama,AL,72,8,8,8,8,5,8,6,8,6,8,-1,8,6,8,8,6,8,5,8,8,8,7
01,113,Russell,Alabama,AL,8,8,8,8,8,5,6,8,8,8,8,-1,8,8,8,8,5,8,8,6,8,8,5
01,115,St. Clair,Alabama,AL,22,8,8,6,8,5,5,5,8,8,-1,-1,8,6,5,6,5,-1,8,8,8,8,7
01,117,Shelby,Alabama,AL,11,7,8,8,5,5,5,7,7,5,8,-1,7,8,5,5,5,7,5,8,8,5,7
01,119,Sumter,Alabama,AL,66,8,8,8,6,7,8,8,8,-1,8,-1,8,8,5,5,5,8,8,8,8,5,7
01,121,Talladega,Alabama,AL,8,8,8,8,8,5,6,8,8,8,5,-1,8,8,6,6,5,8,6,8,8,5,7
01,123,Tallapoosa,Alabama,AL,49,8,8,8,8,5,8,5,8,5,8,-1,8,5,8,6,6,8,8,6,8,8,7
01,125,Tuscaloosa,Alabama,AL,6,8,8,8,6,7,5,5,8,8,8,-1,8,8,5,6,5,5,8,6,8,6,5
01,127,Walker,Alabama,AL,24,8,8,8,8,5,5,5,8,8,8,-1,8,8,5,5,8,8,8,8,8,8,7
01,129,Washington,Alabama,AL,66,8,8,8,6,7,5,6,8,8,7,-1,8,8,8,5,6,8,8,6,8,5,5
01,131,Wilcox,Alabama,AL,75,8,8,8,8,7,8,8,8,-1,7,-1,8,8,8,6,5,8,5,8,8,-1,5
01,133,Winston,Alabama,AL,41,5,8,5,8,5,5,5,6,8,-1,-1,8,5,5,5,6,5,8,8,6,6,7
02,013,Aleutians East,Alaska,AK,80,5,-1,5,6,-1,8,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
02,016,Aleutians West,Alaska,AK,78,5,-1,5,5,8,7,8,-1,-1,-1,-1,-1,-1,-1,-1,8,-1,7,-1,-1,-1,8
02,020,Anchorage,Alaska,AK,9,5,5,5,7,6,7,7,7,7,5,5,5,8,5,5,5,8,8,8,8,8,7
02,050,Bethel,Alaska,AK,86,5,5,8,6,7,6,8,8,-1,-1,-1,8,8,-1,8,5,8,8,6,8,8,8
02,060,Bristol Bay,Alaska,AK,78,-1,-1,5,8,8,7,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
02,068,Denali,Alaska,AK,78,-1,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
02,070,Dillingham,Alaska,AK,83,7,8,7,8,7,8,8,8,-1,-1,-1,8,6,-1,8,5,-1,8,6,8,8,8
02,090,Fairbanks North Star,Alaska,AK,17,5,5,5,7,5,5,8,8,8,5,-1,7,8,5,5,5,7,8,8,6,8,7
02,100,Haines,Alaska,AK,80,5,-1,5,5,8,7,8,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,8,-1,8,-1,8
02,110,Juneau,Alaska,AK,47,5,5,5,5,8,7,5,8,8,-1,-1,7,8,5,8,5,-1,5,5,5,5,7
02,122,Kenai Peninsula,Alaska,AK,77,5,5,5,5,8,5,6,7,8,-1,-1,5,8,5,5,7,5,8,6,8,8,8
02,130,Ketchikan Gateway,Alaska,AK,37,5,5,5,8,5,7,7,5,8,-1,-1,5,8,8,8,5,8,6,5,6,8,8
02,150,Kodiak Island,Alaska,AK,78,5,7,7,5,8,7,8,8,8,-1,-1,7,8,8,8,5,-1,7,5,8,5,8
02,164,Lake and Peninsula,Alaska,AK,83,5,-1,5,8,8,8,6,-1,-1,-1,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,8
02,170,Matanuska-Susitna,Alaska,AK,77,5,5,5,6,8,5,8,5,5,-1,-1,5,5,8,8,5,7,7,6,8,6,8
02,180,Nome,Alaska,AK,83,5,7,8,8,5,8,8,8,-1,-1,-1,5,8,-1,8,5,-1,8,6,6,8,8
02,185,North Slope,Alaska,AK,80,5,8,8,8,5,8,8,8,-1,-1,-1,5,8,-1,-1,5,-1,8,8,5,8,8
02,188,Northwest Arctic,Alaska,AK,83,5,7,8,8,7,8,8,8,-1,-1,-1,8,8,-1,8,5,-1,8,6,8,8,8
02,201,Prince of Wales-Outer Ketchikan,Alaska,AK,80,5,5,5,8,8,8,8,8,-1,-1,-1,5,8,-1,-1,7,-1,5,-1,-1,6,8
02,220,Sitka,Alaska,AK,78,5,5,5,5,7,7,6,7,5,-1,-1,5,8,-1,8,7,-1,7,-1,8,8,8
02,232,Skagway-Hoonah-Angoon,Alaska,AK,80,5,-1,5,6,8,8,8,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,5,-1,8
02,240,Southeast Fairbanks,Alaska,AK,80,5,7,5,5,8,5,8,7,8,-1,-1,5,8,-1,-1,7,-1,5,8,8,8,8
02,261,Valdez-Cordova,Alaska,AK,78,7,5,5,5,8,7,6,5,5,-1,-1,5,8,-1,-1,7,-1,8,8,5,6,8
02,270,Wade Hampton,Alaska,AK,88,5,5,8,6,7,8,8,8,-1,-1,-1,5,8,-1,8,5,8,8,6,-1,8,8
02,280,Wrangell-Petersburg,Alaska,AK,78,5,5,5,5,8,7,6,5,8,-1,-1,5,8,-1,8,5,-1,8,-1,8,8,8
02,282,Yakutat,Alaska,AK,78,-1,-1,-1,-1,8,8,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
02,290,Yukon-Koyukuk,Alaska,AK,83,5,5,5,8,8,8,8,5,-1,-1,-1,5,6,-1,8,5,8,8,8,8,8,8
04,001,Apache,Arizona,AZ,77,5,7,5,8,8,8,8,8,6,-1,-1,7,8,5,5,5,8,5,8,5,8,8
04,003,Cochise,Arizona,AZ,7,5,5,5,6,7,6,8,6,8,-1,8,5,8,5,5,6,5,5,8,5,8,7
04,005,Coconino,Arizona,AZ,77,7,5,8,6,7,8,6,5,8,-1,8,7,5,8,5,5,8,5,6,8,6,5
04,007,Gila,Arizona,AZ,36,5,5,8,8,7,8,8,6,8,-1,8,5,8,8,6,5,8,5,6,5,8,8
04,009,Graham,Arizona,AZ,51,5,5,5,6,5,6,8,5,5,-1,5,5,5,5,8,5,6,5,6,6,8,5
04,011,Greenlee,Arizona,AZ,78,5,5,7,8,5,8,8,7,5,-1,8,7,7,8,7,7,-1,5,6,8,8,5
04,012,La Paz,Arizona,AZ,88,5,5,5,8,7,8,8,8,8,-1,8,8,6,7,5,5,8,5,8,5,8,8
04,013,Maricopa,Arizona,AZ,1,5,5,8,8,5,8,8,7,8,7,8,7,5,5,5,5,8,5,8,5,8,7
04,015,Mohave,Arizona,AZ,6,5,5,8,8,7,8,8,5,6,-1,5,5,6,5,8,6,8,8,8,5,8,7
04,017,Navajo,Arizona,AZ,8,5,5,6,8,7,8,8,6,6,-1,7,6,6,5,5,5,8,5,8,6,8,8
04,019,Pima,Arizona,AZ,3,5,5,5,8,5,8,8,6,5,8,8,5,6,5,5,5,8,5,8,5,8,7
04,021,Pinal,Arizona,AZ,7,5,5,6,8,5,8,8,6,8,-1,6,5,6,5,5,5,8,5,8,5,8,7
04,023,Santa Cruz,Arizona,AZ,51,5,5,5,6,7,6,8,5,-1,-1,7,5,5,5,5,5,5,5,6,5,5,5
04,025,Yavapai,Arizona,AZ,16,5,5,8,8,7,8,8,5,6,-1,5,5,6,5,5,5,7,5,8,5,8,7
04,027,Yuma,Arizona,AZ,7,5,5,5,6,7,6,8,5,6,-1,8,6,5,5,5,5,5,5,6,5,5,5
05,001,Arkansas,Arkansas,AR,75,8,8,8,6,5,6,8,5,5,5,-1,5,8,8,8,8,8,8,6,8,8,5
05,003,Ashley,Arkansas,AR,68,6,6,6,8,5,6,8,6,8,5,-1,6,8,8,6,8,6,8,6,8,8,5
05,005,Baxter,Arkansas,AR,50,5,5,5,6,7,5,8,6,8,-1,-1,6,6,5,8,5,-1,8,8,8,8,5
05,007,Benton,Arkansas,AR,13,5,5,7,8,5,5,8,5,8,-1,5,5,7,8,8,8,7,5,8,7,8,5
05,009,Boone,Arkansas,AR,49,5,5,5,6,5,5,8,5,8,-1,-1,5,6,5,8,8,-1,8,8,8,6,5
05,011,Bradley,Arkansas,AR,70,8,8,8,8,5,8,8,5,5,-1,-1,7,5,5,6,8,8,8,6,8,5,7
05,013,Calhoun,Arkansas,AR,43,8,8,8,8,7,8,8,8,-1,8,-1,8,5,7,6,6,-1,8,8,8,-1,7
05,015,Carroll,Arkansas,AR,64,5,5,5,8,7,7,8,8,8,-1,8,7,8,5,6,5,8,5,6,8,8,5
05,017,Chicot,Arkansas,AR,67,8,8,8,8,7,8,6,6,8,5,-1,5,8,8,8,8,8,8,6,6,5,7
05,019,Clark,Arkansas,AR,71,5,8,8,6,5,5,8,5,5,7,-1,5,8,6,6,6,-1,6,6,8,5,5
05,021,Clay,Arkansas,AR,63,8,8,8,8,5,5,8,8,8,-1,-1,8,6,5,8,8,8,8,8,8,8,7
05,023,Cleburne,Arkansas,AR,64,8,5,5,8,7,5,8,5,5,-1,-1,5,8,5,5,5,8,6,6,8,8,5
05,025,Cleveland,Arkansas,AR,41,8,5,8,6,5,5,8,5,5,-1,-1,5,5,-1,5,6,-1,6,6,8,6,5
05,027,Columbia,Arkansas,AR,35,8,8,8,8,5,8,8,8,8,7,-1,6,8,8,8,6,-1,6,8,8,5,5
05,029,Conway,Arkansas,AR,43,7,7,7,8,5,5,6,8,8,8,-1,8,8,5,5,6,8,6,6,8,8,5
05,031,Craighead,Arkansas,AR,22,5,6,6,6,5,7,8,8,8,7,-1,8,8,8,8,8,7,8,8,8,8,5
05,033,Crawford,Arkansas,AR,33,5,8,5,8,5,5,8,8,8,-1,-1,8,8,5,5,8,-1,8,6,8,8,5
05,035,Crittenden,Arkansas,AR,53,8,8,8,8,7,8,8,8,8,8,-1,8,8,6,6,8,8,8,6,8,8,5
05,037,Cross,Arkansas,AR,68,8,8,8,8,7,6,8,8,8,8,-1,8,8,8,8,6,8,8,6,8,8,7
05,039,Dallas,Arkansas,AR,74,8,8,8,6,5,8,8,8,-1,8,-1,8,8,8,8,6,8,8,6,8,-1,5
05,041,Desha,Arkansas,AR,67,8,6,8,8,5,8,6,8,8,5,-1,8,8,5,8,8,8,6,6,6,6,5
05,043,Drew,Arkansas,AR,67,6,8,6,6,5,6,5,6,5,8,-1,5,6,6,8,8,8,8,8,8,8,5
05,045,Faulkner,Arkansas,AR,19,5,8,5,5,5,5,5,6,8,7,-1,8,6,5,8,5,7,6,8,8,5,5
05,047,Franklin,Arkansas,AR,43,7,7,5,8,5,5,8,6,8,-1,-1,5,8,5,5,8,-1,8,6,8,6,7
05,049,Fulton,Arkansas,AR,70,7,5,8,8,5,5,8,8,8,-1,-1,8,8,5,5,6,8,8,8,6,6,5
05,051,Garland,Arkansas,AR,24,8,7,5,8,5,8,8,6,6,5,-1,5,8,5,5,5,8,8,8,8,8,7
05,053,Grant,Arkansas,AR,39,8,8,8,6,5,5,7,8,8,-1,-1,8,8,8,5,8,-1,8,8,8,8,7
05,055,Greene,Arkansas,AR,50,5,8,6,8,7,5,8,8,8,-1,-1,8,8,5,5,8,-1,8,8,8,8,5
05,057,Hempstead,Arkansas,AR,76,6,6,6,6,7,6,8,6,8,5,8,6,6,8,6,8,8,8,6,8,8,5
05,059,Hot Spring,Arkansas,AR,49,7,5,5,8,5,7,8,5,6,-1,-1,5,5,5,8,6,8,8,8,8,6,7
05,061,Howard,Arkansas,AR,43,7,5,8,8,5,7,6,5,5,-1,-1,5,5,8,5,8,-1,8,8,8,6,5
05,063,Independence,Arkansas,AR,32,8,8,8,6,5,5,8,8,8,-1,-1,8,6,5,8,6,-1,8,6,6,8,7
05,065,Izard,Arkansas,AR,71,5,5,5,6,5,5,8,8,8,-1,-1,5,8,8,6,6,-1,8,8,8,6,5
05,067,Jackson,Arkansas,AR,72,8,8,8,8,5,8,5,8,6,8,-1,8,8,5,6,8,8,6,6,8,6,5
05,069,Jefferson,Arkansas,AR,8,8,8,8,8,5,8,8,8,8,5,-1,6,8,8,8,8,8,6,6,8,5,5
05,071,Johnson,Arkansas,AR,64,5,5,5,8,5,7,8,5,8,-1,-1,5,8,5,5,6,-1,8,6,6,8,7
05,073,Lafayette,Arkansas,AR,75,8,8,8,8,5,8,8,8,-1,8,-1,8,5,8,8,8,8,8,6,5,8,5
05,075,Lawrence,Arkansas,AR,72,5,5,5,6,5,5,8,8,8,-1,-1,5,8,5,6,6,-1,8,8,6,8,5
05,077,Lee,Arkansas,AR,67,6,8,8,8,7,8,8,8,8,8,-1,8,8,8,8,8,8,8,6,6,6,7
05,079,Lincoln,Arkansas,AR,44,8,8,8,8,5,8,8,8,8,7,-1,8,5,5,5,8,8,6,6,6,5,5
05,081,Little River,Arkansas,AR,42,8,8,8,6,5,6,6,6,8,-1,-1,6,8,5,8,8,-1,8,6,8,8,5
05,083,Logan,Arkansas,AR,76,5,5,5,6,7,5,8,5,5,-1,-1,5,5,8,8,8,5,8,6,6,8,5
05,085,Lonoke,Arkansas,AR,29,7,7,8,6,5,5,5,8,8,-1,-1,5,8,5,8,5,-1,8,8,8,8,5
05,087,Madison,Arkansas,AR,43,7,7,5,8,7,5,8,8,8,-1,-1,8,8,5,6,5,-1,6,6,6,8,7
05,089,Marion,Arkansas,AR,71,6,5,5,6,7,5,8,6,8,-1,-1,8,5,8,6,5,-1,8,6,6,8,5
05,091,Miller,Arkansas,AR,52,6,8,8,6,5,6,8,6,8,7,-1,8,6,5,8,5,6,8,6,6,8,5
05,093,Mississippi,Arkansas,AR,8,8,8,8,8,5,8,8,8,8,5,-1,8,8,6,8,8,8,8,8,8,8,7
05,095,Monroe,Arkansas,AR,75,8,8,8,8,7,8,8,8,5,8,-1,8,8,8,8,8,-1,8,8,8,8,5
05,097,Montgomery,Arkansas,AR,70,5,5,5,6,5,5,8,5,6,-1,-1,5,6,5,5,6,-1,6,6,8,8,7
05,099,Nevada,Arkansas,AR,75,8,8,6,6,5,6,8,8,8,5,-1,8,5,6,6,6,-1,8,8,8,5,5
05,101,Newton,Arkansas,AR,74,5,5,5,6,7,5,6,5,5,-1,-1,5,6,5,5,6,-1,8,6,6,8,5
05,103,Ouachita,Arkansas,AR,36,8,8,8,8,5,8,8,8,8,5,-1,8,8,5,6,6,8,8,8,8,5,5
05,105,Perry,Arkansas,AR,62,5,5,5,8,5,5,6,8,8,-1,-1,7,8,8,8,6,-1,8,8,8,8,7
05,107,Phillips,Arkansas,AR,51,8,8,6,8,5,8,8,8,8,7,-1,5,8,8,8,8,8,8,8,8,-1,7
05,109,Pike,Arkansas,AR,62,7,8,7,8,5,5,8,8,8,-1,-1,8,8,6,5,5,-1,8,8,8,-1,5
05,111,Poinsett,Arkansas,AR,76,6,6,6,6,5,6,8,8,8,-1,-1,8,8,5,8,8,6,8,6,8,8,7
05,113,Polk,Arkansas,AR,71,5,5,6,8,5,5,8,8,8,-1,-1,6,8,8,8,8,-1,8,8,5,8,5
05,115,Pope,Arkansas,AR,23,5,5,5,6,5,5,5,5,5,-1,-1,5,8,8,6,6,-1,8,6,8,5,7
05,117,Prairie,Arkansas,AR,61,8,8,8,8,5,8,8,8,8,-1,-1,8,8,5,8,5,-1,8,6,8,8,5
05,119,Pulaski,Arkansas,AR,5,8,8,6,6,5,6,5,8,8,8,5,8,8,5,6,5,8,8,8,8,8,5
05,121,Randolph,Arkansas,AR,72,5,5,5,6,5,5,6,8,8,-1,-1,8,8,5,8,6,6,6,6,6,8,5
05,123,St. Francis,Arkansas,AR,52,8,8,8,8,5,8,8,8,8,7,-1,8,6,8,8,8,8,6,6,8,8,5
05,125,Saline,Arkansas,AR,45,8,7,8,7,5,5,7,8,8,-1,-1,7,8,5,5,5,7,8,8,8,8,5
05,127,Scott,Arkansas,AR,70,8,8,8,6,5,5,8,8,8,-1,-1,5,8,5,6,8,-1,8,6,5,8,5
05,129,Searcy,Arkansas,AR,70,8,8,5,6,7,5,8,8,8,-1,-1,8,5,8,5,8,-1,8,8,6,8,5
05,131,Sebastian,Arkansas,AR,6,5,5,5,8,5,6,8,8,8,8,8,5,8,5,8,8,8,6,5,6,8,5
05,133,Sevier,Arkansas,AR,76,6,5,5,6,7,5,6,6,8,-1,8,5,8,5,6,8,8,8,8,6,8,5
05,135,Sharp,Arkansas,AR,72,5,5,8,8,7,5,8,8,8,-1,-1,5,8,8,5,6,-1,6,8,6,8,5
05,137,Stone,Arkansas,AR,70,5,5,7,6,5,5,8,5,5,-1,-1,8,5,8,8,6,8,6,8,6,6,5
05,139,Union,Arkansas,AR,36,8,8,8,6,5,6,8,6,5,5,-1,6,6,8,6,5,8,8,6,8,6,5
05,141,Van Buren,Arkansas,AR,71,8,8,5,6,7,5,8,8,8,-1,-1,8,6,8,6,5,-1,8,8,8,8,5
05,143,Washington,Arkansas,AR,14,5,5,5,6,5,5,5,5,5,-1,5,5,5,5,8,5,-1,8,8,8,8,5
05,145,White,Arkansas,AR,22,8,8,8,6,5,5,8,8,8,-1,-1,5,8,5,8,8,7,8,8,8,8,5
05,147,Woodruff,Arkansas,AR,75,6,5,6,8,5,8,6,6,8,-1,-1,5,8,8,8,8,8,8,8,8,5,5
05,149,Yell,Arkansas,AR,62,7,8,5,8,5,7,8,5,5,-1,8,5,8,5,8,8,8,8,8,8,6,5
06,001,Alameda,California,CA,1,5,5,5,5,8,5,5,5,5,5,5,5,5,5,5,5,8,5,5,8,5,5
06,003,Alpine,California,CA,83,-1,-1,5,6,-1,8,8,-1,-1,-1,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,-1
06,005,Amador,California,CA,26,5,5,5,7,8,5,7,5,5,-1,-1,5,5,5,8,6,-1,8,8,8,8,5
06,007,Butte,California,CA,6,5,5,5,6,7,6,8,5,6,-1,6,5,5,5,6,6,5,6,6,8,8,7
06,009,Calaveras,California,CA,30,5,5,5,5,8,5,8,5,5,-1,-1,5,5,5,5,5,-1,6,8,6,8,5
06,011,Colusa,California,CA,42,5,5,5,6,7,5,8,5,6,-1,7,5,5,5,8,6,8,6,6,6,6,5
06,013,Contra Costa,California,CA,2,5,5,5,7,8,7,5,5,5,5,5,5,7,8,5,7,8,5,7,8,7,5
06,015,Del Norte,California,CA,51,5,5,5,6,7,8,6,8,8,-1,-1,5,8,-1,8,5,-1,8,6,5,8,7
06,017,El Dorado,California,CA,12,5,5,5,5,8,5,7,5,5,-1,7,5,5,7,5,5,-1,5,5,5,8,7
06,019,Fresno,California,CA,3,5,5,5,8,5,8,5,5,8,5,8,5,5,5,5,8,6,5,8,8,5,5
06,021,Glenn,California,CA,33,5,5,5,8,7,5,8,5,5,-1,7,5,5,8,8,5,-1,6,8,6,8,5
06,023,Humboldt,California,CA,6,5,5,5,5,8,8,8,6,8,-1,5,5,8,8,6,5,8,6,8,6,8,8
06,025,Imperial,California,CA,7,5,5,5,8,7,6,8,5,5,-1,5,5,5,5,5,5,5,5,6,6,5,5
06,027,Inyo,California,CA,81,7,5,7,8,7,8,8,8,8,-1,-1,7,8,8,8,8,-1,8,6,8,8,7
06,029,Kern,California,CA,3,5,5,5,8,5,8,6,5,8,5,5,5,6,6,8,8,6,6,8,8,8,5
