Feature,Estimator,AUC,AUC_best,Accuracy,Accuracy_best,F1,F1_best,Precision,Precision_best,Recall,Recall_best
systolic_bp : tobacco_use : overall_obesity,gaussian,0,0,0.6796484736355228,{},0,0,0,0,0,0
systolic_bp : tobacco_use : overall_obesity,svc,0,0,0.6623034227567068,"{'C': 1, 'shrinking': True, 'gamma': 0.0, 'degree': 1, 'probability': True}",0,0,0,0,0,0
systolic_bp : tobacco_use : overall_obesity,decision_tree,0,0,0.5908880666049955,"{'max_features': None, 'max_leaf_nodes': 2, 'max_depth': 1}",0,0,0,0,0,0
systolic_bp : tobacco_use : overall_obesity,random_forest,0,0,0.6254394079555966,"{'max_features': None, 'max_leaf_nodes': 2, 'bootstrap': True, 'max_depth': 1}",0,0,0,0,0,0
systolic_bp : tobacco_use : alcohol_use,linear,0,0,0.06267052386768797,{'normalize': False},0,0,0,0,0,0
systolic_bp : tobacco_use : alcohol_use,knn,0,0,0.6645698427382054,"{'n_neighbors': 40, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1}",0,0,0,0,0,0
systolic_bp : tobacco_use : alcohol_use,logistic,0,0,0.6859851988899168,"{'penalty': 'l1', 'solver': 'liblinear'}",0,0,0,0,0,0
systolic_bp : tobacco_use : alcohol_use,gaussian,0,0,0.6773358001850138,{},0,0,0,0,0,0
systolic_bp : tobacco_use : alcohol_use,svc,0,0,0.670814061054579,"{'C': 10, 'shrinking': True, 'gamma': 0.001, 'degree': 1, 'probability': True}",0,0,0,0,0,0
systolic_bp : tobacco_use : alcohol_use,decision_tree,0,0,0.5974098057354302,"{'max_features': 'auto', 'max_leaf_nodes': 30, 'max_depth': 1}",0,0,0,0,0,0
systolic_bp : tobacco_use : alcohol_use,random_forest,0,0,0.6815448658649399,"{'max_features': 'sqrt', 'max_leaf_nodes': 5, 'bootstrap': True, 'max_depth': 10}",0,0,0,0,0,0
systolic_bp : tobacco_use : age,linear,0,0,0.12609270602978853,{'normalize': True},0,0,0,0,0,0
systolic_bp : tobacco_use : age,knn,0,0,0.6366327474560591,"{'n_neighbors': 30, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1}",0,0,0,0,0,0
systolic_bp : tobacco_use : age,logistic,0,0,0.6990286771507862,"{'penalty': 'l1', 'solver': 'liblinear'}",0,0,0,0,0,0
systolic_bp : tobacco_use : age,gaussian,0,0,0.6817761332099909,{},0,0,0,0,0,0
systolic_bp : tobacco_use : age,svc,0,0,0.6903330249768731,"{'C': 100, 'shrinking': True, 'gamma': 0.0, 'degree': 1, 'probability': True}",0,0,0,0,0,0
systolic_bp : tobacco_use : age,decision_tree,0,0,0.588714153561517,"{'max_features': 'log2', 'max_leaf_nodes': 30, 'max_depth': 1}",0,0,0,0,0,0
systolic_bp : tobacco_use : age,random_forest,0,0,0.631868640148011,"{'max_features': 'auto', 'max_leaf_nodes': 15, 'bootstrap': True, 'max_depth': 1}",0,0,0,0,0,0
systolic_bp : ldl_cholesterol : abdominal_adiposity,linear,0,0,0.06092178021750868,{'normalize': True},0,0,0,0,0,0
systolic_bp : ldl_cholesterol : abdominal_adiposity,knn,0,0,0.6361239592969473,"{'n_neighbors': 30, 'weights': 'distance', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 2}",0,0,0,0,0,0
systolic_bp : ldl_cholesterol : abdominal_adiposity,logistic,0,0,0.6775208140610545,"{'penalty': 'l2', 'solver': 'liblinear'}",0,0,0,0,0,0
systolic_bp : ldl_cholesterol : abdominal_adiposity,gaussian,0,0,0.6645235892691951,{},0,0,0,0,0,0
systolic_bp : ldl_cholesterol : abdominal_adiposity,svc,0,0,0.6861239592969473,"{'C': 100, 'shrinking': True, 'gamma': 0.0, 'degree': 1, 'probability': True}",0,0,0,0,0,0
systolic_bp : ldl_cholesterol : abdominal_adiposity,decision_tree,0,0,0.5908418131359852,"{'max_features': None, 'max_leaf_nodes': 10, 'max_depth': 20}",0,0,0,0,0,0
systolic_bp : ldl_cholesterol : abdominal_adiposity,random_forest,0,0,0.6234505087881592,"{'max_features': None, 'max_leaf_nodes': 10, 'bootstrap': False, 'max_depth': 5}",0,0,0,0,0,0
systolic_bp : ldl_cholesterol : family_history,linear,0,0,0.10030996322284233,{'normalize': False},0,0,0,0,0,0
systolic_bp : ldl_cholesterol : family_history,knn,0,0,0.6539777983348751,"{'n_neighbors': 20, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 2}",0,0,0,0,0,0
systolic_bp : ldl_cholesterol : family_history,logistic,0,0,0.7057354301572618,"{'penalty': 'l1', 'solver': 'liblinear'}",0,0,0,0,0,0
systolic_bp : ldl_cholesterol : family_history,gaussian,0,0,0.7079093432007401,{},0,0,0,0,0,0
systolic_bp : ldl_cholesterol : family_history,svc,0,0,0.7274283071230342,"{'C': 1, 'shrinking': True, 'gamma': 0.0, 'degree': 1, 'probability': True}",0,0,0,0,0,0
systolic_bp : ldl_cholesterol : family_history,decision_tree,0,0,0.5885753931544865,"{'max_features': 'sqrt', 'max_leaf_nodes': 5, 'max_depth': 20}",0,0,0,0,0,0
systolic_bp : ldl_cholesterol : family_history,random_forest,0,0,0.6754394079555965,"{'max_features': 'log2', 'max_leaf_nodes': 5, 'bootstrap': True, 'max_depth': 30}",0,0,0,0,0,0
systolic_bp : ldl_cholesterol : type_a,linear,0,0,0.05781204571449069,{'normalize': True},0,0,0,0,0,0
systolic_bp : ldl_cholesterol : type_a,knn,0,0,0.6209065679925996,"{'n_neighbors': 40, 'weights': 'distance', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 2}",0,0,0,0,0,0
systolic_bp : ldl_cholesterol : type_a,logistic,0,0,0.6904255319148935,"{'penalty': 'l1', 'solver': 'liblinear'}",0,0,0,0,0,0
systolic_bp : ldl_cholesterol : type_a,gaussian,0,0,0.6882516188714154,{},0,0,0,0,0,0
systolic_bp : ldl_cholesterol : type_a,svc,0,0,0.6815911193339501,"{'C': 1000, 'shrinking': True, 'gamma': 0.0001, 'degree': 1, 'probability': True}",0,0,0,0,0,0
systolic_bp : ldl_cholesterol : type_a,decision_tree,0,0,0.5971785383903793,"{'max_features': 'auto', 'max_leaf_nodes': 5, 'max_depth': 15}",0,0,0,0,0,0
systolic_bp : ldl_cholesterol : type_a,random_forest,0,0,0.6425994449583718,"{'max_features': 'log2', 'max_leaf_nodes': 5, 'bootstrap': True, 'max_depth': 10}",0,0,0,0,0,0
systolic_bp : ldl_cholesterol : overall_obesity,linear,0,0,0.04995533354839097,{'normalize': True},0,0,0,0,0,0
systolic_bp : ldl_cholesterol : overall_obesity,knn,0,0,0.6193339500462534,"{'n_neighbors': 10, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 2}",0,0,0,0,0,0
systolic_bp : ldl_cholesterol : overall_obesity,logistic,0,0,0.6753469010175762,"{'penalty': 'l1', 'solver': 'liblinear'}",0,0,0,0,0,0
systolic_bp : ldl_cholesterol : overall_obesity,gaussian,0,0,0.6796484736355226,{},0,0,0,0,0,0
systolic_bp : ldl_cholesterol : overall_obesity,svc,0,0,0.6753469010175762,"{'C': 1, 'shrinking': True, 'gamma': 0.0, 'degree': 1, 'probability': True}",0,0,0,0,0,0
systolic_bp : ldl_cholesterol : overall_obesity,decision_tree,0,0,0.5993987049028677,"{'max_features': 'sqrt', 'max_leaf_nodes': 25, 'max_depth': 1}",0,0,0,0,0,0
systolic_bp : ldl_cholesterol : overall_obesity,random_forest,0,0,0.6188251618871417,"{'max_features': None, 'max_leaf_nodes': 5, 'bootstrap': True, 'max_depth': 5}",0,0,0,0,0,0
systolic_bp : ldl_cholesterol : alcohol_use,linear,0,0,0.04779313491087668,{'normalize': True},0,0,0,0,0,0
systolic_bp : ldl_cholesterol : alcohol_use,knn,0,0,0.6189639222941721,"{'n_neighbors': 50, 'weights': 'distance', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1}",0,0,0,0,0,0
systolic_bp : ldl_cholesterol : alcohol_use,logistic,0,0,0.6817761332099905,"{'penalty': 'l1', 'solver': 'liblinear'}",0,0,0,0,0,0
systolic_bp : ldl_cholesterol : alcohol_use,gaussian,0,0,0.6730342275670675,{},0,0,0,0,0,0
systolic_bp : ldl_cholesterol : alcohol_use,svc,0,0,0.6925069380203516,"{'C': 10, 'shrinking': True, 'gamma': 0.0, 'degree': 1, 'probability': True}",0,0,0,0,0,0
systolic_bp : ldl_cholesterol : alcohol_use,decision_tree,0,0,0.5777983348751157,"{'max_features': 'log2', 'max_leaf_nodes': 5, 'max_depth': 25}",0,0,0,0,0,0
systolic_bp : ldl_cholesterol : alcohol_use,random_forest,0,0,0.6296022201665125,"{'max_features': 'log2', 'max_leaf_nodes': 10, 'bootstrap': False, 'max_depth': 15}",0,0,0,0,0,0
systolic_bp : ldl_cholesterol : age,linear,0,0,0.12828669521077393,{'normalize': False},0,0,0,0,0,0
systolic_bp : ldl_cholesterol : age,knn,0,0,0.6494449583718778,"{'n_neighbors': 60, 'weights': 'distance', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 2}",0,0,0,0,0,0
systolic_bp : ldl_cholesterol : age,logistic,0,0,0.6883441258094357,"{'penalty': 'l2', 'solver': 'liblinear'}",0,0,0,0,0,0
systolic_bp : ldl_cholesterol : age,gaussian,0,0,0.6882053654024052,{},0,0,0,0,0,0
systolic_bp : ldl_cholesterol : age,svc,0,0,0.6687326549491213,"{'C': 100, 'shrinking': True, 'gamma': 0.001, 'degree': 1, 'probability': True}",0,0,0,0,0,0
systolic_bp : ldl_cholesterol : age,decision_tree,0,0,0.62104532839963,"{'max_features': 'log2', 'max_leaf_nodes': 10, 'max_depth': 20}",0,0,0,0,0,0
systolic_bp : ldl_cholesterol : age,random_forest,0,0,0.5993987049028677,"{'max_features': 'auto', 'max_leaf_nodes': 15, 'bootstrap': False, 'max_depth': 1}",0,0,0,0,0,0
systolic_bp : abdominal_adiposity : family_history,linear,0,0,0.08066373328727021,{'normalize': False},0,0,0,0,0,0
systolic_bp : abdominal_adiposity : family_history,knn,0,0,0.679740980573543,"{'n_neighbors': 20, 'weights': 'distance', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 2}",0,0,0,0,0,0
systolic_bp : abdominal_adiposity : family_history,logistic,0,0,0.681822386679001,"{'penalty': 'l1', 'solver': 'liblinear'}",0,0,0,0,0,0
systolic_bp : abdominal_adiposity : family_history,gaussian,0,0,0.6774745605920444,{},0,0,0,0,0,0
systolic_bp : abdominal_adiposity : family_history,svc,0,0,0.6947271045328399,"{'C': 1, 'shrinking': True, 'gamma': 0.0, 'degree': 1, 'probability': True}",0,0,0,0,0,0
systolic_bp : abdominal_adiposity : family_history,decision_tree,0,0,0.5976873265494912,"{'max_features': 'log2', 'max_leaf_nodes': 20, 'max_depth': 1}",0,0,0,0,0,0
systolic_bp : abdominal_adiposity : family_history,random_forest,0,0,0.6363552266419982,"{'max_features': 'sqrt', 'max_leaf_nodes': 5, 'bootstrap': True, 'max_depth': 30}",0,0,0,0,0,0
systolic_bp : abdominal_adiposity : type_a,linear,0,0,0.04108485059682213,{'normalize': False},0,0,0,0,0,0
systolic_bp : abdominal_adiposity : type_a,knn,0,0,0.6210915818686402,"{'n_neighbors': 20, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 2}",0,0,0,0,0,0
systolic_bp : abdominal_adiposity : type_a,logistic,0,0,0.6687789084181313,"{'penalty': 'l1', 'solver': 'liblinear'}",0,0,0,0,0,0
systolic_bp : abdominal_adiposity : type_a,gaussian,0,0,0.6729879740980573,{},0,0,0,0,0,0
systolic_bp : abdominal_adiposity : type_a,svc,0,0,0.6710453283996299,"{'C': 1, 'shrinking': True, 'gamma': 0.0, 'degree': 1, 'probability': True}",0,0,0,0,0,0
systolic_bp : abdominal_adiposity : type_a,decision_tree,0,0,0.527937095282146,"{'max_features': 'auto', 'max_leaf_nodes': 2, 'max_depth': 15}",0,0,0,0,0,0
systolic_bp : abdominal_adiposity : type_a,random_forest,0,0,0.5995837187789084,"{'max_features': 'sqrt', 'max_leaf_nodes': 5, 'bootstrap': True, 'max_depth': 5}",0,0,0,0,0,0
systolic_bp : abdominal_adiposity : overall_obesity,linear,0,0,0.046631560909331085,{'normalize': True},0,0,0,0,0,0
systolic_bp : abdominal_adiposity : overall_obesity,knn,0,0,0.6190101757631822,"{'n_neighbors': 10, 'weights': 'distance', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 2}",0,0,0,0,0,0
systolic_bp : abdominal_adiposity : overall_obesity,logistic,0,0,0.6709065679925994,"{'penalty': 'l1', 'solver': 'lbfgs'}",0,0,0,0,0,0
systolic_bp : abdominal_adiposity : overall_obesity,gaussian,0,0,0.6536077705827936,{},0,0,0,0,0,0
systolic_bp : abdominal_adiposity : overall_obesity,svc,0,0,0.6493987049028677,"{'C': 1, 'shrinking': True, 'gamma': 0.0, 'degree': 1, 'probability': True}",0,0,0,0,0,0
systolic_bp : abdominal_adiposity : overall_obesity,decision_tree,0,0,0.623404255319149,"{'max_features': 'log2', 'max_leaf_nodes': 15, 'max_depth': 15}",0,0,0,0,0,0
systolic_bp : abdominal_adiposity : overall_obesity,random_forest,0,0,0.6277983348751157,"{'max_features': 'sqrt', 'max_leaf_nodes': 20, 'bootstrap': True, 'max_depth': 5}",0,0,0,0,0,0
systolic_bp : abdominal_adiposity : alcohol_use,linear,0,0,0.02488254568837146,{'normalize': True},0,0,0,0,0,0
systolic_bp : abdominal_adiposity : alcohol_use,knn,0,0,0.6431082331174838,"{'n_neighbors': 20, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 2}",0,0,0,0,0,0
systolic_bp : abdominal_adiposity : alcohol_use,logistic,0,0,0.6426919518963923,"{'penalty': 'l1', 'solver': 'liblinear'}",0,0,0,0,0,0
systolic_bp : abdominal_adiposity : alcohol_use,gaussian,0,0,0.6426919518963923,{},0,0,0,0,0,0
systolic_bp : abdominal_adiposity : alcohol_use,svc,0,0,0.6623959296947272,"{'C': 10, 'shrinking': True, 'gamma': 0.0, 'degree': 1, 'probability': True}",0,0,0,0,0,0
systolic_bp : abdominal_adiposity : alcohol_use,decision_tree,0,0,0.5518963922294172,"{'max_features': 'sqrt', 'max_leaf_nodes': 20, 'max_depth': 1}",0,0,0,0,0,0
systolic_bp : abdominal_adiposity : alcohol_use,random_forest,0,0,0.6209990749306199,"{'max_features': 'sqrt', 'max_leaf_nodes': 30, 'bootstrap': True, 'max_depth': 30}",0,0,0,0,0,0
systolic_bp : abdominal_adiposity : age,linear,0,0,0.10211055383569693,{'normalize': False},0,0,0,0,0,0
systolic_bp : abdominal_adiposity : age,knn,0,0,0.651572617946346,"{'n_neighbors': 10, 'weights': 'distance', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1}",0,0,0,0,0,0
systolic_bp : abdominal_adiposity : age,logistic,0,0,0.6859851988899168,"{'penalty': 'l1', 'solver': 'lbfgs'}",0,0,0,0,0,0
systolic_bp : abdominal_adiposity : age,gaussian,0,0,0.6731267345050879,{},0,0,0,0,0,0
systolic_bp : abdominal_adiposity : age,svc,0,0,0.6490749306197966,"{'C': 1, 'shrinking': True, 'gamma': 0.001, 'degree': 1, 'probability': True}",0,0,0,0,0,0
systolic_bp : abdominal_adiposity : age,decision_tree,0,0,0.599491211840888,"{'max_features': 'auto', 'max_leaf_nodes': 10, 'max_depth': 1}",0,0,0,0,0,0
systolic_bp : abdominal_adiposity : age,random_forest,0,0,0.6514801110083257,"{'max_features': 'auto', 'max_leaf_nodes': 30, 'bootstrap': True, 'max_depth': 1}",0,0,0,0,0,0
systolic_bp : family_history : type_a,linear,0,0,0.06271601605164133,{'normalize': False},0,0,0,0,0,0
systolic_bp : family_history : type_a,knn,0,0,0.6298797409805736,"{'n_neighbors': 30, 'weights': 'uniform', 'leaf_size': 60, 'algorithm': 'kd_tree', 'p': 2}",0,0,0,0,0,0
systolic_bp : family_history : type_a,logistic,0,0,0.6860777058279371,"{'penalty': 'l2', 'solver': 'liblinear'}",0,0,0,0,0,0
systolic_bp : family_history : type_a,gaussian,0,0,0.6904255319148938,{},0,0,0,0,0,0
systolic_bp : family_history : type_a,svc,0,0,0.7077243293246994,"{'C': 1, 'shrinking': True, 'gamma': 0.0, 'degree': 1, 'probability': True}",0,0,0,0,0,0
systolic_bp : family_history : type_a,decision_tree,0,0,0.5841350601295097,"{'max_features': 'auto', 'max_leaf_nodes': 15, 'max_depth': 1}",0,0,0,0,0,0
systolic_bp : family_history : type_a,random_forest,0,0,0.6317761332099908,"{'max_features': 'log2', 'max_leaf_nodes': 25, 'bootstrap': True, 'max_depth': 1}",0,0,0,0,0,0
systolic_bp : family_history : overall_obesity,linear,0,0,0.05483548222436865,{'normalize': True},0,0,0,0,0,0
systolic_bp : family_history : overall_obesity,knn,0,0,0.6322386679000924,"{'n_neighbors': 20, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 2}",0,0,0,0,0,0
systolic_bp : family_history : overall_obesity,logistic,0,0,0.6883441258094358,"{'penalty': 'l1', 'solver': 'lbfgs'}",0,0,0,0,0,0
systolic_bp : family_history : overall_obesity,gaussian,0,0,0.6666975023126734,{},0,0,0,0,0,0
systolic_bp : family_history : overall_obesity,svc,0,0,0.6667900092506939,"{'C': 1, 'shrinking': True, 'gamma': 0.001, 'degree': 1, 'probability': True}",0,0,0,0,0,0
systolic_bp : family_history : overall_obesity,decision_tree,0,0,0.5738205365402406,"{'max_features': 'sqrt', 'max_leaf_nodes': 5, 'max_depth': 1}",0,0,0,0,0,0
systolic_bp : family_history : overall_obesity,random_forest,0,0,0.6277520814061055,"{'max_features': 'log2', 'max_leaf_nodes': 5, 'bootstrap': True, 'max_depth': 1}",0,0,0,0,0,0
systolic_bp : family_history : alcohol_use,linear,0,0,0.05146599452758235,{'normalize': True},0,0,0,0,0,0
systolic_bp : family_history : alcohol_use,knn,0,0,0.6149398704902869,"{'n_neighbors': 40, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 2}",0,0,0,0,0,0
systolic_bp : family_history : alcohol_use,logistic,0,0,0.6753931544865864,"{'penalty': 'l1', 'solver': 'liblinear'}",0,0,0,0,0,0
systolic_bp : family_history : alcohol_use,gaussian,0,0,0.6753006475485661,{},0,0,0,0,0,0
systolic_bp : family_history : alcohol_use,svc,0,0,0.6774745605920444,"{'C': 1, 'shrinking': True, 'gamma': 0.0, 'degree': 1, 'probability': True}",0,0,0,0,0,0
systolic_bp : family_history : alcohol_use,decision_tree,0,0,0.6386216466234969,"{'max_features': 'sqrt', 'max_leaf_nodes': 5, 'max_depth': 1}",0,0,0,0,0,0
systolic_bp : family_history : alcohol_use,random_forest,0,0,0.656059204440333,"{'max_features': 'sqrt', 'max_leaf_nodes': 5, 'bootstrap': True, 'max_depth': 30}",0,0,0,0,0,0
systolic_bp : family_history : age,linear,0,0,0.13595492852935,{'normalize': False},0,0,0,0,0,0
systolic_bp : family_history : age,knn,0,0,0.6365402405180388,"{'n_neighbors': 30, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1}",0,0,0,0,0,0
systolic_bp : family_history : age,logistic,0,0,0.7033302497687327,"{'penalty': 'l1', 'solver': 'lbfgs'}",0,0,0,0,0,0
systolic_bp : family_history : age,gaussian,0,0,0.6817298797409806,{},0,0,0,0,0,0
systolic_bp : family_history : age,svc,0,0,0.6925994449583719,"{'C': 1, 'shrinking': True, 'gamma': 0.0, 'degree': 1, 'probability': True}",0,0,0,0,0,0
systolic_bp : family_history : age,decision_tree,0,0,0.6299259944495837,"{'max_features': 'auto', 'max_leaf_nodes': 5, 'max_depth': 5}",0,0,0,0,0,0
systolic_bp : family_history : age,random_forest,0,0,0.6450971322849214,"{'max_features': None, 'max_leaf_nodes': 5, 'bootstrap': True, 'max_depth': 10}",0,0,0,0,0,0
systolic_bp : type_a : overall_obesity,linear,0,0,-0.00023948882857147691,{'normalize': True},0,0,0,0,0,0
systolic_bp : type_a : overall_obesity,knn,0,0,0.6428307123034227,"{'n_neighbors': 30, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 2}",0,0,0,0,0,0
systolic_bp : type_a : overall_obesity,logistic,0,0,0.675254394079556,"{'penalty': 'l1', 'solver': 'lbfgs'}",0,0,0,0,0,0
systolic_bp : type_a : overall_obesity,gaussian,0,0,0.6775670675300647,{},0,0,0,0,0,0
systolic_bp : type_a : overall_obesity,svc,0,0,0.6688714153561517,"{'C': 1000, 'shrinking': True, 'gamma': 0.001, 'degree': 1, 'probability': True}",0,0,0,0,0,0
systolic_bp : type_a : overall_obesity,decision_tree,0,0,0.5560592044403331,"{'max_features': 'sqrt', 'max_leaf_nodes': 30, 'max_depth': 1}",0,0,0,0,0,0
systolic_bp : type_a : overall_obesity,random_forest,0,0,0.6018038852913968,"{'max_features': 'log2', 'max_leaf_nodes': 30, 'bootstrap': True, 'max_depth': 1}",0,0,0,0,0,0
systolic_bp : type_a : alcohol_use,linear,0,0,-0.006989477771772312,{'normalize': False},0,0,0,0,0,0
systolic_bp : type_a : alcohol_use,knn,0,0,0.6123959296947271,"{'n_neighbors': 50, 'weights': 'distance', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 2}",0,0,0,0,0,0
systolic_bp : type_a : alcohol_use,logistic,0,0,0.6600832562442183,"{'penalty': 'l2', 'solver': 'liblinear'}",0,0,0,0,0,0
systolic_bp : type_a : alcohol_use,gaussian,0,0,0.6470397779833488,{},0,0,0,0,0,0
